,encoder,used_processes,X_shape,min_time(s),average_time(s),max_cpu_utilization(%),average_cpu_utilization(%)
0,BackwardDifferenceEncoder,1,"(10000, 11)",34.02427411079407,34.20384136835734,18.130409356725146,17.851773879142296
1,BinaryEncoder,1,"(10000, 11)",0.2384028434753418,0.24799625078837076,22.4,10.466666666666667
2,HashingEncoder,1,"(10000, 11)",5.921410083770752,5.932150363922119,11.443333333333333,10.59111111111111
3,HashingEncoder,2,"(10000, 11)",3.1220920085906982,3.13224204381307,19.83125,15.925000000000002
4,HashingEncoder,3,"(10000, 11)",2.183098077774048,2.1886633237202964,35.22727272727273,28.2
5,HashingEncoder,4,"(10000, 11)",1.7295112609863281,1.7506336371103923,39.477777777777774,31.862962962962964
6,HashingEncoder,5,"(10000, 11)",1.6730239391326904,1.6906273365020752,59.900000000000006,54.644444444444446
7,HashingEncoder,6,"(10000, 11)",1.6142189502716064,1.6239960193634033,67.03333333333335,58.17962962962963
8,HashingEncoder,7,"(10000, 11)",1.5705368518829346,1.576905886332194,75.925,54.39166666666667
9,HashingEncoder,8,"(10000, 11)",1.5154118537902832,1.523259957631429,98.1625,89.81666666666666
10,HelmertEncoder,1,"(10000, 11)",19.353116989135742,19.502751111984253,20.624742268041235,20.35510905393085
11,OneHotEncoder,1,"(10000, 11)",17.424052953720093,17.46095935503642,24.101149425287353,22.777777777777775
12,OrdinalEncoder,1,"(10000, 11)",0.04757571220397949,0.052120208740234375,0.0,0.0
13,SumEncoder,1,"(10000, 11)",17.931346893310547,17.976292212804157,22.776666666666664,22.174814814814813
14,PolynomialEncoder,1,"(10000, 11)",52.64385223388672,53.30634609858195,34.24521072796935,33.81286476063261
15,BaseNEncoder,1,"(10000, 11)",0.23317408561706543,0.2467493216196696,21.2,10.483333333333333
16,LeaveOneOutEncoder,1,"(10000, 11)",0.24213480949401855,0.24957791964213052,15.5,7.3500000000000005
17,TargetEncoder,1,"(10000, 11)",0.14722704887390137,0.15312767028808594,0.0,0.0
18,WOEEncoder,1,"(10000, 11)",0.14037823677062988,0.14554373423258463,0.0,0.0
19,MEstimateEncoder,1,"(10000, 11)",0.12898993492126465,0.1325689951578776,0.0,0.0
20,JamesSteinEncoder,1,"(10000, 11)",0.14831995964050293,0.15620994567871094,0.0,0.0
21,CatBoostEncoder,1,"(10000, 11)",0.30011916160583496,0.3025675614674886,6.8,6.7
