% 1. Title: Horse Colic database
% 
% 2. Source Information
%    -- Creators: Mary McLeish & Matt Cecile
% 	  	Department of Computer Science
% 		University of Guelph
% 		Guelph, Ontario, Canada N1G 2W1
% 		mdmcleish@water.waterloo.edu
%    -- Donor:    Will Taylor (taylor@pluto.arc.nasa.gov)
%    -- Date:     8/6/89
% 
% 3. Past Usage:
%    -- Unknown
% 
% 4. Relevant Information:
% 
%    -- 2 data files 
%       -- horse-colic.data: 300 training instances
%       -- horse-colic.test: 68 test instances
%    -- Possible class attributes: 24 (whether lesion is surgical)
%      -- others include: 23, 25, 26, and 27
%    -- Many Data types: (continuous, discrete, and nominal)
% 
% 5. Number of Instances: 368 (300 for training, 68 for testing)
% 
% 6. Number of attributes: 28
% 
% 7. Attribute Information:
% 
%   1:  surgery?
%           1 = Yes, it had surgery
%           2 = It was treated without surgery
% 
%   2:  Age 
%           1 = Adult horse
%           2 = Young (< 6 months)
% 
%   3:  Hospital Number 
%           - numeric id
%           - the case number assigned to the horse
%             (may not be unique if the horse is treated > 1 time)
% 
%   4:  rectal temperature
%           - linear
%           - in degrees celsius.
%           - An elevated temp may occur due to infection.
%           - temperature may be reduced when the animal is in late shock
%           - normal temp is 37.8
%           - this parameter will usually change as the problem progresses
%                eg. may start out normal, then become elevated because of
%                    the lesion, passing back through the normal range as the
%                    horse goes into shock
%   5:  pulse 
%           - linear
%           - the heart rate in beats per minute
%           - is a reflection of the heart condition: 30 -40 is normal for adults
%           - rare to have a lower than normal rate although athletic horses
%             may have a rate of 20-25
%           - animals with painful lesions or suffering from circulatory shock
%             may have an elevated heart rate
% 
%   6:  respiratory rate
%           - linear
%           - normal rate is 8 to 10
%           - usefulness is doubtful due to the great fluctuations
% 
%   7:  temperature of extremities
%           - a subjective indication of peripheral circulation
%           - possible values:
%                1 = Normal
%                2 = Warm
%                3 = Cool
%                4 = Cold
%           - cool to cold extremities indicate possible shock
%           - hot extremities should correlate with an elevated rectal temp.
% 
%   8:  peripheral pulse
%           - subjective
%           - possible values are:
%                1 = normal
%                2 = increased
%                3 = reduced
%                4 = absent
%           - normal or increased p.p. are indicative of adequate circulation
%             while reduced or absent indicate poor perfusion
% 
%   9:  mucous membranes
%           - a subjective measurement of colour
%           - possible values are:
%                1 = normal pink
%                2 = bright pink
%                3 = pale pink
%                4 = pale cyanotic
%                5 = bright red / injected
%                6 = dark cyanotic
%           - 1 and 2 probably indicate a normal or slightly increased
%             circulation
%           - 3 may occur in early shock
%           - 4 and 6 are indicative of serious circulatory compromise
%           - 5 is more indicative of a septicemia
% 
%  10: capillary refill time
%           - a clinical judgement. The longer the refill, the poorer the
%             circulation
%           - possible values
%                1 = < 3 seconds
%                2 = >= 3 seconds
% 
%  11: pain - a subjective judgement of the horse's pain level
%           - possible values:
%                1 = alert, no pain
%                2 = depressed
%                3 = intermittent mild pain
%                4 = intermittent severe pain
%                5 = continuous severe pain
%           - should NOT be treated as a ordered or discrete variable!
%           - In general, the more painful, the more likely it is to require
%             surgery
%           - prior treatment of pain may mask the pain level to some extent
% 
%  12: peristalsis                              
%           - an indication of the activity in the horse's gut. As the gut
%             becomes more distended or the horse becomes more toxic, the
%             activity decreases
%           - possible values:
%                1 = hypermotile
%                2 = normal
%                3 = hypomotile
%                4 = absent
% 
%  13: abdominal distension
%           - An IMPORTANT parameter.
%           - possible values
%                1 = none
%                2 = slight
%                3 = moderate
%                4 = severe
%           - an animal with abdominal distension is likely to be painful and
%             have reduced gut motility.
%           - a horse with severe abdominal distension is likely to require
%             surgery just tio relieve the pressure
% 
%  14: nasogastric tube
%           - this refers to any gas coming out of the tube
%           - possible values:
%                1 = none
%                2 = slight
%                3 = significant
%           - a large gas cap in the stomach is likely to give the horse
%             discomfort
% 
%  15: nasogastric reflux
%           - possible values
%                1 = none
%                2 = > 1 liter
%                3 = < 1 liter
%           - the greater amount of reflux, the more likelihood that there is
%             some serious obstruction to the fluid passage from the rest of
%             the intestine
% 
%  16: nasogastric reflux PH
%           - linear
%           - scale is from 0 to 14 with 7 being neutral
%           - normal values are in the 3 to 4 range
% 
%  17: rectal examination - feces
%           - possible values
%                1 = normal
%                2 = increased
%                3 = decreased
%                4 = absent
%           - absent feces probably indicates an obstruction
% 
%  18: abdomen
%           - possible values
%                1 = normal
%                2 = other
%                3 = firm feces in the large intestine
%                4 = distended small intestine
%                5 = distended large intestine
%           - 3 is probably an obstruction caused by a mechanical impaction
%             and is normally treated medically
%           - 4 and 5 indicate a surgical lesion
% 
%  19: packed cell volume
%           - linear
%           - the # of red cells by volume in the blood
%           - normal range is 30 to 50. The level rises as the circulation
%             becomes compromised or as the animal becomes dehydrated.
% 
%  20: total protein
%           - linear
%           - normal values lie in the 6-7.5 (gms/dL) range
%           - the higher the value the greater the dehydration
% 
%  21: abdominocentesis appearance
%           - a needle is put in the horse's abdomen and fluid is obtained from
%             the abdominal cavity
%           - possible values:
%                1 = clear
%                2 = cloudy
%                3 = serosanguinous
%           - normal fluid is clear while cloudy or serosanguinous indicates
%             a compromised gut
% 
%  22: abdomcentesis total protein
%           - linear
%           - the higher the level of protein the more likely it is to have a
%             compromised gut. Values are in gms/dL
% 
%  23: outcome
%           - what eventually happened to the horse?
%           - possible values:
%                1 = lived
%                2 = died
%                3 = was euthanized
% 
%  24: surgical lesion?
%           - retrospectively, was the problem (lesion) surgical?
%           - all cases are either operated upon or autopsied so that
%             this value and the lesion type are always known
%           - possible values:
%                1 = Yes
%                2 = No
% 
%
%
%
%
% Relabeled values in attribute 'surgery'
%    From: '1'                     To: yes                 
%    From: '2'                     To: no                  
%
%
% Relabeled values in attribute 'Age'
%    From: '1'                     To: adult               
%    From: '9'                     To: young               
%
%
% Relabeled values in attribute 'temp_extremities'
%    From: '1'                     To: normal              
%    From: '2'                     To: warm                
%    From: '3'                     To: cool                
%    From: '4'                     To: cold                
%
%
% Relabeled values in attribute 'peripheral_pulse'
%    From: '1'                     To: normal              
%    From: '2'                     To: increased           
%    From: '3'                     To: reduced             
%    From: '4'                     To: absent              
%
%
% Relabeled values in attribute 'mucous_membranes'
%    From: '1'                     To: 'normal pink'       
%    From: '2'                     To: 'bright pink'       
%    From: '3'                     To: 'pale pink'         
%    From: '4'                     To: 'pale cyanotic'     
%    From: '5'                     To: 'bright red'        
%    From: '6'                     To: 'dark cyanotic'     
%
%
% Relabeled values in attribute 'capillary_refill_time'
%    From: '1'                     To: '<3'                
%    From: '2'                     To: '>=3'               
%    From: '3'                     To: 'meaning unknown'   
%
%
% Relabeled values in attribute 'pain'
%    From: '1'                     To: 'alert no pain'    
%    From: '2'                     To: depressed           
%    From: '3'                     To: 'intermittent mild pain'
%    From: '4'                     To: 'intermittent severe pain'
%    From: '5'                     To: 'continuous severe pain'
%
%
% Relabeled values in attribute 'peristalsis'
%    From: '1'                     To: hypermotile         
%    From: '2'                     To: normal              
%    From: '3'                     To: hypomotile          
%    From: '4'                     To: absent              
%
%
% Relabeled values in attribute 'abdominal_distension'
%    From: '1'                     To: none                
%    From: '2'                     To: slight              
%    From: '3'                     To: moderate            
%    From: '4'                     To: severe              
%
%
% Relabeled values in attribute 'nasogastric_tube'
%    From: '1'                     To: none                
%    From: '2'                     To: slight              
%    From: '3'                     To: significant         
%
%
% Relabeled values in attribute 'nasogastric_reflux'
%    From: '1'                     To: none                
%    From: '2'                     To: '>1l'               
%    From: '3'                     To: '<1l'               
%
%
% Relabeled values in attribute 'rectal_examination'
%    From: '1'                     To: normal              
%    From: '2'                     To: increased           
%    From: '3'                     To: decreased           
%    From: '4'                     To: absent              
%
%
% Relabeled values in attribute 'abdomen'
%    From: '1'                     To: normal              
%    From: '2'                     To: other               
%    From: '3'                     To: 'firm feces in large intestine'
%    From: '4'                     To: 'distended small intestine'
%    From: '5'                     To: 'distended large intestine'
%
%
% Relabeled values in attribute 'abdominocentesis_appearance'
%    From: '1'                     To: clear               
%    From: '2'                     To: cloudy              
%    From: '3'                     To: serosanguinous      
%
%
% Relabeled values in attribute 'outcome'
%    From: '1'                     To: lived               
%    From: '2'                     To: died                
%    From: '3'                     To: euthanized          
%
%
% Relabeled values in attribute 'surgical_lesion'
%    From: '1'                     To: yes                 
%    From: '2'                     To: no                  
%
@relation horse-colic
@attribute 'surgery' { yes, no}
@attribute 'Age' { adult, young}
@attribute 'rectal_temperature' real
@attribute 'pulse' real
@attribute 'respiratory_rate' real
@attribute 'temp_extremities' { normal, warm, cool, cold}
@attribute 'peripheral_pulse' { normal, increased, reduced, absent}
@attribute 'mucous_membranes' { 'normal pink', 'bright pink', 'pale pink', 'pale cyanotic', 'bright red', 'dark cyanotic'}
@attribute 'capillary_refill_time' { '<3', '>=3', 'meaning unknown'}
@attribute 'pain' { 'alert no pain', depressed, 'intermittent mild pain', 'intermittent severe pain', 'continuous severe pain'}
@attribute 'peristalsis' { hypermotile, normal, hypomotile, absent}
@attribute 'abdominal_distension' { none, slight, moderate, severe}
@attribute 'nasogastric_tube' { none, slight, significant}
@attribute 'nasogastric_reflux' { none, '>1l', '<1l'}
@attribute 'nasogastric_reflux_PH' real
@attribute 'rectal_examination' { normal, increased, decreased, absent}
@attribute 'abdomen' { normal, other, 'firm feces in large intestine', 'distended small intestine', 'distended large intestine'}
@attribute 'packed_cell_volume' real
@attribute 'total_protein' real
@attribute 'abdominocentesis_appearance' { clear, cloudy, serosanguinous}
@attribute 'abdomcentesis_total_protein' real
@attribute 'outcome' { lived, died, euthanized}
@attribute 'surgical_lesion' { yes, no}
@data
no,adult,38.5,66,28,cool,reduced,?,'>=3','continuous severe pain',absent,severe,?,?,?,decreased,'distended large intestine',45,8.4,?,?,died,no
yes,adult,39.2,88,20,?,?,'pale cyanotic','<3','intermittent mild pain',absent,slight,?,?,?,absent,other,50,85,cloudy,2,euthanized,no
no,adult,38.3,40,24,normal,normal,'pale pink','<3','intermittent mild pain',hypomotile,none,?,?,?,normal,normal,33,6.7,?,?,lived,no
yes,young,39.1,164,84,cold,normal,'dark cyanotic','>=3',depressed,absent,severe,none,'>1l',5,decreased,?,48,7.2,serosanguinous,5.3,died,yes
no,adult,37.3,104,35,?,?,'dark cyanotic','>=3',?,?,?,?,?,?,?,?,74,7.4,?,?,died,no
no,adult,?,?,?,warm,normal,'pale pink','<3',depressed,hypomotile,slight,slight,none,?,decreased,'firm feces in large intestine',?,?,?,?,lived,no
yes,adult,37.9,48,16,normal,normal,'normal pink','<3','intermittent mild pain',hypomotile,moderate,none,none,?,decreased,'distended large intestine',37,7,?,?,lived,yes
yes,adult,?,60,?,cool,?,?,'<3',?,absent,slight,slight,none,?,decreased,'distended small intestine',44,8.3,?,?,died,yes
no,adult,?,80,36,cool,absent,'pale pink','<3','intermittent severe pain',absent,severe,slight,none,?,decreased,'distended large intestine',38,6.2,?,?,euthanized,yes
no,young,38.3,90,?,normal,?,'normal pink','<3','continuous severe pain',hypomotile,none,slight,none,?,decreased,?,40,6.2,clear,2.2,lived,no
yes,adult,38.1,66,12,cool,reduced,'bright red','<3','intermittent mild pain',hypomotile,none,slight,none,3,increased,'distended large intestine',44,6,cloudy,3.6,lived,yes
no,adult,39.1,72,52,warm,?,'bright pink','<3',depressed,hypermotile,slight,none,none,?,absent,'distended small intestine',50,7.8,?,?,lived,yes
yes,adult,37.2,42,12,warm,normal,'normal pink','<3','intermittent mild pain',hypomotile,moderate,significant,none,?,absent,'distended large intestine',?,7,?,?,lived,no
no,young,38,92,28,normal,normal,'bright pink','<3','alert no pain',hypomotile,slight,significant,?,7.2,normal,normal,37,6.1,clear,?,died,no
yes,adult,38.2,76,28,cool,normal,'normal pink','<3','intermittent mild pain',absent,none,slight,'>1l',?,absent,'distended small intestine',46,81,clear,2,lived,yes
yes,adult,37.6,96,48,cool,normal,'pale cyanotic','<3','continuous severe pain',hypomotile,moderate,slight,'<1l',4.5,absent,?,45,6.8,?,?,died,yes
yes,young,?,128,36,cool,reduced,'pale cyanotic','>=3','intermittent severe pain',absent,moderate,significant,?,?,absent,'distended large intestine',53,7.8,serosanguinous,4.7,died,no
no,adult,37.5,48,24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,no
yes,adult,37.6,64,21,normal,normal,'bright pink','<3',depressed,hypomotile,none,none,none,?,increased,'distended large intestine',40,7,clear,?,lived,yes
no,adult,39.4,110,35,cold,reduced,'dark cyanotic',?,?,hypomotile,moderate,?,?,?,?,?,55,8.7,?,?,lived,no
yes,adult,39.9,72,60,normal,normal,'bright red','>=3','continuous severe pain',absent,severe,significant,none,?,absent,'distended small intestine',46,6.1,cloudy,?,lived,yes
no,adult,38.4,48,16,normal,?,'normal pink','<3','alert no pain',hypomotile,none,slight,'<1l',5.5,absent,'firm feces in large intestine',49,6.8,?,?,lived,no
yes,adult,38.6,42,34,warm,normal,'pale cyanotic',?,depressed,hypomotile,none,?,?,?,normal,?,48,7.2,?,?,lived,yes
yes,young,38.3,130,60,?,reduced,?,'<3',depressed,absent,?,?,?,?,?,?,50,70,?,?,lived,yes
yes,adult,38.1,60,12,cool,reduced,'pale pink','<3',?,absent,moderate,significant,'>1l',2,?,?,51,65,?,?,lived,yes
no,adult,37.8,60,42,?,?,?,'<3',?,?,?,?,?,?,?,?,?,?,?,?,lived,no
yes,adult,38.3,72,30,cold,reduced,'pale pink','>=3','intermittent mild pain',hypomotile,moderate,slight,none,?,decreased,'distended large intestine',43,7,cloudy,3.9,lived,yes
yes,adult,37.8,48,12,cool,normal,'normal pink','<3',?,hypomotile,slight,none,none,?,normal,'firm feces in large intestine',37,5.5,cloudy,1.3,lived,no
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,no
no,adult,37.7,48,?,warm,normal,'normal pink','<3','alert no pain',hypermotile,none,none,none,?,?,?,45,76,?,?,lived,no
no,adult,37.7,96,30,cool,reduced,'pale cyanotic','>=3','continuous severe pain',absent,severe,significant,'>1l',4,absent,'distended large intestine',66,7.5,?,?,died,yes
no,adult,37.2,108,12,cool,reduced,'pale cyanotic','>=3',depressed,absent,slight,?,'<1l',6,decreased,'firm feces in large intestine',52,8.2,serosanguinous,7.4,euthanized,yes
yes,adult,37.2,60,?,warm,normal,'normal pink','<3','intermittent mild pain',hypomotile,moderate,slight,none,?,absent,'distended large intestine',43,6.6,?,?,lived,yes
yes,adult,38.2,64,28,normal,normal,'normal pink','<3','intermittent mild pain',hypermotile,?,?,?,?,absent,'distended small intestine',49,8.6,cloudy,6.6,lived,yes
yes,adult,?,100,30,cool,reduced,'pale cyanotic','>=3','continuous severe pain',absent,severe,significant,'<1l',?,absent,'distended small intestine',52,6.6,?,?,lived,yes
no,adult,?,104,24,cold,reduced,'pale pink','>=3','intermittent severe pain',absent,moderate,?,'<1l',?,?,other,73,8.4,?,?,euthanized,yes
no,adult,38.3,112,16,?,reduced,'bright red','>=3',?,?,none,none,'>1l',?,?,'distended large intestine',51,6,cloudy,1,euthanized,no
yes,adult,37.8,72,?,?,reduced,?,'<3','continuous severe pain',hypomotile,none,?,none,?,normal,normal,56,80,clear,2,lived,yes
no,adult,38.6,52,?,normal,normal,'normal pink','<3','intermittent mild pain',hypomotile,slight,none,none,?,normal,'firm feces in large intestine',32,6.6,clear,5,lived,no
yes,young,39.2,146,96,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,?,88,?,cool,reduced,'dark cyanotic','>=3','continuous severe pain',hypomotile,moderate,none,'<1l',?,absent,'distended large intestine',63,6.5,serosanguinous,?,died,yes
no,young,39,150,72,?,?,?,?,?,?,?,?,?,?,?,?,47,8.5,?,0.1,lived,yes
no,adult,38,60,12,cool,normal,'pale pink','<3','intermittent mild pain',hypomotile,none,none,none,?,increased,other,47,7,?,?,lived,no
yes,adult,?,120,?,cool,absent,'pale cyanotic','<3','intermittent severe pain',absent,severe,none,none,?,?,'distended large intestine',52,67,cloudy,2,euthanized,yes
yes,adult,35.4,140,24,cool,reduced,'pale cyanotic','>=3','intermittent severe pain',absent,?,slight,none,?,?,'distended large intestine',57,69,serosanguinous,2,euthanized,yes
no,adult,?,120,?,cold,reduced,'pale cyanotic','>=3','continuous severe pain',absent,severe,none,none,?,absent,'distended large intestine',60,6.5,serosanguinous,?,died,yes
yes,adult,37.9,60,15,cool,?,'pale cyanotic','>=3','continuous severe pain',absent,severe,slight,'>1l',?,absent,'distended large intestine',65,7.5,?,?,lived,yes
no,adult,37.5,48,16,normal,normal,'normal pink','<3','alert no pain',hypermotile,none,none,none,?,normal,?,37,6.5,?,?,lived,no
yes,adult,38.9,80,44,cool,reduced,'pale pink','>=3',depressed,hypomotile,moderate,slight,'>1l',7,decreased,normal,54,6.5,serosanguinous,?,died,yes
no,adult,37.2,84,48,cool,reduced,'bright red','>=3','intermittent severe pain',hypermotile,slight,none,'>1l',?,increased,normal,73,5.5,cloudy,4.1,died,no
no,adult,38.6,46,?,normal,normal,'bright pink','<3','alert no pain',hypomotile,slight,none,none,?,?,other,49,9.1,clear,1.6,lived,no
yes,adult,37.4,84,36,normal,?,'pale pink','>=3','intermittent mild pain',hypomotile,slight,?,?,?,absent,'distended large intestine',?,?,serosanguinous,?,died,yes
no,adult,?,?,?,normal,normal,'pale pink','<3','alert no pain',hypomotile,none,?,?,?,increased,other,43,7.7,?,?,lived,no
no,adult,38.6,40,20,?,?,?,'<3',?,?,?,?,?,?,?,?,41,6.4,?,?,lived,no
no,adult,40.3,114,36,cool,reduced,'normal pink','>=3',depressed,hypomotile,moderate,slight,none,7,normal,'distended large intestine',57,8.1,serosanguinous,4.5,euthanized,yes
yes,young,38.6,160,20,cool,?,'bright red','<3','intermittent mild pain',hypomotile,severe,significant,?,?,absent,?,38,?,cloudy,?,died,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24,6.7,?,?,lived,yes
yes,adult,?,64,36,warm,?,'bright pink','<3','continuous severe pain',hypomotile,moderate,slight,'>1l',?,?,?,42,7.7,?,?,died,yes
yes,adult,?,?,20,cold,reduced,'pale pink',?,'continuous severe pain',absent,moderate,slight,?,?,absent,'distended small intestine',53,5.9,serosanguinous,?,died,yes
no,adult,?,96,?,cool,reduced,'pale pink','>=3','continuous severe pain',absent,severe,none,'>1l',?,absent,'distended large intestine',60,?,?,?,died,yes
no,adult,37.8,48,32,normal,normal,'pale pink','<3',depressed,hypermotile,?,none,none,?,absent,'distended large intestine',37,6.7,?,?,lived,no
no,adult,38.5,60,?,warm,increased,'normal pink','<3','alert no pain',normal,slight,slight,none,?,normal,normal,44,7.7,?,?,lived,no
yes,adult,37.8,88,22,warm,normal,'bright pink','<3','intermittent mild pain',?,?,slight,?,?,absent,?,64,8,clear,6,died,yes
no,adult,38.2,130,16,cold,reduced,'pale cyanotic','>=3',depressed,absent,severe,none,none,?,?,?,65,82,cloudy,2,euthanized,no
yes,adult,39,64,36,cool,normal,'pale cyanotic','>=3','intermittent mild pain',hypomotile,slight,none,'>1l',7,absent,'distended large intestine',44,7.5,serosanguinous,5,lived,yes
