%
% Complex Data
%

@RELATION complex

@ATTRIBUTE time REAL
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE th REAL
@ATTRIBUTE left_motor REAL
@ATTRIBUTE right_motor REAL
@ATTRIBUTE sonar1 REAL
@ATTRIBUTE sonar2 REAL
@ATTRIBUTE sonar3 REAL
@ATTRIBUTE sonar4 REAL
@ATTRIBUTE sonar5 REAL
@ATTRIBUTE sonar6 REAL
@ATTRIBUTE sonar7 REAL
@ATTRIBUTE sonar8 REAL
@ATTRIBUTE sonar9 REAL
@ATTRIBUTE sonar10 REAL
@ATTRIBUTE sonar11 REAL
@ATTRIBUTE sonar12 REAL
@ATTRIBUTE sonar13 REAL
@ATTRIBUTE sonar14 REAL
@ATTRIBUTE sonar15 REAL
@ATTRIBUTE sonar16 REAL

@DATA
0.202, 2.910, 0.000, -0.9668, 0.00, 49.00, 1481, 548, 5000, 5000, 4264, 4900, 5000, 5000, 5000, 1837, 1338, 1166, 1173, 1363, 1908, 1478
0.302, 7.760, 0.000, -1.9336, 1.00, 100.00, 1484, 545, 5000, 5000, 4285, 4981, 5000, 5000, 5000, 1783, 1321, 1165, 1186, 1396, 1878, 1475
0.402, 25.705, -0.970, -5.9766, 52.00, 151.00, 1496, 586, 5000, 5000, 4328, 5000, 3941, 5000, 5000, 1700, 1302, 1176, 1223, 1478, 1791, 1474
0.503, 38.800, -1.940, -6.9434, 78.00, 177.00, 1504, 611, 5000, 5000, 4352, 5000, 3864, 5000, 5000, 1669, 1298, 1187, 1248, 1528, 1754, 1476
0.603, 53.835, -3.880, -8.9650, 103.00, 202.00, 1515, 2310, 5000, 5000, 4378, 5000, 3791, 5000, 5000, 1644, 1299, 1201, 1278, 1585, 1720, 1480
0.704, 71.780, -6.790, -9.9318, 129.00, 228.00, 1527, 2397, 5000, 5000, 4404, 5000, 3724, 5000, 5000, 1626, 1303, 1219, 1311, 1650, 1689, 1486
0.805, 90.695, -10.670, -11.9533, 140.00, 239.00, 1542, 2494, 5000, 5000, 4434, 5000, 3660, 5000, 5000, 1611, 1309, 1239, 1348, 1721, 1662, 1494
0.905, 108.640, -14.550, -13.9748, 140.00, 239.00, 1310, 2601, 5000, 3725, 4468, 5000, 3601, 5000, 5000, 1598, 1317, 1260, 1387, 1797, 1637, 1504
1.055, 146.955, -23.765, -16.9631, 140.00, 239.00, 917, 5000, 5000, 2301, 4550, 5000, 3494, 5000, 4692, 1577, 1334, 1306, 1471, 1966, 1596, 1530
1.156, 164.900, -29.585, -17.9299, 140.00, 239.00, 773, 5000, 5000, 2292, 4599, 5000, 3447, 5000, 4347, 1569, 1345, 1331, 1517, 2000, 1579, 1451
1.257, 200.790, -41.710, -21.9729, 140.00, 239.00, 492, 5000, 5000, 4077, 4713, 5000, 3360, 4385, 3815, 1557, 1368, 1384, 1616, 1911, 1552, 1120
1.357, 218.735, -48.985, -22.9397, 140.00, 239.00, 509, 5000, 5000, 4085, 4780, 5000, 3322, 4132, 3606, 1553, 1382, 1413, 1670, 1872, 1541, 989
1.458, 236.680, -56.745, -24.9613, 140.00, 239.00, 527, 5000, 4995, 4097, 4852, 5000, 3286, 3912, 3424, 1551, 1396, 1444, 1728, 1838, 1533, 874
1.558, 253.655, -64.990, -25.9281, 140.00, 239.00, 547, 5000, 4967, 4112, 4933, 3820, 3253, 3720, 3266, 1550, 1411, 1475, 1789, 1806, 1526, 774
1.658, 270.630, -73.720, -27.9496, 140.00, 239.00, 1814, 5000, 4944, 4132, 5000, 3739, 1260, 3551, 3127, 1549, 1427, 1509, 1853, 1778, 1521, 686
1.761, 287.605, -82.935, -29.9711, 140.00, 239.00, 1857, 5000, 4924, 4155, 5000, 3664, 1283, 3401, 3003, 1551, 1445, 1544, 1923, 1753, 1519, 607
1.862, 304.580, -91.665, -27.9496, 239.00, 140.00, 1835, 5000, 4910, 4097, 4978, 3718, 3203, 3622, 3197, 1586, 1460, 1544, 1896, 1800, 1540, 615
1.962, 338.530, -109.610, -24.9613, 239.00, 140.00, 1797, 5000, 4894, 3992, 4729, 5000, 3232, 4154, 3665, 1663, 1498, 1548, 1851, 1901, 1587, 633
2.064, 355.990, -117.855, -25.9281, 140.00, 239.00, 1834, 5000, 4866, 4006, 4807, 3758, 3199, 3948, 3493, 1660, 1513, 1581, 1915, 1869, 1580, 493
2.164, 373.935, -125.615, -27.9496, 140.00, 239.00, 1874, 5000, 4842, 4025, 4892, 3678, 3169, 3767, 3342, 1659, 1528, 1615, 1982, 1840, 1575, 507
2.264, 389.940, -134.830, -29.9711, 140.00, 239.00, 1917, 5000, 4823, 4048, 4985, 3603, 3141, 3605, 3208, 1659, 1546, 1651, 2054, 1814, 1572, 522
2.365, 406.915, -144.530, -30.9379, 140.00, 239.00, 1964, 5000, 4807, 4074, 5000, 3533, 3116, 3462, 3089, 1660, 1564, 1690, 2132, 1791, 1571, 540
2.515, 423.890, -154.715, -32.9594, 140.00, 239.00, 2014, 5000, 2013, 4105, 5000, 3467, 3093, 3333, 2982, 1662, 1583, 1730, 2214, 1771, 1572, 1868
2.617, 439.895, -164.900, -33.9262, 140.00, 239.00, 2069, 4961, 2001, 4139, 5000, 3406, 1143, 3217, 2887, 1666, 1604, 1772, 2303, 1753, 1574, 1914
2.717, 455.900, -175.570, -35.9477, 140.00, 239.00, 2128, 4908, 1991, 4180, 5000, 3348, 1169, 3111, 2801, 1670, 1626, 1817, 2249, 1738, 1579, 1964
2.819, 470.935, -186.725, -33.9262, 239.00, 140.00, 2096, 4929, 1970, 4105, 5000, 3382, 3050, 3271, 2942, 1697, 1635, 1807, 2335, 1777, 1596, 1941
2.919, 486.940, -197.880, -32.9594, 239.00, 140.00, 2066, 4955, 1950, 4037, 5000, 3419, 3050, 3448, 3098, 1728, 1646, 1798, 2299, 1819, 1615, 1920
3.071, 518.950, -218.735, -32.9594, 140.00, 239.00, 2090, 4921, 1918, 4002, 5000, 3396, 3029, 3508, 3157, 1761, 1679, 1833, 2343, 1842, 1635, 1944
3.172, 535.925, -228.920, -33.9262, 140.00, 239.00, 2146, 4863, 1905, 4035, 5000, 3336, 3009, 3384, 3055, 1764, 1700, 1876, 2394, 1823, 1638, 1991
3.322, 566.965, -250.745, -37.9692, 140.00, 239.00, 2272, 4763, 3663, 4117, 5000, 3226, 2974, 3171, 2878, 1772, 1745, 1972, 2284, 1793, 1648, 2098
3.423, 581.515, -262.870, -38.9360, 140.00, 239.00, 2343, 4720, 3664, 4165, 5000, 3176, 2960, 3079, 2802, 1779, 1770, 2023, 2237, 1782, 556, 2158
3.524, 596.550, -274.995, -40.9575, 140.00, 239.00, 2420, 4681, 3668, 4219, 5000, 3129, 1579, 2994, 2733, 1786, 1797, 2078, 2194, 1772, 565, 2224
3.625, 610.615, -287.605, -41.9244, 140.00, 239.00, 2503, 4647, 3676, 4278, 5000, 3085, 1016, 2917, 2670, 1794, 1824, 2136, 2155, 1766, 577, 2296
3.726, 625.650, -300.700, -40.9575, 239.00, 140.00, 2453, 4652, 3639, 4185, 5000, 3103, 2922, 3038, 2776, 1815, 1826, 2111, 2227, 1799, 591, 2258
3.876, 639.715, -312.825, -38.9360, 239.00, 140.00, 2407, 4661, 3606, 4099, 5000, 3123, 2910, 3170, 2893, 1837, 1828, 2089, 2302, 1835, 605, 2223
3.978, 654.750, -324.950, -40.9575, 140.00, 239.00, 2485, 4623, 3609, 4152, 5000, 3077, 2897, 3082, 2821, 1844, 1855, 2145, 2258, 1825, 615, 2290
4.078, 683.850, -350.655, -43.9459, 140.00, 239.00, 2570, 4589, 3617, 4210, 5000, 3033, 2124, 3002, 2755, 1853, 1883, 2204, 2218, 1818, 626, 2363
