%
% Irregular Data
%

@RELATION irregular

@ATTRIBUTE time REAL
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE th REAL
@ATTRIBUTE left_motor REAL
@ATTRIBUTE right_motor REAL
@ATTRIBUTE sonar1 REAL
@ATTRIBUTE sonar2 REAL
@ATTRIBUTE sonar3 REAL
@ATTRIBUTE sonar4 REAL
@ATTRIBUTE sonar5 REAL
@ATTRIBUTE sonar6 REAL
@ATTRIBUTE sonar7 REAL
@ATTRIBUTE sonar8 REAL
@ATTRIBUTE sonar9 REAL
@ATTRIBUTE sonar10 REAL
@ATTRIBUTE sonar11 REAL
@ATTRIBUTE sonar12 REAL
@ATTRIBUTE sonar13 REAL
@ATTRIBUTE sonar14 REAL
@ATTRIBUTE sonar15 REAL
@ATTRIBUTE sonar16 REAL

@DATA
0.202, 2.910, 0.000, -0.9668, 0.00, 56.00, 5000, 3698, 5000, 4716, 2739, 1605, 1221, 1152, 1076, 1050, 1303, 2027, 1687, 5000, 5000, 4993
0.302, 8.730, 0.000, -2.9883, 8.00, 107.00, 5000, 3666, 5000, 4549, 2574, 1557, 1198, 1131, 1061, 1057, 1347, 2084, 1669, 5000, 5000, 5000
0.404, 16.975, 0.000, -2.9883, 64.00, 107.00, 1582, 3647, 5000, 4473, 2508, 1539, 1203, 1130, 1063, 1071, 1356, 2069, 1662, 5000, 5000, 5000
0.504, 28.615, -0.970, -2.9883, 116.00, 116.00, 1583, 3648, 5000, 4462, 2505, 1538, 1185, 1150, 1062, 1070, 1369, 2081, 1674, 5000, 5000, 5000
0.604, 43.650, -1.940, -2.9883, 144.00, 144.00, 1563, 3627, 5000, 4447, 2502, 1529, 1176, 1149, 1062, 1069, 1380, 2096, 1689, 5000, 5000, 5000
0.705, 60.625, -2.910, -2.9883, 175.00, 175.00, 1565, 3623, 5000, 4429, 2498, 1508, 1175, 1148, 1081, 1089, 1378, 2114, 1706, 5000, 5000, 5000
0.805, 80.995, -3.880, -2.9883, 200.00, 200.00, 1545, 3602, 5000, 4409, 2493, 1496, 1174, 1147, 1080, 1094, 1375, 2154, 1726, 5000, 5000, 5000
0.907, 101.850, -4.850, -2.9883, 200.00, 200.00, 1526, 3598, 5000, 4369, 2487, 1494, 1172, 1126, 1078, 1092, 1382, 2174, 1731, 5000, 5000, 5000
1.007, 121.735, -5.820, -2.9883, 200.00, 200.00, 1507, 3572, 5000, 4349, 2467, 1492, 1165, 1125, 1098, 1118, 1404, 2194, 1748, 5000, 5000, 5000
1.108, 141.620, -6.790, -2.9883, 200.00, 200.00, 1489, 3573, 5000, 4329, 2446, 1484, 1145, 1124, 1096, 1117, 1412, 2214, 1768, 5000, 5000, 5000
1.208, 161.990, -8.730, -2.9883, 200.00, 200.00, 1470, 3548, 5000, 4309, 2425, 1460, 1143, 1123, 1115, 1115, 1410, 2234, 1789, 5000, 5000, 5000
1.358, 201.760, -10.670, -2.9883, 200.00, 200.00, 1412, 3514, 5000, 4268, 2384, 1447, 1140, 1101, 1113, 1139, 1449, 2274, 1830, 5000, 5000, 5000
1.460, 222.615, -11.640, -2.9883, 200.00, 200.00, 1393, 3498, 5000, 4249, 2371, 1445, 1132, 1099, 1132, 1138, 1446, 2294, 1850, 5000, 5000, 5000
