% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-authorship

@attribute a INTEGER
@attribute all INTEGER
@attribute also INTEGER
@attribute an INTEGER
@attribute and INTEGER
@attribute any INTEGER
@attribute are INTEGER
@attribute as INTEGER
@attribute at INTEGER
@attribute be INTEGER
@attribute been INTEGER
@attribute but INTEGER
@attribute by INTEGER
@attribute can INTEGER
@attribute do INTEGER
@attribute down INTEGER
@attribute even INTEGER
@attribute every INTEGER
@attribute for INTEGER
@attribute from INTEGER
@attribute had INTEGER
@attribute has INTEGER
@attribute have INTEGER
@attribute her INTEGER
@attribute his INTEGER
@attribute if INTEGER
@attribute in INTEGER
@attribute into INTEGER
@attribute is INTEGER
@attribute it INTEGER
@attribute its INTEGER
@attribute may INTEGER
@attribute more INTEGER
@attribute must INTEGER
@attribute my INTEGER
@attribute no INTEGER
@attribute not INTEGER
@attribute now INTEGER
@attribute of INTEGER
@attribute on INTEGER
@attribute one INTEGER
@attribute only INTEGER
@attribute or INTEGER
@attribute our INTEGER
@attribute should INTEGER
@attribute so INTEGER
@attribute some INTEGER
@attribute such INTEGER
@attribute than INTEGER
@attribute that INTEGER
@attribute the INTEGER
@attribute their INTEGER
@attribute then INTEGER
@attribute there INTEGER
@attribute things INTEGER
@attribute this INTEGER
@attribute to INTEGER
@attribute up INTEGER
@attribute upon INTEGER
@attribute was INTEGER
@attribute were INTEGER
@attribute what INTEGER
@attribute when INTEGER
@attribute which INTEGER
@attribute who INTEGER
@attribute will INTEGER
@attribute with INTEGER
@attribute would INTEGER
@attribute your INTEGER
@attribute BookID INTEGER
@attribute Author {Austen,London,Milton,Shakespeare}

@data
46,12,0,3,66,9,4,16,13,13,4,8,8,1,0,1,5,0,21,12,16,3,6,62,3,3,30,3,9,14,1,2,6,5,0,10,16,2,54,7,8,1,7,0,4,7,1,3,3,17,67,6,2,5,1,4,47,2,3,40,11,7,5,6,8,4,9,1,0,1,Austen
35,10,0,7,44,4,3,18,16,9,3,9,14,2,5,1,2,4,14,8,14,2,6,42,1,2,22,5,11,21,1,1,7,4,8,10,11,3,57,10,5,2,6,1,4,11,7,6,5,17,76,6,2,7,0,7,48,1,1,27,13,5,7,7,3,5,14,8,0,1,Austen
46,2,0,3,40,1,13,11,9,23,11,13,13,4,7,3,0,8,15,2,12,5,20,17,9,6,31,1,16,27,1,3,7,4,10,6,19,8,41,7,7,1,7,2,5,10,7,4,8,10,48,4,3,4,1,6,46,1,1,24,6,10,4,6,4,5,15,3,9,1,Austen
40,7,0,4,64,3,3,20,13,20,7,11,6,1,1,4,0,6,20,3,26,2,4,33,4,2,26,0,12,11,3,0,6,1,3,7,15,3,62,11,2,3,4,1,5,7,0,3,6,16,80,13,3,3,1,7,43,1,1,26,10,3,6,10,5,3,22,4,3,1,Austen
29,5,0,6,52,5,14,17,6,16,12,8,9,5,3,2,0,6,17,8,10,2,19,18,4,4,38,3,12,22,5,0,4,6,4,8,21,4,69,4,6,6,15,3,2,12,5,5,1,13,87,10,0,3,1,5,34,3,1,23,5,8,4,13,2,4,21,10,0,1,Austen
27,8,0,3,42,2,15,11,14,12,6,13,12,3,17,0,1,1,9,3,6,0,15,18,9,11,15,0,21,22,0,3,4,4,11,5,31,4,45,8,6,2,4,3,6,13,1,4,2,23,59,2,0,6,0,8,37,4,1,13,8,7,1,7,6,3,18,4,5,1,Austen
34,8,0,15,44,2,6,16,14,11,5,16,9,2,11,1,0,4,14,6,11,3,13,15,6,3,17,2,10,40,2,0,2,5,11,9,14,3,52,9,7,5,4,0,2,13,5,7,3,21,62,2,2,4,2,6,31,4,2,27,3,4,4,2,4,9,11,6,4,1,Austen
38,6,1,2,67,3,6,17,4,21,4,7,13,0,2,1,2,0,15,7,18,1,2,41,14,2,21,3,13,16,0,2,2,4,4,2,16,4,61,9,4,7,1,0,4,9,1,4,4,15,75,2,4,2,1,7,55,4,0,16,7,2,3,4,6,7,15,3,5,1,Austen
34,12,0,5,50,2,8,7,13,7,6,10,10,4,8,0,1,2,14,8,15,3,15,37,4,5,24,3,15,23,1,1,7,1,11,4,29,3,39,7,5,2,6,1,0,13,1,8,3,13,51,4,1,4,0,14,54,3,2,19,7,8,7,6,1,2,13,12,5,1,Austen
54,8,0,6,44,4,8,13,17,14,2,10,8,2,7,7,0,0,15,2,7,1,7,29,19,5,36,2,18,20,6,1,1,2,5,8,26,5,45,6,6,1,8,2,3,8,2,5,1,18,67,3,4,14,1,4,43,2,3,24,3,7,1,6,3,5,15,6,2,1,Austen
36,8,0,4,61,2,5,10,11,9,9,8,7,1,3,1,1,0,20,5,26,1,14,35,19,4,28,3,16,24,0,0,3,2,9,7,15,5,41,12,2,4,3,1,1,5,5,5,4,17,60,1,4,7,3,5,51,1,2,24,7,8,3,13,1,5,16,10,3,1,Austen
26,10,0,6,47,4,2,10,6,18,8,10,13,2,5,1,1,6,23,8,15,2,16,37,6,3,27,1,9,13,1,2,1,3,8,5,24,4,52,9,4,4,10,2,5,7,9,3,5,13,80,8,1,2,0,6,44,1,1,19,7,5,4,6,1,4,17,12,4,1,Austen
38,9,0,5,44,4,13,14,8,16,4,17,10,7,15,0,0,4,22,5,4,4,16,8,5,7,28,5,26,16,2,2,4,4,9,6,20,5,60,4,8,7,8,1,4,15,0,7,2,29,68,10,3,10,2,8,49,1,1,8,8,4,8,3,9,8,14,8,7,1,Austen
