% The Committee on Statistical Graphics of the American Statistical
% Association (ASA) invites you to participate in its Second (1983)
% Exposition of Statistical Graphics Technology. The purposes of the
% Exposition are (l) to provide a forum in which users and providers of
% statistical graphics technology can exchange information and ideas and
% (2) to expose those members of the ASA community who are less familiar
% with statistical graphics to its capabilities and potential benefits
% to them. The Exposition wil1 be held in conjunction with the Annual
% Meetings in Toronto, August 15-18, 1983 and is tentatively scheduled
% for the afternoon of Wednesday, August 17.
% 
% Seven providers of statistical graphics technology participated in the
% l982 Exposition. By all accounts, the Exposition was well received by
% the ASA community and was a worthwhile experience for the
% participants. We hope to have those seven involved again this year,
% along with as many new participants as we can muster. The 1982
% Exposition was summarized in a paper to appear in the Proceeding of
% the Statistical Computing Section. A copy of that paper is enclosed
% for your information.
% 
% The basic format of the 1983 Exposition will be similar to that of
% 1982. However, based upon comments received and experience gained,
% there are some changes. The basic structure, intended to be simpler
% and more flexible than last year, is as follows:
% 
% A fixed data set is to be analyzed. This data set is a version of the
% CRCARS data set of
% 
%     Donoho, David and Ramos, Ernesto (1982), ``PRIMDATA:
%       Data Sets for Use With PRIM-H'' (DRAFT).
% 
% Because of the Committee's limited (zero) budget for the Exposition,
% we are forced to provide the data in hardcopy form only (enclosed).
% (Sorry!)
% 
% There are 406 observations on the following 8 variables: MPG (miles
% per gallon), # cylinders, engine displacement (cu. inches), horsepower,
% vehicle weight (lbs.), time to accelerate from O to 60 mph (sec.),
% model year (modulo 100), and origin of car (1. American, 2. European,
% 3. Japanese). These data appear on seven pages. Also provided are the
% car labels (types) in the same order as the 8 variables on seven
% separate pages. Missing data values are marked by series of question
% marks.
% 
% You are asked to analyze these data using your statistical graphics
% software. Your objective should be to achieve graphical displays which
% will be meaningful to the viewers and highlight relevant aspects of
% the data. If you can best achieve this using simple graphical formats,
% fine. If you choose to illustrate some of the more sophisticated
% capabilities of your software and can do so without losing relevancy
% to the data, that is fine, too. This year, there will be no Committee
% commentary on the individual presentations, so you are not competing
% with other presenters. The role of each presenter is to do his/her
% best job of presenting their statistical graphics technology to the
% viewers.
% 
% Each participant will be provided with a 6'(long) by 4'(tall)
% posterboard on which to display the results of their analyses. This is
% the same format as last year. You are encouraged to remain by your
% presentation during the Exposition to answer viewers' questions. Three
% copies of your presentation must be submitted to me by July 1. Movie
% or slide show presentations cannot be accommodated (sorry). The
% Committee will prepare its own poster presentation which will orient
% the viewers to the data and the purposes of the Exposition.
% 
% The ASA has asked us to remind all participants that the Exposition is
% intended for educational and scientific purposes and is not a
% marketing activity. Even though last year's participants did an
% excellent job of maintaining that distinction, a cautionary note at
% this point is appropriate.
% 
% Those of us who were involved with the 1982 Exposition found it
% worthwhile and fun to do. We would very much like to have you
% participate this year. For planning purposes, please RSVP (to me, in
% writing please) by April 15 as to whether you plan to accept the
% Committee's invitation.
% 
% If you have any questions about the Exposition, please call me on
% (301/763-5350). If you have specific questions about the data, or the
% analysis, please call Karen Kafadar on (301/921-3651). If you cannot
% participate but know of another person or group in your organization
% who can, please pass this invitation along to them.
% 
% Sincerely,
% 
%  
% 
% LAWRENCE H. COX
% Statistical Research Division
% Bureau of the Census
% Room 3524-3
% Washington, DC 20233
% 
%                
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation cars

@attribute mpg REAL
@attribute cylinders {3,4,5,6,8}
@attribute displacement REAL
@attribute horsepower REAL
@attribute weight INTEGER
@attribute acceleration REAL
@attribute model.year INTEGER
@attribute origin {1,2,3}

@data
18.0,8,307.0,130.0,3504,12.0,70,1
15.0,8,350.0,165.0,3693,11.5,70,1
18.0,8,318.0,150.0,3436,11.0,70,1
16.0,8,304.0,150.0,3433,12.0,70,1
17.0,8,302.0,140.0,3449,10.5,70,1
15.0,8,429.0,198.0,4341,10.0,70,1
14.0,8,454.0,220.0,4354,9.0,70,1
14.0,8,440.0,215.0,4312,8.5,70,1
14.0,8,455.0,225.0,4425,10.0,70,1
15.0,8,390.0,190.0,3850,8.5,70,1
?,4,133.0,115.0,3090,17.5,70,2
?,8,350.0,165.0,4142,11.5,70,1
?,8,351.0,153.0,4034,11.0,70,1
?,8,383.0,175.0,4166,10.5,70,1
?,8,360.0,175.0,3850,11.0,70,1
15.0,8,383.0,170.0,3563,10.0,70,1
14.0,8,340.0,160.0,3609,8.0,70,1
?,8,302.0,140.0,3353,8.0,70,1
15.0,8,400.0,150.0,3761,9.5,70,1
14.0,8,455.0,225.0,3086,10.0,70,1
24.0,4,113.0,95.00,2372,15.0,70,3
22.0,6,198.0,95.00,2833,15.5,70,1
18.0,6,199.0,97.00,2774,15.5,70,1
21.0,6,200.0,85.00,2587,16.0,70,1
27.0,4,97.00,88.00,2130,14.5,70,3
26.0,4,97.00,46.00,1835,20.5,70,2
25.0,4,110.0,87.00,2672,17.5,70,2
24.0,4,107.0,90.00,2430,14.5,70,2
25.0,4,104.0,95.00,2375,17.5,70,2
26.0,4,121.0,113.0,2234,12.5,70,2
21.0,6,199.0,90.00,2648,15.0,70,1
10.0,8,360.0,215.0,4615,14.0,70,1
10.0,8,307.0,200.0,4376,15.0,70,1
11.0,8,318.0,210.0,4382,13.5,70,1
9.0,8,304.0,193.0,4732,18.5,70,1
27.0,4,97.00,88.00,2130,14.5,71,3
28.0,4,140.0,90.00,2264,15.5,71,1
25.0,4,113.0,95.00,2228,14.0,71,3
25.0,4,98.00,?,2046,19.0,71,1
?,4,97.00,48.00,1978,20.0,71,2
19.0,6,232.0,100.0,2634,13.0,71,1
16.0,6,225.0,105.0,3439,15.5,71,1
17.0,6,250.0,100.0,3329,15.5,71,1
19.0,6,250.0,88.00,3302,15.5,71,1
18.0,6,232.0,100.0,3288,15.5,71,1
14.0,8,350.0,165.0,4209,12.0,71,1
14.0,8,400.0,175.0,4464,11.5,71,1
14.0,8,351.0,153.0,4154,13.5,71,1
14.0,8,318.0,150.0,4096,13.0,71,1
12.0,8,383.0,180.0,4955,11.5,71,1
13.0,8,400.0,170.0,4746,12.0,71,1
13.0,8,400.0,175.0,5140,12.0,71,1
18.0,6,258.0,110.0,2962,13.5,71,1
22.0,4,140.0,72.00,2408,19.0,71,1
19.0,6,250.0,100.0,3282,15.0,71,1
18.0,6,250.0,88.00,3139,14.5,71,1
23.0,4,122.0,86.00,2220,14.0,71,1
28.0,4,116.0,90.00,2123,14.0,71,2
30.0,4,79.00,70.00,2074,19.5,71,2
30.0,4,88.00,76.00,2065,14.5,71,2
31.0,4,71.00,65.00,1773,19.0,71,3
35.0,4,72.00,69.00,1613,18.0,71,3
27.0,4,97.00,60.00,1834,19.0,71,2
26.0,4,91.00,70.00,1955,20.5,71,1
24.0,4,113.0,95.00,2278,15.5,72,3
25.0,4,97.50,80.00,2126,17.0,72,1
23.0,4,97.00,54.00,2254,23.5,72,2
20.0,4,140.0,90.00,2408,19.5,72,1
21.0,4,122.0,86.00,2226,16.5,72,1
13.0,8,350.0,165.0,4274,12.0,72,1
14.0,8,400.0,175.0,4385,12.0,72,1
