% County data from the 2000 Presidential Election in Florida.
%
% Compiled by Brett Presnell
% Department of Statistics, University of Florida
% 
% These data are derived from three sources, described below.  As far
% as I am aware, you are free to use these data in any way that you
% see fit, though some acknowledgement is always nice.
% 
% The candidate vote counts are the final certified counts reported
% by the Florida Division of Elections.  These were obtained from
% the NORC web site in the file Cert_results.csv.  Note that these
% do NOT inculde the federal absentee votes (so that Gore's total
% vote is actually higher here than Bush's).
% 
% The undervote and overvote counts were extracted from the NORC
% ballot level data in the file aligned.txt.  Since aligned.txt is
% too large to work with in R (or almost any other program) I used
% cut (a standard UNIX program) to extract just the columns I needed:
% 
%      cut -f 2,9,10 -d"|" aligned.txt  > tmp
% 
% Then I read the results into R and processed them there.
% 
% The technology and columns data were extracted from the Media
% Group data from the NORC web site.  "Technology" is simply the
% type of voting machine used, and "columns" is 1 if the ballot
% listed the presidential candidates in a single column on a single
% page, and 2 if the presidential candidates were spread over two
% columns or two pages of the ballot.
% 
% These agree with some earlier data that I had obtained from the NY
% Times web site, except that in the media group data the PalmBeach
% county ballot (the famous butterfly ballot) was listed as having
% one column.  I would definitely call this a two-column ballot, so
% that is the designation recorded here.  At one time I thought that
% MiamiDade County also used a two-column ballot, but I was wrong
% (the ballot listed the candidates and parties in English and
% Spanish in opposing columns).  Images of most of the ballots can
% be found on the New York Times web site:
% www.nytimes.com/images/2001/11/12/politics/recount/index_BALLOT.html
% 
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: 2
%

@relation fl2000

@attribute county {Alachua,Baker,Bay,Bradford,Brevard,Broward,Calhoun,Charlotte,Citrus,Clay,Collier,Columbia,DeSoto,Dixie,Duval,Escambia,Flagler,Franklin,Gadsden,Gilchrist,Glades,Gulf,Hamilton,Hardee,Hendry,Hernando,Highlands,Hillsborough,Holmes,IndianRiver,Jackson,Jefferson,Lafayette,Lake,Lee,Leon,Levy,Liberty,Madison,Manatee,Marion,Martin,MiamiDade,Monroe,Nassau,Okaloosa,Okeechobee,Orange,Osceola,PalmBeach,Pasco,Pinellas,Polk,Putnam,SantaRosa,Sarasota,Seminole,StJohns,StLucie,Sumter,Suwannee,Taylor,Union,Volusia,Wakulla,Walton,Washington}
@attribute technology {Datavote,Hand,Lever,Optical,Votomatic}
@attribute columns {1,2}
@attribute under INTEGER
@attribute over INTEGER
@attribute Bush INTEGER
@attribute Gore INTEGER
@attribute Browne INTEGER
@attribute Nader INTEGER
@attribute Harris INTEGER
@attribute Hagelin INTEGER
@attribute Buchanan INTEGER
@attribute McReynolds INTEGER
@attribute Phillips INTEGER
@attribute Moorehead INTEGER
@attribute Chote INTEGER
@attribute McCarthy INTEGER

@data
Alachua,Optical,1,217,105,34124,47365,658,3226,6,42,263,4,20,21,0,0
Baker,Optical,1,79,46,5610,2392,17,53,0,3,73,0,3,3,0,0
Bay,Optical,1,541,141,38637,18850,171,828,5,18,248,3,18,27,0,0
Bradford,Optical,2,41,695,5414,3075,28,84,0,2,65,0,2,3,0,0
Brevard,Optical,1,277,136,115185,97318,643,4470,11,39,570,11,72,76,0,0
Broward,Votomatic,1,4946,7826,177902,387703,1217,7104,54,135,795,37,74,122,0,0
Calhoun,Optical,1,78,0,2873,2155,10,39,0,1,90,1,2,3,0,0
Charlotte,Optical,2,170,2985,35426,29645,127,1462,6,15,182,3,18,12,0,0
Citrus,Optical,1,154,54,29767,25525,194,1379,5,16,270,0,18,28,2,0
Clay,Optical,1,223,157,41736,14632,204,562,1,14,186,3,6,9,0,0
Collier,Votomatic,1,2070,1134,60450,29921,185,1400,7,34,122,4,10,29,0,0
Columbia,Optical,1,76,615,10964,7047,127,258,1,7,89,2,8,5,0,0
DeSoto,Datavote,2,66,568,4256,3320,23,157,0,0,36,3,8,2,3,3
Dixie,Datavote,1,22,306,2697,1826,32,75,0,2,29,0,3,2,0,0
Duval,Votomatic,2,5090,21855,152098,107864,952,2757,37,162,652,15,58,41,0,0
Escambia,Optical,1,679,3680,73017,40943,296,1727,6,24,502,3,110,20,0,0
Flagler,Optical,1,60,7,12613,13897,60,435,1,4,83,3,3,12,0,0
Franklin,Optical,2,70,350,2454,2046,17,85,1,3,33,0,3,2,0,0
Gadsden,Optical,2,121,1946,4767,9735,24,139,3,4,38,4,7,6,0,0
Gilchrist,Datavote,1,47,241,3300,1910,52,97,0,1,29,0,2,4,0,0
Glades,Datavote,1,68,281,1841,1442,12,56,0,3,9,1,0,1,0,0
Gulf,Optical,2,47,362,3550,2397,21,86,2,4,71,2,2,9,0,0
Hamilton,Optical,2,31,373,2146,1722,12,37,4,1,23,8,7,4,0,0
Hardee,Datavote,1,84,323,3765,2339,17,75,0,2,30,0,2,3,0,0
Hendry,Optical,2,39,760,4747,3240,11,104,3,1,22,2,7,2,0,0
Hernando,Optical,1,83,148,30646,32644,116,1501,8,26,242,4,10,22,0,0
Highlands,Votomatic,1,466,520,20206,14167,64,545,6,16,127,3,7,8,0,0
Hillsborough,Votomatic,1,5431,3640,180760,169557,1138,7490,35,217,847,29,68,154,0,0
Holmes,Optical,1,97,40,5011,2177,18,94,1,7,76,3,6,2,0,0
IndianRiver,Votomatic,1,1044,790,28635,19768,122,950,4,13,105,2,13,10,0,0
Jackson,Optical,2,94,998,9138,6868,40,138,0,2,102,1,4,7,0,0
