% Datasets for `Pattern Recognition and Neural Networks' by B.D. Ripley
% =====================================================================
% 
% Cambridge University Press (1996)  ISBN  0-521-46086-7
% 
% The background to the datasets is described in section 1.4; this file
% relates the computer-readable files to that description.
% 
% 
% 
% Cushing's syndrome
% ------------------
% 
% Data from Aitchison & Dunsmore (1975, Tables 11.1-3).
% 
% Data file Cushings.dat has four columns, 
% 
% Label of the patient
% Tetrhydrocortisone  (mg/24hr)
% Pregnanetriol  (mg/24hr)
% Type
% 
% The type of the last six patients (u1 to u6) should be
% regarded as unknown.  (The code `o' indicates `other').
% 
% 
% 
% synthetic two-class problem
% ---------------------------
% 
% Data from Ripley (1994a).
% 
% This has two real-valued co-ordinates (xs and ys) and a class (xc)
% which is 0 or 1.
% 
% Data file  synth.tr   has 250 rows of the training set
%            synth.te   has 1000 rows of the test set  (not used here)
% 
% 
% 
% viruses
% -------
% 
% This is a dataset on 61 viruses with rod-shaped particles affecting
% various crops (tobacco, tomato, cucumber and others) described by
% {Fauquet et al. (1988) and analysed by Eslava-G\'omez (1989).  There
% are 18 measurements on each virus,  the number of amino acid residues
% per molecule of coat protein.
% 
% Data file  viruses.dat  has 61 rows of 18 counts
% 	   virus3.dat   has 38 rows corresponding to the distinct
% 	   		Tobamoviruses.
% 
% The whole dataset is in order Hordeviruses (3), Tobraviruses (6),
% Tobamoviruses (39) and `furoviruses' (13).
% 
% 
% 
% Leptograpsus crabs
% ------------------
% 
% Data from Campbell & Mahon (1974) on the morphology of rock crabs of
% genus Leptograpsus.
% 
% There are 50 specimens of each sex of each of two colour forms.
% 
% Data file  crabs.dat has rows
% 
% sp	`species', coded B (blue form) or O (orange form)
% sex	coded M or F
% index	within each group of 50
% FL	frontal lip of carapace (mm)
% RW	rear width of carapace (mm)
% CL	length along the midline of carapace (mm)
% CW	maximum width of carapace (mm)
% BD	body depth (mm)
% 
% 
% 
% Forensic glass
% --------------
% 
% This example comes from forensic testing of glass collected by
% B. German on 214 fragments of glass.  It is also contained in the
% UCI machine-learning database collection (Murphy & Aha, 1995).
% 
% Data file fglass.dat has 214 rows with data for a single glass
% fragment.
% 
% RI	refractive index
% Na	% weight of sodium oxide(s)
% Mg	% weight of magnesium oxide(s)
% Al	% weight of aluminium oxide(s)
% Si	% weight of silicon oxide(s)
% K	% weight of potassium oxide(s)
% Ca	% weight of calcium oxide(s)
% Ba	% weight of barium oxide(s)
% Fe	% weight of iron oxide(s)
% type	coded 1 to 7
% 
% The type codes are:
% 
% 	1 (WinF) window float glass
% 	2 (WinNF) window non-float glass
% 	3 (Veh) vehicle glass
% 	5 (Con)  containers
% 	6 (Tabl) tableware
% 	7 (Head) vehicle headlamp glass
% 
% The ten groups used for the cross-validation experiments (I believe)
% are listed as row numbers in the file fglass.grp,
% 
% 
% 
% Diabetes in Pima Indians
% ------------------------
% 
% A population of women who were at least 21 years old, of Pima Indian heritage
% and living near Phoenix, Arizona,  was tested for diabetes
% according to World Health Organization criteria.  The data
% were collected by the US National Institute of Diabetes and Digestive and
% Kidney Diseases (Smith et al, 1988). This example is also contained in the
% UCI machine-learning database collection (Murphy & Aha, 1995).
% 
% The data files have rows containing
% 
% npreg 	number of pregnancies
% glu 	plasma glucose concentration in an oral glucose tolerance test
% bp 	diastolic blood pressure (mm Hg)
% skin 	triceps skin fold thickness (mm)
% ins	serum insulin (micro U/ml)
% bmi 	body mass index (weight in kg/(height in m)^2)
% ped 	diabetes pedigree function
% age 	in years
% type	No / Yes
% 
% Data file pima.tr   has 200 rows of complete training data.
%           pima.te   has 332 rows of complete test data.
%           pima.tr2  has the 200 rows of pima.tr plus 100 incomplete rows.
% 
%
% Note: there were no column information in the data, hence the names
%       were generated automatically
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: none specific
%

@relation prnn-viruses

@attribute col_1 INTEGER
@attribute col_2 INTEGER
@attribute col_3 INTEGER
@attribute col_4 INTEGER
@attribute col_5 INTEGER
@attribute col_6 INTEGER
@attribute col_7 INTEGER
@attribute col_8 {0,1,2,3}
@attribute col_9 INTEGER
@attribute col_10 {0,1,2,3,4,7}
@attribute col_11 {3,4,5,6,7,8,9,10,11}
@attribute col_12 {11,12,13,14,15,16,17,18,19,21}
@attribute col_13 {4,5,6,7,8,9,12,15}
@attribute col_14 {4,5,6,7,8,9,10,11,12,14}
@attribute col_15 {0,1,2,3,4,5,6}
@attribute col_16 INTEGER
@attribute col_17 INTEGER
@attribute col_18 {0,1,2,3,4,5}

@data
25,9,9,19,12,8,20,0,10,0,6,21,8,7,4,7,17,5
26,9,9,20,13,8,20,0,10,0,6,21,8,7,4,7,17,5
25,9,9,22,10,10,23,0,13,0,6,19,5,6,4,8,16,5
15,10,21,13,18,12,22,1,9,2,4,11,5,10,1,14,8,2
17,11,22,15,14,10,23,1,11,2,4,11,5,9,1,13,9,1
22,17,17,16,10,15,13,1,7,2,3,14,9,9,2,12,6,2
21,18,18,15,11,15,16,1,7,2,3,14,6,8,2,12,7,2
20,9,16,15,16,6,19,1,7,3,4,14,4,11,1,16,11,3
22,10,17,18,13,6,21,1,8,3,4,13,4,11,1,15,10,3
17,13,14,16,4,9,14,1,13,0,11,13,5,7,1,4,11,5
12,11,9,12,6,5,12,1,9,1,7,12,5,6,0,4,8,2
18,16,16,16,8,6,14,1,14,0,9,12,4,8,0,2,11,3
18,16,15,19,8,6,11,1,15,1,7,13,5,8,0,2,9,3
17,13,13,22,8,4,18,1,10,3,8,11,7,6,1,2,10,2
16,13,16,21,9,3,17,1,10,4,7,12,7,5,1,2,11,3
22,19,10,16,10,4,18,1,12,2,8,11,6,8,0,1,8,2
20,10,24,10,6,9,21,0,7,0,7,18,4,9,1,4,8,2
20,21,12,15,9,7,11,1,9,3,8,14,6,7,0,1,10,3
20,21,12,15,9,7,11,1,9,3,9,14,5,7,0,1,10,3
18,11,24,10,9,6,19,0,12,0,7,14,4,11,0,4,9,1
20,12,23,10,8,5,20,0,13,0,6,13,4,11,0,4,10,1
18,19,18,16,8,4,12,0,12,0,10,15,8,6,1,1,12,1
17,16,17,15,8,6,14,1,14,0,9,12,4,8,0,3,11,3
19,17,14,16,8,6,14,1,14,0,8,12,4,8,0,2,12,3
19,17,15,16,8,5,14,1,14,0,8,12,4,8,0,2,12,3
19,15,16,16,8,6,14,1,15,0,8,12,4,8,0,2,12,3
17,17,16,19,8,6,11,1,15,1,7,13,5,8,0,2,9,3
18,17,15,19,8,6,11,1,15,1,7,13,5,8,0,2,9,3
22,19,10,16,10,4,18,1,12,2,8,11,6,8,0,1,8,2
22,19,10,16,10,5,17,1,12,2,8,11,6,8,0,1,8,2
18,20,10,18,6,8,17,1,14,1,5,16,4,7,0,2,9,2
18,16,16,15,8,6,13,1,14,1,8,12,4,8,1,2,12,3
20,21,12,15,9,7,11,1,10,3,8,14,7,7,0,1,9,3
20,21,12,15,9,7,11,1,10,3,9,14,5,7,0,1,10,3
18,12,23,10,9,5,20,0,14,0,7,12,4,11,0,4,10,1
18,12,21,10,10,5,18,0,13,0,8,12,4,12,0,4,10,1
17,12,22,10,8,5,18,0,14,0,5,13,4,10,0,3,9,1
17,16,16,16,8,6,15,1,14,0,9,12,4,8,0,2,11,3
19,17,15,17,7,6,15,1,14,0,8,12,4,8,0,2,10,3
18,16,16,19,8,6,11,1,15,1,7,13,5,8,0,2,9,3
18,17,15,17,8,6,15,1,14,0,8,12,4,8,0,3,9,3
15,12,14,23,8,3,17,1,9,4,7,15,6,6,1,2,11,2
13,11,14,22,7,3,17,1,10,4,8,13,6,6,1,3,11,2
16,11,15,23,10,4,18,1,10,3,7,12,6,5,1,2,9,3
14,11,14,25,11,3,19,2,10,2,7,12,6,5,1,2,9,3
11,11,15,24,10,5,18,1,11,1,7,14,5,7,2,3,11,2
15,9,12,21,8,4,21,1,10,3,7,15,7,6,1,3,10,3
15,11,15,22,7,3,19,1,8,3,4,14,6,5,1,2,10,2
27,8,13,25,12,26,21,1,20,0,11,18,5,7,5,7,19,3
27,8,13,25,13,27,21,1,19,0,11,18,6,8,5,7,19,3
27,7,12,25,12,26,21,1,20,0,11,17,6,8,5,7,19,3
26,8,13,25,13,26,21,1,19,0,11,18,6,8,5,8,19,3
28,6,13,24,12,30,22,1,18,0,11,18,6,8,4,7,19,3
27,8,14,25,13,26,21,1,18,0,11,18,6,8,5,7,19,3
24,15,18,14,10,14,19,1,14,7,5,19,4,6,2,12,10,4
25,14,15,15,9,12,14,0,8,3,6,12,4,14,1,10,8,0
29,11,12,23,9,15,23,0,16,1,10,13,5,8,3,6,23,5
28,15,22,21,7,32,21,1,13,2,8,16,12,5,5,8,9,1
29,14,22,20,9,20,20,2,15,2,9,16,7,6,6,10,13,2
29,16,18,18,8,32,22,1,14,2,9,18,15,4,4,8,9,1
31,14,21,20,9,21,20,3,15,2,8,17,6,7,6,10,13,1
