% PRO FOOTBALL SCORES  (raw data appears after the description below)
% 
%     How well do the oddsmakers of Las Vegas predict the outcome of
% professional football games?  Is there really a home field advantage - if
% so how large is it?  Are teams that play the Monday Night game at a
% disadvantage when they play again the following Sunday?  Do teams benefit
% from having a "bye" week off in the current schedule?  These questions and
% a host of others can be investigated using this data set.
% 
%      Hal Stern from the Statistics Department at Harvard University has
% made available his compilation of scores for all National Football League
% games from the 1989, 1990, and 1991 seasons.  Dr. Stern used these data as
% part of his presentation "Who's Number One?" in the special "Best of
% Boston" session at the 1992 Joint Statistics Meetings.
% 
%      Several variables in the data are keyed to the oddsmakers "point
% spread" for each game.  The point spread is a value assigned before each
% game to serve as a handicap for whichever is perceived to be the better
% team.  Thus, to win against the point spread, the "favorite" team must beat
% the "underdog" team by more points than the spread.  The underdog "wins"
% against the spread if it wins the game outright or manages to lose by fewer
% points than the spread.  In theory, the point spread should represent the
% "expert" prediction as to the game's outcome.  In practice, it more usually
% denotes a point at which an equal amount of money will be wagered both for
% and against the favored team.
% 
% Raw data below contains 672 cases (all 224 regular season games in
% each season and informatino on the following 9 varialbes:     .
% 
%  Home/Away       = Favored team is at home (1) or away (0)
%  Favorite Points = Points scored by the favored team
%  Underdog Points = Points scored by the underdog team
%  Pointspread     = Oddsmaker's points to handicap the favored team
%  Favorite Name   = Code for favored team's name
%  Underdog name   = Code for underdog's name
%  Year            = 89, 90, or 91
%  Week            = 1, 2, ... 17
%  Special         = Mon.night (M), Sat. (S), Thur. (H), Sun. night (N)
%                     ot - denotes an overtime game
% 
% 
% Data were submitted by: Robin Lock  (rlock@stlawu.bitnet)
%                         Mathematics Department, St. Lawrence University
% 
% Data were compiled by: Hal Stern, Dept. of Statistics, Harvard University
% 
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: 1
%

@relation profb

@attribute Home/Away {at_home,away}
@attribute Favorite_Points INTEGER
@attribute Underdog_Points INTEGER
@attribute Pointspread REAL
@attribute Favorite_Name {ATL,BUF,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,KC,LAA,LAN,MIA,MIN,NE,NO,NYG,NYJ,PHA,PHX,PIT,SD,SEA,SF,TB,WAS}
@attribute Underdog_name {ATL,BUF,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,KC,LAA,LAN,MIA,MIN,NE,NO,NYG,NYJ,PHA,PHX,PIT,SD,SEA,SF,TB,WAS}
@attribute Year INTEGER
@attribute Week INTEGER
@attribute Weekday {Monday_Night,Saturday,Sunday_Night,Thursday}
@attribute Overtime {yes}

@data
away,27,24,4.0,BUF,MIA,89,1,?,?
at_home,17,14,3.0,CHI,CIN,89,1,?,?
away,51,0,2.5,CLE,PIT,89,1,?,?
at_home,28,0,5.5,NO,DAL,89,1,?,?
at_home,38,7,5.5,MIN,HOU,89,1,?,?
at_home,34,20,6.0,DEN,KC,89,1,?,?
away,31,21,6.0,LAN,ATL,89,1,?,?
at_home,24,27,2.5,NYJ,NE,89,1,?,?
away,16,13,1.5,PHX,DET,89,1,?,?
at_home,40,14,3.5,LAA,SD,89,1,?,?
away,30,24,3.0,SF,IND,89,1,?,?
at_home,31,7,5.5,PHA,SEA,89,1,?,?
at_home,21,23,3.0,GB,TB,89,1,?,?
at_home,24,27,4.0,WAS,NYG,89,1,Monday_Night,?
at_home,27,21,1.5,ATL,DAL,89,2,?,?
at_home,24,14,11.0,NYG,DET,89,2,?,?
away,34,27,4.0,HOU,SD,89,2,?,?
at_home,31,17,6.0,LAN,IND,89,2,?,?
at_home,24,19,2.0,KC,LAA,89,2,?,?
at_home,10,24,6.0,NE,MIA,89,2,?,?
at_home,38,7,0.0,CHI,MIN,89,2,?,?
away,34,35,4.5,NO,GB,89,2,?,?
at_home,38,24,7.0,CLE,NYJ,89,2,?,?
at_home,37,42,3.0,WAS,PHA,89,2,?,?
at_home,24,34,7.0,SEA,PHX,89,2,?,?
at_home,41,10,10.0,CIN,PIT,89,2,?,?
away,20,16,7.5,SF,TB,89,2,?,?
at_home,14,28,6.5,BUF,DEN,89,2,Monday_Night,?
at_home,13,9,7.5,IND,ATL,89,3,?,?
at_home,41,47,3.5,HOU,BUF,89,3,?,yes
away,47,27,7.0,CHI,DET,89,3,?,?
at_home,41,38,10.0,LAN,GB,89,3,?,?
at_home,21,6,2.5,SD,KC,89,3,?,?
at_home,31,21,6.5,DEN,LAA,89,3,?,?
away,14,27,8.5,MIN,PIT,89,3,?,?
away,10,20,2.5,NO,TB,89,3,?,?
at_home,33,40,4.0,MIA,NYJ,89,3,?,?
at_home,35,7,7.5,NYG,PHX,89,3,?,?
at_home,28,38,1.5,PHA,SF,89,3,?,?
at_home,3,24,3.5,NE,SEA,89,3,?,?
away,30,7,4.5,WAS,DAL,89,3,?,?
at_home,21,14,4.0,CIN,CLE,89,3,Monday_Night,?
at_home,23,21,7.0,GB,ATL,89,4,?,?
away,21,17,5.0,CIN,KC,89,4,?,?
at_home,16,13,5.5,CLE,DEN,89,4,?,?
at_home,10,17,3.0,NYJ,IND,89,4,?,?
at_home,12,13,5.0,SF,LAN,89,4,?,?
at_home,39,7,7.0,HOU,MIA,89,4,?,?
at_home,31,10,7.0,BUF,NE,89,4,?,?
away,30,13,7.0,NYG,DAL,89,4,?,?
at_home,3,23,2.5,DET,PIT,89,4,?,?
at_home,13,24,4.0,PHX,SD,89,4,?,?
at_home,20,24,1.0,LAA,SEA,89,4,?,?
at_home,17,3,8.0,MIN,TB,89,4,?,?
away,16,14,1.5,WAS,NO,89,4,?,?
at_home,27,13,3.5,CHI,PHA,89,4,Monday_Night,?
at_home,26,14,10.5,LAN,ATL,89,5,?,?
away,14,37,0.0,BUF,IND,89,5,?,?
away,35,42,4.5,CHI,TB,89,5,?,?
away,26,16,4.0,CIN,PIT,89,5,?,?
away,10,13,3.5,CLE,MIA,89,5,?,?
at_home,31,13,7.0,GB,DAL,89,5,?,?
at_home,24,17,12.0,MIN,DET,89,5,?,?
away,13,23,4.0,HOU,NE,89,5,?,?
