% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-apnea1

@attribute Scorer_1 {CA,H,MA,N,OA}
@attribute Scorer_2 {CA,H,MA,N,OA}
@attribute Subject INTEGER
@attribute Count INTEGER

@data
N,N,1,17457
H,N,1,123
OA,N,1,113
MA,N,1,6
CA,N,1,2100
N,H,1,183
H,H,1,1234
OA,H,1,11
MA,H,1,0
CA,H,1,107
N,OA,1,59
H,OA,1,143
OA,OA,1,112
MA,OA,1,0
CA,OA,1,13
N,MA,1,73
H,MA,1,486
OA,MA,1,165
MA,MA,1,49
CA,MA,1,0
N,CA,1,985
H,CA,1,0
OA,CA,1,60
MA,CA,1,0
CA,CA,1,1521
N,N,2,14200
H,N,2,0
OA,N,2,4
MA,N,2,0
CA,N,2,636
N,H,2,14
H,H,2,0
OA,H,2,0
MA,H,2,0
CA,H,2,0
N,OA,2,0
H,OA,2,0
OA,OA,2,12
MA,OA,2,0
CA,OA,2,0
N,MA,2,0
H,MA,2,0
OA,MA,2,0
MA,MA,2,0
CA,MA,2,0
N,CA,2,83
H,CA,2,0
OA,CA,2,0
MA,CA,2,0
CA,CA,2,51
N,N,3,17299
H,N,3,18
OA,N,3,12
MA,N,3,5
CA,N,3,623
N,H,3,111
H,H,3,732
OA,H,3,0
MA,H,3,0
CA,H,3,567
N,OA,3,0
H,OA,3,0
OA,OA,3,12
MA,OA,3,0
CA,OA,3,11
N,MA,3,0
H,MA,3,0
OA,MA,3,0
MA,MA,3,45
CA,MA,3,0
N,CA,3,569
H,CA,3,44
OA,CA,3,0
MA,CA,3,0
CA,CA,3,1952
N,N,4,8621
H,N,4,18
OA,N,4,65
MA,N,4,0
CA,N,4,400
N,H,4,32
H,H,4,0
OA,H,4,0
MA,H,4,0
CA,H,4,61
N,OA,4,206
H,OA,4,0
OA,OA,4,522
MA,OA,4,0
CA,OA,4,282
N,MA,4,0
H,MA,4,0
OA,MA,4,0
MA,MA,4,0
CA,MA,4,0
N,CA,4,660
H,CA,4,0
OA,CA,4,23
MA,CA,4,0
CA,CA,4,1660
N,N,5,8035
H,N,5,0
OA,N,5,23
MA,N,5,0
CA,N,5,302
N,H,5,0
H,H,5,0
OA,H,5,0
MA,H,5,0
CA,H,5,26
N,OA,5,25
H,OA,5,0
OA,OA,5,388
MA,OA,5,0
CA,OA,5,76
N,MA,5,0
H,MA,5,0
OA,MA,5,0
MA,MA,5,0
CA,MA,5,0
N,CA,5,374
H,CA,5,0
OA,CA,5,27
MA,CA,5,0
CA,CA,5,224
N,N,6,11643
H,N,6,108
OA,N,6,0
MA,N,6,20
CA,N,6,988
N,H,6,605
H,H,6,2588
OA,H,6,0
MA,H,6,55
CA,H,6,1946
N,OA,6,7
H,OA,6,0
OA,OA,6,0
MA,OA,6,0
CA,OA,6,12
N,MA,6,31
H,MA,6,256
OA,MA,6,0
MA,MA,6,245
CA,MA,6,0
N,CA,6,1325
H,CA,6,87
OA,CA,6,0
MA,CA,6,0
CA,CA,6,4084
N,N,7,18363
H,N,7,0
OA,N,7,0
MA,N,7,0
CA,N,7,312
N,H,7,0
H,H,7,0
OA,H,7,0
MA,H,7,0
CA,H,7,0
N,OA,7,0
H,OA,7,0
OA,OA,7,0
MA,OA,7,0
CA,OA,7,0
N,MA,7,0
H,MA,7,0
OA,MA,7,0
MA,MA,7,0
CA,MA,7,0
N,CA,7,121
H,CA,7,0
OA,CA,7,0
MA,CA,7,0
CA,CA,7,204
N,N,8,23641
H,N,8,0
OA,N,8,24
MA,N,8,0
CA,N,8,1727
N,H,8,0
H,H,8,0
OA,H,8,0
MA,H,8,0
CA,H,8,11
N,OA,8,0
H,OA,8,0
OA,OA,8,0
MA,OA,8,0
CA,OA,8,0
N,MA,8,0
H,MA,8,0
OA,MA,8,0
MA,MA,8,0
CA,MA,8,0
N,CA,8,703
H,CA,8,0
OA,CA,8,0
MA,CA,8,0
CA,CA,8,894
N,N,9,19226
H,N,9,0
OA,N,9,183
MA,N,9,0
CA,N,9,2097
N,H,9,41
H,H,9,24
OA,H,9,47
MA,H,9,0
