% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: 3
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-neavote

@attribute Name {Abraham,Akaka,Allard,Ashcroft,Baucus,Bayh,Bennett,Biden,Bingaman,Bond,Boxer,Breaux,Brownback,Bryan,Bunning,Burns,Byrd,Campbell,Chafee,Cleland,Cochran,Collins,Conrad,Coverdell,Craig,Crapo,Daschle,DeWine,Dodd,Domenici,Dorgan,Durbin,Edwards,Enzi,Feingold,Feinstein,Fitzgerald,Frist,Gorton,Graham,Gramm,Grams,Grassley,Gregg,Hagel,Harkin,Hatch,Helms,Hollings,Hutchinson,Hutchison,Inhofe,Inouye,Jeffords,Johnson,Kennedy,Kerrey,Kerry,Kohl,Kyl,Landrieu,Lautenberg,Leahy,Levin,Lieberman,Lincoln,Lott,Lugar,Mack,McCain,McConnell,Mikulski,Moynihan,Murkowski,Murray,Nickles,Reed,Reid,Robb,Roberts,Rockefeller,Roth,Santorum,Sarbanes,Schumer,Sessions,Shelby,Smith,Snowe,Specter,Stevens,Thomas,Thompson,Thurmond,Toricelli,Voinovich,Warner,Wellstone,Wyden}
@attribute Party {D,I,R}
@attribute Favorable INTEGER
@attribute Bills INTEGER

@data
Shelby,R,1,10
Sessions,R,1,10
Stevens,R,2,10
Murkowski,R,2,10
McCain,R,2,8
Kyl,R,2,10
Hutchinson,R,2,9
Lincoln,D,10,10
Feinstein,D,10,10
Boxer,D,10,10
Campbell,R,2,10
Allard,R,1,10
Dodd,D,10,10
Lieberman,D,9,10
Roth,R,2,10
Biden,D,10,10
Graham,D,10,10
Mack,R,1,10
Coverdell,R,1,10
Cleland,D,10,10
Inouye,D,10,10
Akaka,D,10,10
Craig,R,2,10
Crapo,R,2,9
Fitzgerald,R,4,10
Durbin,D,10,10
Lugar,R,3,10
Bayh,D,10,10
Grassley,R,2,10
Harkin,D,10,10
Brownback,R,1,9
Roberts,R,2,10
McConnell,R,2,10
Bunning,R,1,10
Breaux,D,10,10
Landrieu,D,10,10
Snowe,R,4,10
Collins,R,5,10
Sarbanes,D,10,10
Mikulski,D,10,10
Kennedy,D,10,10
Kerry,D,10,10
Levin,D,10,10
Abraham,R,3,10
Wellstone,D,9,10
Grams,R,1,10
Cochran,R,2,10
Lott,R,2,10
Bond,R,1,10
Ashcroft,R,2,10
Baucus,D,9,10
Burns,R,1,10
Kerrey,D,10,10
Hagel,R,2,10
Reid,D,10,10
Bryan,D,10,10
Smith,I,1,10
Gregg,R,2,9
Lautenberg,D,10,10
Toricelli,D,10,10
Domenici,R,2,10
Bingaman,D,10,10
Moynihan,D,10,10
Schumer,D,10,10
Helms,R,1,10
Edwards,D,10,10
Dorgan,D,10,10
Conrad,D,9,10
DeWine,R,3,10
Voinovich,R,5,10
Nickles,R,1,10
Inhofe,R,1,10
Wyden,D,10,10
Smith,R,2,10
Specter,R,5,10
Santorum,R,3,10
Chafee,R,4,9
Reed,D,10,10
Thurmond,R,2,10
Hollings,D,10,10
Johnson,D,10,10
Daschle,D,10,10
Thompson,R,1,10
Frist,R,2,10
Gramm,R,1,10
Hutchison,R,2,10
Hatch,R,2,10
Bennett,R,2,10
Leahy,D,10,10
Jeffords,R,3,10
Warner,R,3,10
Robb,D,9,10
Gorton,R,3,10
Murray,D,9,9
Byrd,D,8,10
Rockefeller,D,10,10
Kohl,D,10,10
Feingold,D,10,10
Thomas,R,1,10
Enzi,R,1,10
