% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-negotiation

@attribute Role {Candidate,Recruiter}
@attribute Status REAL
@attribute Trust REAL
@attribute Outcome_favorability REAL
@attribute Procedural_fairness REAL
@attribute Future_business INTEGER

@data
Recruiter,66.66666667,64.28571429,38.0952381,57.14285714,6
Recruiter,71.2962963,57.14285714,47.61904762,80.95238095,6
Candidate,?,?,71.42857143,71.42857143,6
Candidate,67.59259259,45.23809524,57.14285714,71.42857143,6
Recruiter,32.40740741,52.38095238,71.42857143,85.71428571,7
Recruiter,58.7962963,52.38095238,71.42857143,80.95238095,7
Candidate,55.55555556,69.04761905,76.19047619,85.71428571,7
Candidate,60.18518519,71.42857143,66.66666667,80.95238095,7
Candidate,55.55555556,59.52380952,52.38095238,42.85714286,4
Candidate,57.40740741,64.28571429,47.61904762,76.19047619,7
Candidate,54.62962963,64.28571429,61.9047619,66.66666667,6
Recruiter,?,50,19.04761905,42.85714286,5
Recruiter,71.2962963,50,85.71428571,85.71428571,7
Recruiter,?,?,28.57142857,52.38095238,4
Recruiter,56.48148148,?,42.85714286,47.61904762,5
Candidate,45.37037037,30.95238095,66.66666667,47.61904762,4
Candidate,75,76.19047619,80.95238095,76.19047619,6
Candidate,75,57.14285714,61.9047619,85.71428571,7
Recruiter,66.66666667,14.28571429,71.42857143,85.71428571,7
Recruiter,50,21.42857143,14.28571429,33.33333333,3
Candidate,?,59.52380952,80.95238095,66.66666667,6
Candidate,39.81481481,26.19047619,57.14285714,76.19047619,7
Candidate,56.48148148,42.85714286,42.85714286,71.42857143,5
Recruiter,71.2962963,71.42857143,52.38095238,66.66666667,6
Recruiter,49.07407407,30.95238095,76.19047619,85.71428571,7
Recruiter,64.81481481,57.14285714,42.85714286,?,7
Candidate,61.11111111,38.0952381,52.38095238,57.14285714,5
Candidate,37.96296296,33.33333333,38.0952381,52.38095238,5
Recruiter,70.37037037,59.52380952,47.61904762,80.95238095,7
Recruiter,?,?,61.9047619,61.9047619,6
Candidate,59.25925926,21.42857143,61.9047619,76.19047619,7
Candidate,57.40740741,66.66666667,23.80952381,28.57142857,2
Candidate,55.55555556,57.14285714,57.14285714,61.9047619,6
Candidate,41.66666667,52.38095238,47.61904762,71.42857143,6
Recruiter,50.92592593,33.33333333,33.33333333,52.38095238,5
Recruiter,69.44444444,54.76190476,47.61904762,47.61904762,6
Recruiter,58.33333333,42.85714286,76.19047619,80.95238095,7
Recruiter,45.37037037,28.57142857,28.57142857,38.0952381,5
Candidate,?,?,61.9047619,71.42857143,6
Candidate,62.96296296,52.38095238,47.61904762,52.38095238,5
Candidate,68.51851852,42.85714286,57.14285714,66.66666667,6
Recruiter,?,57.14285714,42.85714286,80.95238095,7
Candidate,57.40740741,59.52380952,71.42857143,85.71428571,7
Candidate,75.92592593,40.47619048,80.95238095,85.71428571,7
Recruiter,69.44444444,57.14285714,66.66666667,76.19047619,6
Recruiter,75.92592593,38.0952381,42.85714286,71.42857143,7
Candidate,81.48148148,61.9047619,66.66666667,71.42857143,7
Recruiter,77.77777778,66.66666667,28.57142857,52.38095238,6
Recruiter,?,?,?,52.38095238,6
Recruiter,71.2962963,42.85714286,61.9047619,85.71428571,7
Recruiter,62.03703704,47.61904762,61.9047619,42.85714286,6
Candidate,77.77777778,47.61904762,76.19047619,85.71428571,7
Candidate,68.51851852,7.142857143,42.85714286,42.85714286,4
Candidate,52.77777778,54.76190476,33.33333333,47.61904762,4
Recruiter,57.87037037,38.0952381,57.14285714,57.14285714,7
Recruiter,75.92592593,80.95238095,47.61904762,57.14285714,6
Candidate,62.96296296,71.42857143,57.14285714,71.42857143,7
Candidate,?,?,47.61904762,14.28571429,5
Candidate,52.77777778,42.85714286,57.14285714,66.66666667,7
Recruiter,76.85185185,59.52380952,38.0952381,47.61904762,4
Candidate,53.7037037,35.71428571,61.9047619,61.9047619,5
Candidate,60.18518519,54.76190476,47.61904762,42.85714286,4
Recruiter,66.66666667,61.9047619,52.38095238,52.38095238,5
Recruiter,66.66666667,38.0952381,57.14285714,66.66666667,6
Candidate,54.62962963,50,?,80.95238095,7
Candidate,50.92592593,28.57142857,38.0952381,66.66666667,6
Recruiter,55.55555556,45.23809524,28.57142857,52.38095238,5
Recruiter,47.22222222,11.9047619,76.19047619,66.66666667,6
Recruiter,84.25925926,80.95238095,57.14285714,71.42857143,7
Recruiter,66.66666667,40.47619048,61.9047619,71.42857143,6
Candidate,73.14814815,73.80952381,47.61904762,71.42857143,6
Recruiter,?,38.0952381,42.85714286,42.85714286,4
Candidate,54.62962963,61.9047619,47.61904762,66.66666667,6
Candidate,67.59259259,47.61904762,42.85714286,61.9047619,3
Candidate,70.37037037,50,61.9047619,42.85714286,6
Candidate,82.40740741,40.47619048,66.66666667,85.71428571,7
Recruiter,68.51851852,64.28571429,71.42857143,85.71428571,7
Recruiter,74.07407407,66.66666667,66.66666667,66.66666667,7
Candidate,75,73.80952381,71.42857143,52.38095238,6
Candidate,65.74074074,21.42857143,33.33333333,66.66666667,6
Candidate,72.22222222,57.14285714,57.14285714,71.42857143,7
Recruiter,82.40740741,45.23809524,42.85714286,85.71428571,7
Candidate,57.40740741,50,42.85714286,66.66666667,6
Recruiter,63.88888889,47.61904762,52.38095238,66.66666667,6
Candidate,68.51851852,23.80952381,47.61904762,47.61904762,5
Recruiter,75,52.38095238,42.85714286,71.42857143,7
Candidate,57.40740741,47.61904762,28.57142857,61.9047619,5
Candidate,?,45.23809524,42.85714286,52.38095238,7
Recruiter,?,?,66.66666667,71.42857143,7
Candidate,?,45.23809524,42.85714286,52.38095238,5
Recruiter,?,?,66.66666667,71.42857143,6
Candidate,50,47.61904762,42.85714286,47.61904762,7
