%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation arsenic-us-female-lung

@attribute observation {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21}
@attribute total_deaths INTEGER
@attribute population INTEGER
@attribute at_risk INTEGER

@data
1,18121,9423000,1
2,1580,9491000,1
3,1747,9269000,1
4,1981,9089000,3
5,4149,8604000,4
6,5905,9490000,18
7,9172,10721000,98
8,13693,11332000,337
9,18036,10523000,778
10,23976,9385000,1621
11,29482,7162000,3040
12,37752,5910000,4461
13,54803,5289000,6726
14,83385,5390000,9774
15,121336,4965000,11425
16,153846,4063000,9984
17,184185,2904000,7123
18,185320,1666000,3449
19,132881,775000,1258
20,56151,230000,246
21,14470,42000,44
