%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation arsenic-us-male-bladder

@attribute observation {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21}
@attribute total_deaths INTEGER
@attribute population INTEGER
@attribute at_risk INTEGER

@data
1,18121,9423000,0
2,1580,9491000,0
3,1747,9269000,0
4,1981,9089000,1
5,4149,8604000,0
6,5905,9490000,2
7,9172,10721000,8
8,13693,11332000,21
9,18036,10523000,40
10,23976,9385000,98
11,29482,7162000,180
12,37752,5910000,289
13,54803,5289000,496
14,83385,5390000,919
15,121336,4965000,1302
16,153846,4063000,1455
17,184185,2904000,1357
18,185320,1666000,949
19,132881,775000,461
20,56151,230000,89
21,14470,42000,15
