%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation arsenic-us-male-lung

@attribute observation {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21}
@attribute total_deaths INTEGER
@attribute population INTEGER
@attribute at_risk INTEGER

@data
1,18121,9869000,0
2,1580,9948000,2
3,1747,9735000,2
4,1981,9619000,0
5,4149,8904000,7
6,5905,9442000,22
7,9172,10592000,126
8,13693,11221000,440
9,18036,10289000,1127
10,23976,9045000,2525
11,29482,6766000,4726
12,37752,5447000,7331
13,54803,4708000,11112
14,83385,4511000,16104
15,121336,3825000,17973
16,153846,2829000,14768
17,184185,1671000,9780
18,185320,749000,4236
19,132881,267000,1116
20,56151,61000,196
21,14470,9000,22
