% The data consist of 2001 observations taken from a balloon about 30 kilometres
% above the surface of the earth. In the section of the flight shown here the
% balloon increases in height. As radiation increases with height there is a
% non-decreasing trend in the data. The outliers are caused by the fact that the
% balloon slowly rotates, causing the ropes from which the measuring instrument
% is suspended to cut off the direct radiation from the sun. The first column
% contains the raw data, the second column the residuals after the removal of a
% non-decreasing trend.
% Reference:
% Davies, L. and Gather, U. (1993), "The Identification of Multiple
%    Outliers" (discussion paper), to appear in JASA.
% Mailing address:  Laurie Davies
%                   Universitaet-Gesamthochschule Essen
%                   Fachbereich 6 Mathematik
%                   Universitaetsstrasse 3
%                   D-4300 Essen 1
%                   Germany
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation balloon

@attribute id INTEGER
@attribute raw REAL
@attribute residual REAL

@data
1,1.760,0.000
2,1.760,0.000
3,1.760,0.000
4,1.760,0.000
5,1.740,-0.020
6,1.720,-0.040
7,1.680,-0.082
8,1.680,-0.091
9,1.760,-0.019
10,1.840,0.055
11,1.840,0.049
12,1.860,0.063
13,1.860,0.058
14,1.880,0.072
15,1.880,0.066
16,1.840,0.021
17,1.760,-0.063
18,1.660,-0.167
19,1.760,-0.072
20,1.820,-0.017
21,1.780,-0.060
22,1.840,-0.003
23,1.880,0.033
24,1.940,0.090
25,1.940,0.087
26,1.900,0.045
27,1.900,0.042
28,1.920,0.060
29,1.920,0.058
30,1.920,0.056
31,1.940,0.073
32,1.940,0.071
33,1.920,0.049
34,1.960,0.087
35,1.660,-0.215
36,1.920,0.043
37,1.940,0.062
38,1.920,0.040
39,1.860,-0.022
40,1.760,-0.123
41,1.800,-0.084
42,1.860,-0.026
43,1.940,0.053
44,1.940,0.052
45,1.900,0.011
46,1.920,0.029
47,1.920,0.028
48,1.940,0.047
49,1.920,0.026
50,1.920,0.025
51,1.940,0.044
52,1.920,0.022
53,1.960,0.060
54,2.000,0.098
55,1.940,0.036
56,1.920,0.014
57,1.940,0.032
58,1.920,0.010
59,1.800,-0.112
60,1.780,-0.134
61,1.780,-0.136
62,1.860,-0.058
63,1.920,0.000
64,1.940,0.018
65,1.940,0.017
66,1.960,0.036
67,1.960,0.034
68,1.960,0.033
69,1.960,0.032
70,1.960,0.031
71,1.960,0.030
72,1.940,0.009
73,1.940,0.008
74,1.920,-0.013
75,1.880,-0.054
76,1.860,-0.075
77,1.800,-0.136
78,1.800,-0.137
79,1.840,-0.098
80,1.680,-0.258
81,1.880,-0.059
82,1.920,-0.020
83,1.960,0.020
84,1.960,0.019
85,1.940,-0.002
86,1.960,0.018
87,2.000,0.057
88,2.000,0.057
89,1.980,0.037
90,1.000,-0.944
91,1.940,-0.004
92,1.960,0.015
93,1.960,0.014
94,1.960,0.014
95,1.960,0.014
96,1.940,-0.007
97,1.940,-0.007
98,1.940,-0.008
99,1.940,-0.008
100,1.960,0.012
101,1.960,0.011
102,1.960,0.011
103,1.960,0.010
104,1.960,0.010
105,1.960,0.009
106,1.960,0.009
107,1.960,0.008
108,1.960,0.007
109,1.960,0.007
110,1.960,0.006
111,1.960,0.006
112,1.960,0.005
113,1.960,0.005
114,1.980,0.025
115,1.960,0.004
116,1.960,0.004
117,2.000,0.043
118,2.020,0.063
119,1.980,0.022
120,1.960,0.002
121,1.980,0.021
122,1.960,0.001
123,1.920,-0.040
124,1.740,-0.220
125,1.800,-0.161
126,1.860,-0.102
127,1.900,-0.062
128,1.960,-0.003
129,2.000,0.037
130,2.000,0.036
131,1.980,0.015
132,1.940,-0.025
133,1.920,-0.046
134,1.940,-0.026
135,1.980,0.013
136,1.620,-0.348
137,1.980,0.012
138,1.960,-0.009
139,1.960,-0.009
140,1.980,0.010
141,2.000,0.030
142,2.000,0.029
143,2.000,0.028
144,2.000,0.028
145,2.000,0.027
146,2.000,0.027
147,2.000,0.026
148,1.980,0.005
149,1.980,0.005
150,1.580,-0.395
151,2.000,0.024
152,2.000,0.024
153,2.020,0.043
154,2.040,0.063
155,2.040,0.063
156,2.000,0.022
157,1.980,0.002
158,2.000,0.021
159,2.000,0.021
160,1.960,-0.019
161,1.900,-0.080
162,1.820,-0.160
163,1.900,-0.081
164,2.000,0.019
165,2.000,0.019
166,1.940,-0.042
167,2.000,0.018
168,2.000,0.017
169,1.980,-0.003
170,2.000,0.017
171,2.000,0.016
172,1.540,-0.444
173,2.020,0.035
174,2.040,0.055
175,2.040,0.055
176,2.040,0.054
177,2.040,0.054
178,1.940,-0.047
179,1.820,-0.167
180,2.020,0.033
181,2.040,0.052
182,2.040,0.052
183,2.040,0.051
184,2.040,0.051
185,2.000,0.011
186,2.000,0.010
187,2.000,0.010
188,2.000,0.010
189,2.000,0.009
190,2.000,0.009
191,2.000,0.008
192,2.000,0.008
193,2.000,0.008
194,2.000,0.007
195,2.000,0.007
196,2.000,0.006
197,2.000,0.006
198,1.720,-0.274
199,1.960,-0.035
200,2.000,0.005
201,2.000,0.004
202,1.960,-0.036
203,1.960,-0.036
204,2.000,0.003
205,2.000,0.003
206,1.960,-0.037
207,1.880,-0.117
208,1.640,-0.357
209,2.000,0.002
210,2.040,0.042
211,2.000,0.002
212,2.060,0.062
213,2.000,0.002
214,2.000,0.001
215,2.000,0.001
216,2.000,0.001
217,1.960,-0.039
218,2.020,0.021
219,1.920,-0.080
220,1.960,-0.040
221,1.860,-0.140
222,2.000,0.000
223,2.000,0.000
224,1.980,-0.020
225,2.000,0.000
226,2.040,0.040
227,2.020,0.020
228,2.000,0.000
229,2.020,0.020
230,2.000,0.000
231,2.000,0.000
232,2.020,0.020
233,1.380,-0.620
234,2.000,0.000
235,1.960,-0.040
236,1.980,-0.020
237,2.000,0.000
238,2.020,0.020
239,2.020,0.020
240,2.000,0.000
241,1.960,-0.040
242,1.920,-0.080
243,1.920,-0.080
244,1.920,-0.080
245,1.960,-0.040
246,2.000,-0.001
247,2.000,-0.001
248,2.000,-0.001
249,2.020,0.019
250,2.020,0.019
251,2.020,0.018
252,2.020,0.018
253,2.000,-0.002
254,2.000,-0.002
255,1.960,-0.042
256,1.980,-0.023
257,2.000,-0.003
258,1.960,-0.043
259,2.020,0.017
260,2.000,-0.003
261,2.020,0.016
262,2.020,0.016
263,2.040,0.036
264,2.020,0.016
265,2.000,-0.004
266,2.040,0.035
267,2.080,0.075
268,2.060,0.055
269,2.040,0.035
270,2.020,0.015
271,2.000,-0.006
272,2.000,-0.006
273,2.020,0.014
274,2.040,0.034
275,2.040,0.034
276,2.020,0.013
277,2.000,-0.007
278,1.780,-0.227
279,1.840,-0.167
280,1.880,-0.127
281,2.000,-0.008
282,2.040,0.032
283,2.020,0.012
284,2.000,-0.008
285,1.680,-0.328
286,2.020,0.011
287,2.040,0.031
288,2.040,0.031
289,2.040,0.031
290,2.080,0.071
291,2.000,-0.010
292,2.040,0.030
293,2.000,-0.010
294,1.720,-0.290
295,1.880,-0.131
296,2.000,-0.011
297,2.040,0.028
298,2.020,0.008
299,2.000,-0.012
300,2.040,0.027
301,2.040,0.027
302,2.020,0.006
303,2.040,0.026
304,2.040,0.026
305,2.020,0.005
306,2.040,0.025
307,2.080,0.064
308,2.080,0.064
309,2.040,0.024
310,2.040,0.023
311,2.060,0.043
312,2.040,0.022
313,2.020,0.002
314,2.000,-0.018
315,1.760,-0.259
316,1.840,-0.179
317,1.920,-0.100
318,1.840,-0.180
319,1.940,-0.080
320,2.000,-0.021
321,2.040,0.019
322,2.060,0.038
323,2.040,0.018
324,2.040,0.018
325,2.020,-0.003
326,2.000,-0.023
327,2.000,-0.024
328,2.020,-0.004
329,2.040,0.016
330,2.020,-0.005
331,2.040,0.015
332,2.020,-0.006
333,0.720,-1.306
334,2.040,0.014
335,2.040,0.013
336,2.040,0.013
337,2.080,0.052
338,2.060,0.032
339,2.020,-0.008
340,2.060,0.031
341,2.040,0.011
342,1.820,-0.210
343,1.880,-0.150
344,2.040,0.010
345,2.020,-0.010
346,2.040,0.009
347,2.040,0.009
348,2.040,0.009
349,1.580,-0.451
350,2.080,0.049
351,2.020,-0.012
352,2.040,0.008
353,2.000,-0.032
354,1.840,-0.192
355,1.940,-0.092
356,2.040,0.007
357,2.040,0.007
358,2.000,-0.033
359,2.000,-0.033
360,2.000,-0.033
361,2.020,-0.014
362,2.000,-0.034
363,2.000,-0.034
364,2.000,-0.034
365,2.040,0.006
366,2.060,0.025
367,2.040,0.005
368,1.940,-0.095
369,1.840,-0.195
370,1.840,-0.195
371,1.920,-0.116
372,2.000,-0.036
373,2.040,0.004
374,2.060,0.024
375,2.040,0.004
376,2.060,0.023
377,2.100,0.063
378,2.060,0.023
379,2.040,0.002
380,2.040,0.002
381,2.020,-0.018
382,1.460,-0.579
383,2.000,-0.039
384,2.040,0.000
385,2.040,0.000
386,1.860,-0.180
387,1.700,-0.341
388,2.020,-0.021
389,2.060,0.018
390,2.040,-0.002
391,2.080,0.038
392,2.060,0.017
393,2.040,-0.003
394,2.060,0.017
395,2.000,-0.044
396,2.060,0.016
397,1.960,-0.084
398,1.840,-0.204
399,2.020,-0.024
400,2.040,-0.005
401,2.080,0.035
402,2.020,-0.025
403,2.060,0.015
404,2.060,0.015
405,2.040,-0.006
406,2.080,0.034
407,1.980,-0.066
408,1.760,-0.286
409,2.060,0.014
410,2.040,-0.007
411,2.120,0.073
412,2.060,0.013
413,1.880,-0.167
414,2.060,0.013
415,2.060,0.012
416,2.020,-0.028
417,2.080,0.032
418,2.020,-0.029
419,1.920,-0.129
420,1.800,-0.250
421,2.000,-0.050
422,2.040,-0.010
423,2.060,0.009
424,2.080,0.029
425,2.080,0.029
426,2.060,0.008
427,2.060,0.008
428,2.080,0.027
429,2.120,0.067
430,2.140,0.087
431,2.140,0.086
432,2.140,0.086
433,2.140,0.085
434,2.120,0.065
435,2.120,0.065
436,2.120,0.064
437,2.120,0.064
438,2.120,0.063
439,2.120,0.063
440,2.080,0.023
441,2.060,0.002
442,2.080,0.022
443,2.100,0.041
444,2.080,0.021
445,2.060,0.001
446,1.940,-0.120
447,1.940,-0.120
448,1.940,-0.121
449,2.080,0.019
450,2.080,0.019
451,2.040,-0.022
452,2.060,-0.002
453,2.080,0.017
454,2.080,0.017
455,2.120,0.057
456,2.060,-0.004
457,2.060,-0.004
458,2.020,-0.045
459,1.920,-0.145
460,2.040,-0.025
461,2.080,0.014
462,2.040,-0.026
463,1.360,-0.707
464,2.080,0.013
465,2.080,0.013
466,2.080,0.012
467,2.100,0.032
468,2.120,0.051
469,2.060,-0.009
470,2.080,0.011
471,2.080,0.010
472,2.040,-0.030
473,1.640,-0.430
474,2.040,-0.031
475,1.900,-0.171
476,2.000,-0.072
477,2.060,-0.012
478,2.080,0.008
