% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: berkley.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-berkley

@attribute col_1 INTEGER
@attribute col_2 INTEGER
@attribute col_3 {1,2}
@attribute col_4 {1,2}

@data
512,1,1,1
313,1,1,2
89,1,2,1
19,1,2,2
353,2,1,1
207,2,1,2
17,2,2,1
8,2,2,2
120,3,1,1
205,3,1,2
202,3,2,1
391,3,2,2
138,4,1,1
279,4,1,2
131,4,2,1
244,4,2,2
53,5,1,1
138,5,1,2
94,5,2,1
299,5,2,2
22,6,1,1
351,6,1,2
24,6,2,1
317,6,2,2
