% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: tab2-8a.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-tab2-8a

@attribute col_1 INTEGER
@attribute col_2 INTEGER
@attribute col_3 INTEGER

@data
1,1,43
2,1,9
3,1,73
4,1,23
5,1,35
6,1,27
1,2,78
2,2,2
3,2,80
4,2,36
5,2,54
6,2,27
1,3,64
2,3,9
3,3,80
4,3,43
5,3,38
6,3,20
1,4,135
2,4,23
3,4,117
4,4,59
5,4,46
6,4,14
1,5,135
2,5,47
3,5,102
4,5,46
5,5,19
6,5,7
1,6,57
2,6,77
3,6,58
4,6,26
5,6,22
6,6,5
1,7,86
2,7,18
3,7,66
4,7,49
5,7,11
6,7,2
1,8,114
2,8,41
3,8,153
4,8,46
5,8,46
6,8,15
