% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: tab2-8b.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-tab2-8b

@attribute col_1 INTEGER
@attribute col_2 INTEGER
@attribute col_3 INTEGER

@data
6,1,210
7,1,102
8,1,36
9,1,19
6,2,277
7,2,140
8,2,60
9,2,12
6,3,254
7,3,127
8,3,30
9,3,6
6,4,394
7,4,279
8,4,17
9,4,12
6,5,356
7,5,254
8,5,17
9,5,25
6,6,245
7,6,127
8,6,2
9,6,9
6,7,232
7,7,51
8,7,0
9,7,14
6,8,415
7,8,190
8,8,26
9,8,28
