% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: tab4-15.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-tab4-15

@attribute col_1 {1,2}
@attribute col_2 {1,2}
@attribute col_3 {1,2}
@attribute col_4 {1,2}
@attribute col_5 INTEGER

@data
1,1,1,1,350
1,1,2,1,150
1,1,1,2,60
1,1,2,2,112
1,2,1,1,26
1,2,2,1,23
1,2,1,2,19
1,2,2,2,80
2,1,1,1,1878
2,1,2,1,1022
2,1,1,2,148
2,1,2,2,404
2,2,1,1,111
2,2,2,1,161
2,2,1,2,22
2,2,2,2,265
