% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: tab4-17.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-tab4-17

@attribute col_1 INTEGER
@attribute col_2 INTEGER
@attribute col_3 INTEGER
@attribute col_4 INTEGER
@attribute col_5 INTEGER
@attribute col_6 INTEGER

@data
74,1,1,7,16,49
74,1,2,10,26,219
74,1,3,4,10,131
74,2,1,1,19,30
74,2,2,5,21,106
74,2,3,2,11,87
74,3,1,3,9,29
74,3,2,15,30,149
74,3,3,11,18,69
73,1,1,4,16,59
73,1,2,6,24,197
73,1,3,4,11,124
73,2,1,4,16,34
73,2,2,6,29,118
73,2,3,1,4,82
73,3,1,2,14,32
73,3,2,16,45,141
73,3,3,7,20,72
72,1,1,9,12,48
72,1,2,13,43,197
72,1,3,4,9,139
72,2,1,9,17,30
72,2,2,6,10,97
72,2,3,1,8,68
72,3,1,14,12,32
72,3,2,18,50,131
72,3,3,8,13,64
