% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: tab4-18.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-tab4-18

@attribute col_1 {0,1}
@attribute col_2 INTEGER
@attribute col_3 {0,1}

@data
1,2300,1
1,750,1
1,4300,1
1,2600,1
0,6000,1
1,10500,1
1,10000,1
0,17000,1
0,5400,1
1,7000,1
1,9400,1
0,32000,1
0,35000,1
0,52000,1
0,100000,1
0,100000,1
1,100000,1
1,4400,0
1,3000,0
0,4000,0
0,1500,0
0,9000,0
0,5300,0
0,10000,0
0,19000,0
0,27000,0
0,28000,0
0,31000,0
0,26000,0
0,21000,0
0,79000,0
0,100000,0
0,100000,0
