% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: tab4-19.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-tab4-19

@attribute col_1 {0,1}
@attribute col_2 REAL
@attribute col_3 REAL

@data
1,0.825,3.7
1,1.09,3.5
1,2.5,1.25
1,1.5,0.75
1,3.2,0.8
1,3.5,0.7
0,0.75,0.6
0,1.7,1.1
0,0.75,0.9
0,0.45,0.9
0,0.57,0.8
0,2.75,0.55
0,3.0,0.6
1,2.33,1.4
1,3.75,0.75
1,1.64,2.3
1,1.6,3.2
1,1.415,0.85
0,1.06,1.7
1,1.8,1.8
0,2.0,0.4
0,1.36,0.95
0,1.35,1.35
0,1.36,1.5
1,1.78,1.6
0,1.5,0.6
1,1.5,1.8
0,1.9,0.95
1,0.95,1.9
0,0.4,1.6
1,0.75,2.7
0,0.03,2.35
0,1.83,1.1
1,2.2,1.1
1,2.0,1.2
1,3.33,0.8
0,1.9,0.95
0,1.9,0.75
1,1.625,1.3
