% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: tab7-2.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-tab7-2

@attribute col_1 INTEGER
@attribute col_2 {1,2}
@attribute col_3 INTEGER
@attribute col_4 INTEGER

@data
1,1,1,245
1,2,1,115
1,1,2,330
1,2,2,152
1,1,3,388
1,2,3,153
1,1,4,100
1,2,4,40
1,1,5,77
1,2,5,37
1,1,6,51
1,2,6,19
2,1,1,28
2,2,1,11
2,1,2,89
2,2,2,37
2,1,3,102
2,2,3,35
2,1,4,67
2,2,4,18
2,1,5,87
2,2,5,12
2,1,6,62
2,2,6,13
3,1,1,125
3,2,1,68
3,1,2,234
3,2,2,91
3,1,3,233
3,2,3,173
3,1,4,109
3,2,4,47
3,1,5,197
3,2,5,82
3,1,6,90
3,2,6,32
