% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: tab8-2.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-tab8-2

@attribute col_1 INTEGER
@attribute col_2 {53,71}
@attribute col_3 {1,2}
@attribute col_4 INTEGER

@data
1,53,1,104
1,71,1,165
2,53,1,65
2,71,1,100
3,53,1,4
3,71,1,5
4,53,1,13
4,71,1,32
1,53,2,42
1,71,2,142
2,53,2,44
2,71,2,130
3,53,2,3
3,71,2,6
4,53,2,6
4,71,2,23
