% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: tension.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-tension

@attribute col_1 INTEGER
@attribute col_2 {1,2}
@attribute col_3 {1,2}
@attribute col_4 {1,2}
@attribute col_5 {1,2}

@data
3,1,1,1,1
21,1,1,1,2
23,1,1,2,1
11,1,1,2,2
22,1,2,1,1
32,1,2,1,2
4,1,2,2,1
12,1,2,2,2
3,2,1,1,1
10,2,1,1,2
41,2,1,2,1
21,2,1,2,2
45,2,2,1,1
23,2,2,1,2
6,2,2,2,1
22,2,2,2,2
