% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab11-19.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab11-19

@attribute col_1 INTEGER
@attribute col_2 INTEGER
@attribute col_3 INTEGER
@attribute col_4 INTEGER

@data
1,1,1,18
1,1,2,9
1,1,3,7
1,1,4,6
1,1,5,10
1,1,6,7
1,1,7,13
1,1,8,1
1,2,1,7
1,2,2,11
1,2,3,11
1,2,4,4
1,2,5,8
1,2,6,12
1,2,7,5
1,2,8,11
1,3,1,5
1,3,2,12
1,3,3,11
1,3,4,10
1,3,5,6
1,3,6,3
1,3,7,15
1,3,8,8
1,4,1,9
1,4,2,3
1,4,3,1
1,4,4,8
1,4,5,10
1,4,6,15
1,4,7,16
1,4,8,12
2,1,1,12
2,1,2,16
2,1,3,7
2,1,4,15
2,1,5,17
2,1,6,18
2,1,7,14
2,1,8,7
2,2,1,16
2,2,2,4
2,2,3,14
2,2,4,10
2,2,5,12
2,2,6,22
2,2,7,18
2,2,8,13
2,3,1,15
2,3,2,21
2,3,3,12
2,3,4,16
2,3,5,12
2,3,6,14
2,3,7,18
2,3,8,11
2,4,1,9
2,4,2,19
2,4,3,6
2,4,4,12
2,4,5,22
2,4,6,19
2,4,7,9
2,4,8,13
3,1,1,18
3,1,2,25
3,1,3,17
3,1,4,10
3,1,5,18
3,1,6,18
3,1,7,16
3,1,8,15
3,2,1,13
3,2,2,13
3,2,3,20
3,2,4,16
3,2,5,16
3,2,6,23
3,2,7,16
3,2,8,14
3,3,1,10
3,3,2,19
3,3,3,19
3,3,4,12
3,3,5,21
3,3,6,22
3,3,7,10
3,3,8,14
3,4,1,22
3,4,2,12
3,4,3,20
3,4,4,18
3,4,5,22
3,4,6,14
3,4,7,15
3,4,8,11
