% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab11-22.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab11-22

@attribute col_1 {1,2}
@attribute col_2 INTEGER
@attribute col_3 INTEGER
@attribute col_4 INTEGER
@attribute col_5 REAL

@data
1,1,1,3,41.0
1,2,1,4,41.0
1,3,1,1,39.5
1,4,1,2,41.5
1,1,2,4,38.5
1,2,2,3,38.5
1,3,2,2,42.0
1,4,2,1,41.0
1,1,3,1,39.0
1,2,3,2,41.5
1,3,3,3,41.5
1,4,3,4,40.5
1,1,4,2,43.0
1,2,4,1,41.0
1,3,4,4,42.0
1,4,4,3,41.5
2,1,1,4,43.0
2,2,1,3,41.0
2,3,1,2,42.0
2,4,1,1,40.5
2,1,2,3,40.5
2,2,2,4,39.0
2,3,2,1,41.0
2,4,2,2,42.5
2,1,3,2,43.5
2,2,3,1,39.5
2,3,3,4,40.5
2,4,3,3,44.0
2,1,4,1,39.5
2,2,4,2,41.5
2,3,4,3,37.5
2,4,4,4,41.0
