% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab12-1.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab12-1

@attribute col_1 {1,2}
@attribute col_2 INTEGER
@attribute col_3 INTEGER
@attribute col_4 REAL

@data
1,1,1,7.20
1,2,1,2.40
1,3,1,2.19
1,4,1,1.22
1,1,2,11.70
1,2,2,7.76
1,3,2,4.92
1,4,2,2.62
1,1,3,15.12
1,2,3,6.13
1,3,3,5.34
1,4,3,5.50
1,1,4,18.10
1,2,4,2.64
1,3,4,2.47
1,4,4,2.74
2,1,1,9.06
2,2,1,2.14
2,3,1,2.69
2,4,1,2.43
2,1,2,11.79
2,2,2,7.76
2,3,2,1.86
2,4,2,3.90
2,1,3,14.38
2,2,3,6.89
2,3,3,4.88
2,4,3,5.27
2,1,4,8.12
2,2,4,3.17
2,3,4,1.86
2,4,4,2.31
