% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab12-14.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab12-14

@attribute col_1 REAL
@attribute col_2 INTEGER
@attribute col_3 INTEGER
@attribute col_4 INTEGER

@data
2.40,1,1,1
0.98,2,1,1
1.38,3,1,1
1.37,4,1,1
3.32,1,2,1
1.91,2,2,1
2.36,3,2,1
1.62,4,2,1
2.59,1,3,1
1.44,2,3,1
1.66,3,3,1
1.75,4,3,1
1.76,1,1,2
1.65,2,1,2
1.69,3,1,2
1.11,4,1,2
2.78,1,2,2
2.07,2,2,2
2.98,3,2,2
2.50,4,2,2
2.27,1,3,2
2.28,2,3,2
2.16,3,3,2
2.06,4,3,2
1.43,1,1,3
1.30,2,1,3
0.18,3,1,3
1.66,4,1,3
2.51,1,2,3
1.48,2,2,3
1.83,3,2,3
2.36,4,2,3
1.54,1,3,3
1.46,2,3,3
0.16,3,3,3
1.84,4,3,3
1.24,1,1,4
0.70,2,1,4
0.69,3,1,4
0.82,4,1,4
3.29,1,2,4
2.00,2,2,4
1.38,3,2,4
1.98,4,2,4
2.67,1,3,4
1.44,2,3,4
1.75,3,3,4
1.56,4,3,4
0.79,1,1,5
0.21,2,1,5
0.01,3,1,5
0.16,4,1,5
1.70,1,2,5
1.44,2,2,5
2.65,3,2,5
2.15,4,2,5
1.62,1,3,5
1.26,2,3,5
1.36,3,3,5
1.87,4,3,5

