% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab16-7.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab16-7

@attribute col_1 INTEGER
@attribute col_2 INTEGER
@attribute col_3 INTEGER

@data
1,1,19
1,2,17
1,3,11
2,4,6
2,5,26
2,6,23
3,7,21
3,8,19
3,9,28
4,1,20
4,4,7
4,7,20
5,2,17
5,5,26
5,8,19
6,3,15
6,6,23
6,9,31
7,1,20
7,5,26
7,9,31
8,2,16
8,6,23
8,7,21
9,3,13
9,4,7
9,8,20
10,1,20
10,6,24
10,8,19
11,2,17
11,4,6
11,9,29
12,3,14
12,5,24
12,7,21
