% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab4-2.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab4-2

@attribute col_1 {0,1}
@attribute col_2 INTEGER

@data
0,165
0,175
0,170
0,150
1,140
1,135
1,150
0,90
1,135
1,110
1,85
1,125
1,155
1,115
0,130
1,145
0,175
0,160
1,120
1,145
1,90
1,170
0,115
0,85
0,95
1,125
1,110
1,140
1,145
1,105
0,125
0,135
1,140
1,95
0,165
1,135
0,150
