% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab5-1.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab5-1

@attribute col_1 INTEGER
@attribute col_2 INTEGER

@data
21,1
55,1
42,1
25,1
48,1
22,1
42,1
53,1
21,1
21,1
31,1
28,1
24,1
53,1
66,1
90,1
27,1
48,1
47,1
49,1
53,1
62,1
31,1
31,1
32,1
43,1
57,1
42,1
34,1
39,1
24,1
79,1
46,1
52,1
27,1
76,1
44,1
35,1
32,1
26,1
51,1
19,1
27,1
58,1
27,2
22,2
20,2
51,2
60,2
15,2
19,2
24,2
24,2
18,2
43,2
50,2
31,2
29,2
21,2
27,2
34,2
76,2
35,2
55,2
24,2
68,2
45,2
57,2
22,2
48,2
48,2
14,2
52,2
29,2
21,2
28,2
17,2
38,2
26,3
17,3
24,3
22,3
16,3
21,3
36,3
18,3
48,3
20,3
35,3
23,3
25,3
23,3
22,3
