%                      File README
%                      -----------
% 
% chscase  A collection of the data sets used in the book 
%          "A Casebook for a First Course in Statistics and Data Analysis,"
%          by Samprit Chatterjee, Mark S. Handcock and Jeffrey S. Simonoff,
%          John Wiley and Sons, New York, 1995. Submitted by 
%          Samprit Chatterjee (schatterjee@stern.nyu.edu),
%          Mark Handcock (mhandcock@stern.nyu.edu) and 
%          Jeff Simonoff (jsimonoff@stern.nyu.edu)
% 
% This submission consists of 38 files, plus this README file.
% Each file represents a data set analyzed in the book. The names
% of the files correspond to the names used in the book. The data
% files are written in plain ASCII (character) text. Missing
% values are represented by "M" in all data files.
% 
% More information about the data sets and the book can be
% obtained via gopher at the address
%                      swis.stern.nyu.edu
% 
% The information is filed under
%   ---> Academic Departments & Research Centers
%    ---> Statistics and Operations Research
%     ---> Publications
%      ---> A Casebook for a First Course in Statistics and Data Analysis
%       ---> Welcome!
% 
% It can also be accessed from the World Wide Web (WWW) using a
% WWW browser (e.g., netscape) starting from the URL address
%           http://www.stern.nyu.edu/SOR/Casebook
% 
% 
% 
% NOTICE: These datasets may be used freely for scientific,
% educational and/or non-commercial purposes, provided suitable
% acknowledgment is given (by citing the Chatterjee, Handcock and
% Simonoff reference above).
%
% File: census3.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation chscase-census3

@attribute col_1 REAL
@attribute col_2 REAL
@attribute col_3 REAL
@attribute col_4 REAL
@attribute col_5 REAL
@attribute col_6 REAL
@attribute col_7 REAL
@attribute col_8 REAL

@data
4.3830,4.4000,4.2788,4.2876,4.2397,4.2427,4.2538,4.2298
4.4170,4.2145,4.3759,4.1595,4.2758,4.2820,4.2182,4.2320
4.2894,4.3868,4.1404,4.2997,4.3123,4.2684,4.1946,4.2121
4.1397,4.1053,4.1357,4.1653,4.2470,4.2036,4.1990,4.2424
4.2282,4.3022,4.1870,4.3764,4.1921,4.2431,4.2441,4.2384
4.5454,4.3832,4.2203,4.3091,4.2937,4.2486,4.2459,4.2422
3.8434,4.2377,4.3177,4.3826,4.2496,4.1905,4.2227,4.2429
4.3673,4.1948,4.3410,4.1791,4.2492,4.1904,4.1953,4.2433
4.0661,4.1694,4.0315,4.3054,4.2679,4.2502,4.2390,4.2279
4.5384,4.0499,4.2519,4.2221,4.3131,4.1962,4.2226,4.2610
4.2432,4.2526,4.3622,4.2404,4.1951,4.2413,4.2579,4.2451
4.5233,4.3106,4.3460,4.2077,4.2059,4.2466,4.1938,4.2351
4.4972,4.2762,4.3055,4.1540,4.2364,4.2232,4.2496,4.2370
3.9782,4.3127,4.3212,4.2948,4.2465,4.1994,4.2265,4.2527
4.1901,4.3492,4.3788,4.3174,4.2589,4.2689,4.2437,4.2458
4.1994,4.3180,4.4321,4.1740,4.1465,4.2003,4.2546,4.2352
3.9659,4.4269,4.3705,4.3037,4.3442,4.1870,4.2626,4.2324
4.3729,4.5000,4.2192,4.2323,4.1755,4.2797,4.2484,4.2524
4.0384,4.2987,4.1596,4.3049,4.1827,4.2685,4.2377,4.2227
4.0615,4.2784,4.2230,4.2321,4.2227,4.2779,4.2201,4.2240
4.1483,4.3678,4.4031,4.1699,4.2743,4.2469,4.2274,4.2311
4.3569,4.2111,4.3321,4.2795,4.2861,4.2283,4.2430,4.2423
4.3580,3.9926,4.1146,4.2739,4.2500,4.2542,4.2214,4.2319
4.2633,4.0707,4.3075,4.2950,4.2544,4.2206,4.2598,4.2049
4.2848,4.2714,4.1614,4.4343,4.2393,4.2949,4.2301,4.2232
4.2677,4.2261,4.2162,4.3371,4.2310,4.2192,4.2570,4.2403
4.4667,4.0401,4.1805,4.1205,4.2826,4.2568,4.2101,4.2419
4.1586,4.0145,4.3059,4.1378,4.2886,4.2293,4.1979,4.2352
4.3636,4.3119,4.1494,4.2184,4.0923,4.2677,4.2261,4.2488
4.3347,4.3976,4.2683,4.1889,4.2982,4.2108,4.2812,4.2302
4.3776,4.5871,4.0571,4.1956,4.1803,4.2418,4.2338,4.2305
4.2585,4.1714,4.2294,4.2592,4.2582,4.2050,4.2772,4.2412
