% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch12.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY: Chapter 12.
% 
% Parametric Duration Analysis of Nursing Home Usage
% 
% Carl N. Morris, Edward C. Norton, Xiao H. Zhou
% 
% The file ch12.dat contains the following  variables:
% 
% lstay: Length of stay of a resident
% age: Age of a resident
% trt: Nursing home assignment (1: receive treament,0: control)
% gender: Gender (1:male,0:female)
% marstat: Marital status (1: married,0: not married)
% hlstat: Health status (2: second best, 5: worst)
% cens: Censoring indicator (1:censored, 0: discharged)
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch12

@attribute lstay INTEGER
@attribute age INTEGER
@attribute trt {0,1}
@attribute gender {0,1}
@attribute marstat {0,1}
@attribute hlstat INTEGER
@attribute cens {0,1}

@data
37,86,1,0,0,2,0
61,77,1,0,0,4,0
1084,75,1,0,0,3,1
1092,77,1,0,1,2,1
23,86,1,0,0,4,0
1091,71,1,1,0,3,1
439,90,1,0,0,3,0
439,94,1,0,0,2,0
1047,84,1,0,0,3,1
171,76,1,1,1,3,0
25,86,1,0,0,3,0
100,80,1,0,0,4,0
12,73,1,0,0,4,0
12,72,1,0,0,5,0
265,92,1,0,0,4,0
63,74,1,0,0,2,0
74,91,1,0,0,4,0
1028,77,1,0,0,4,1
208,88,1,0,0,3,0
4,85,1,0,1,5,0
92,69,1,0,0,4,0
1026,92,1,0,0,4,1
98,97,1,0,0,4,0
7,83,1,0,0,5,0
12,82,1,1,1,2,0
20,73,1,0,0,5,0
104,79,1,0,0,5,0
46,72,1,0,0,3,0
206,83,1,1,0,3,0
1006,88,1,0,0,4,1
992,77,1,0,1,2,1
290,69,1,0,0,4,0
123,94,1,0,0,2,0
230,90,1,0,0,3,0
69,82,1,0,0,4,0
317,74,1,0,0,3,0
964,93,1,0,0,4,1
450,77,1,0,0,4,0
35,81,1,0,0,4,0
143,70,1,0,0,4,0
238,79,1,0,0,5,0
24,89,1,0,0,2,0
10,81,1,0,0,5,0
726,93,1,0,0,4,0
942,78,1,0,0,3,1
243,91,1,0,0,5,0
293,89,1,0,0,2,0
461,83,1,0,0,3,0
586,68,1,1,1,3,0
271,81,1,0,0,5,0
71,82,1,0,0,3,0
33,70,1,0,0,2,0
201,86,1,0,0,4,0
497,97,1,0,0,4,0
14,85,1,0,0,5,0
95,83,1,0,0,5,0
903,95,1,0,0,3,1
30,76,1,1,1,4,0
49,71,1,1,0,3,0
33,87,1,0,0,5,0
34,71,1,0,0,4,0
14,81,1,1,1,2,0
651,69,1,1,1,4,0
310,84,1,0,0,4,0
223,85,1,0,1,3,0
209,91,1,0,1,4,0
679,80,1,0,0,2,0
823,77,1,0,0,4,1
202,79,1,1,0,4,0
51,81,1,1,0,4,0
817,87,1,0,0,5,1
810,82,1,0,0,4,1
15,77,1,1,1,4,0
198,79,1,0,0,3,0
207,84,1,0,0,5,0
2,76,1,1,1,5,0
193,71,1,1,0,3,0
147,91,1,0,0,3,0
393,82,1,1,0,5,0
16,87,1,0,0,5,0
25,81,1,1,0,4,0
118,92,1,0,0,4,0
237,77,1,1,0,3,0
283,89,1,0,0,4,0
148,79,1,1,1,3,0
32,92,1,0,0,3,0
44,72,1,0,0,3,0
738,78,1,1,1,3,1
39,86,1,1,0,4,0
105,95,1,0,0,3,0
59,96,1,0,0,4,0
159,76,1,0,0,3,0
2,81,1,1,1,4,0
203,78,1,0,0,3,0
749,90,1,0,0,3,1
11,86,1,1,0,2,0
13,85,1,1,1,4,0
218,76,1,0,0,4,0
344,88,1,0,0,4,0
553,72,1,0,0,5,0
27,98,1,1,0,4,0
708,94,1,0,0,4,0
418,88,1,0,0,4,0
167,80,1,1,1,4,0
971,82,1,1,1,4,1
14,75,1,1,0,3,0
448,83,1,1,1,2,0
4,71,1,0,0,3,0
54,86,1,0,0,3,0
73,83,1,1,0,2,0
75,68,1,0,0,3,0
906,71,1,0,0,3,1
72,86,1,0,0,5,0
277,86,1,0,0,2,0
364,79,1,0,0,5,0
95,79,1,0,0,4,0
18,83,1,1,0,4,0
83,87,1,0,0,5,0
11,83,1,1,0,4,0
9,73,1,0,0,3,0
262,77,1,1,0,3,0
312,81,1,0,0,4,0
790,83,1,0,0,4,1
749,85,1,0,0,2,1
733,83,1,0,0,3,1
773,68,1,1,0,5,1
574,77,1,1,0,2,0
46,79,1,1,0,2,0
2,78,1,1,1,3,0
165,68,1,0,0,3,0
43,70,1,0,0,2,0
73,83,1,1,0,2,0
37,84,1,0,1,2,0
970,77,1,0,0,2,1
399,81,1,1,0,2,0
169,75,1,0,0,3,0
934,89,1,1,1,3,1
34,83,1,0,0,2,0
775,84,1,0,0,2,1
752,83,1,1,0,3,1
530,77,1,0,0,2,0
41,95,1,0,0,3,0
261,72,1,0,0,3,0
89,78,0,0,1,2,0
148,78,0,0,0,3,0
32,87,0,0,0,4,0
5,77,0,1,1,5,0
127,80,0,0,0,4,0
6,77,0,0,0,3,0
129,90,0,0,0,3,0
13,77,0,0,0,4,0
75,88,0,0,0,3,0
15,82,0,0,0,3,0
88,79,0,0,0,3,0
710,80,0,0,0,3,1
25,95,0,0,0,3,0
697,86,0,0,0,4,1
132,83,0,0,0,3,0
8,85,0,1,0,3,0
103,77,0,1,1,3,0
5,84,0,1,0,4,0
3,89,0,1,0,5,0
582,94,0,1,0,3,0
315,94,0,0,0,4,0
7,83,0,1,0,4,0
4,85,0,1,0,3,0
8,73,0,1,0,4,0
1,93,0,1,0,4,0
27,66,0,1,0,2,0
70,91,0,0,0,5,0
155,68,0,0,0,4,0
669,70,0,1,0,3,1
283,82,0,0,0,4,0
131,75,0,1,1,3,0
88,69,0,1,1,3,0
628,80,0,0,0,4,1
6,93,0,1,0,4,0
38,95,0,1,0,3,0
170,78,0,1,1,3,0
11,85,0,0,0,5,0
94,89,0,0,0,4,0
18,90,0,0,0,4,0
214,89,0,0,0,4,0
2,85,0,0,0,4,0
128,85,0,0,0,4,0
156,87,0,0,0,2,0
561,92,0,1,0,3,1
38,90,0,0,0,4,0
13,82,0,0,0,4,0
81,69,0,0,0,4,0
475,91,0,0,0,4,0
25,65,0,0,0,4,0
2,84,0,1,0,5,0
365,78,0,1,0,3,0
4,88,0,1,0,3,0
14,86,0,1,0,4,0
533,89,0,0,0,5,1
488,84,0,0,0,3,1
252,86,0,0,0,5,0
14,87,0,1,1,4,0
12,81,0,1,0,2,0
59,72,0,0,0,4,0
244,65,0,0,0,4,0
42,95,0,0,0,4,0
4,81,0,1,0,4,0
14,78,0,0,0,3,0
48,72,0,1,0,5,0
65,77,0,1,0,3,0
105,80,0,1,0,4,0
85,92,0,0,0,3,0
61,83,0,0,0,3,0
40,65,0,1,0,2,0
5,79,0,0,0,3,0
64,73,0,0,0,3,0
19,72,0,0,0,3,0
22,93,0,1,0,4,0
20,90,0,1,0,4,0
25,100,0,1,0,4,0
66,72,0,0,0,4,0
1,83,0,0,0,5,0
396,86,0,0,1,3,1
404,66,0,1,0,4,1
31,86,0,0,0,4,0
107,91,0,0,0,4,0
9,93,0,0,0,5,0
110,79,0,0,0,4,0
23,88,0,0,0,4,0
7,84,0,1,1,4,0
21,93,0,0,0,4,0
89,84,0,1,1,4,0
96,65,0,1,0,3,0
41,95,0,0,0,5,0
390,93,0,0,0,5,1
388,98,0,0,0,4,1
22,83,0,1,0,4,0
1,81,0,0,0,2,0
279,73,0,1,0,3,0
13,92,0,0,0,4,0
1,83,0,0,0,4,0
16,85,0,0,1,4,0
26,81,0,1,1,3,0
20,95,0,1,1,3,0
118,73,0,1,0,4,0
58,89,1,1,1,4,0
178,90,1,0,0,4,0
1074,82,1,1,0,3,1
223,94,1,0,0,2,0
410,90,1,0,0,4,0
273,88,1,1,0,4,0
1043,87,1,0,0,4,1
7,78,1,0,0,4,0
168,80,1,0,0,5,0
386,86,1,0,0,4,0
6,65,1,0,0,2,0
599,91,1,0,0,2,0
32,83,1,1,1,3,0
17,70,1,1,0,4,0
14,84,1,1,0,5,0
269,78,1,1,0,2,0
973,71,1,1,0,5,1
195,94,1,0,0,4,0
0,82,1,1,1,4,0
10,92,1,1,0,3,0
108,84,1,1,0,3,0
153,75,1,0,0,3,0
162,78,1,1,0,2,0
19,81,1,0,0,3,0
497,85,1,0,0,5,0
17,88,1,0,0,4,0
57,91,1,0,0,3,0
49,84,1,1,1,4,0
18,86,1,1,0,4,0
881,81,1,0,0,5,1
279,74,1,0,0,3,0
864,94,1,1,0,2,1
394,88,1,0,0,4,0
411,86,1,0,1,4,0
92,73,1,0,0,2,0
86,91,1,1,0,4,0
19,86,1,1,0,4,0
17,77,1,0,1,3,0
309,74,1,0,0,3,0
823,77,1,0,1,4,1
16,88,1,0,0,5,0
7,78,1,0,1,4,0
788,74,1,0,0,3,1
397,66,1,1,0,4,0
143,93,1,0,0,4,0
803,84,1,0,0,3,1
525,84,1,0,0,3,0
816,75,1,1,1,4,1
770,75,1,0,0,3,1
402,89,1,0,0,2,1
108,94,1,0,0,4,0
48,74,1,0,0,3,0
756,92,1,1,0,4,1
120,71,1,1,0,3,0
178,69,1,1,0,3,0
18,78,1,0,0,5,0
481,91,1,0,0,3,0
732,90,1,0,0,4,1
156,71,1,0,0,3,0
21,83,1,0,0,3,0
377,79,1,0,0,3,0
185,78,1,1,1,3,0
63,87,1,1,0,2,0
13,94,0,0,0,3,0
118,89,0,0,0,4,0
690,79,0,0,0,4,1
645,86,0,0,0,4,1
176,93,0,0,0,5,0
94,85,0,0,0,3,0
526,88,0,0,0,4,0
5,87,0,0,0,2,0
554,88,0,0,0,4,1
512,90,0,0,0,4,1
122,74,0,1,1,2,0
506,84,0,0,0,4,1
9,87,0,0,0,4,0
54,85,0,0,0,4,0
467,93,0,1,0,4,1
306,82,0,0,0,2,0
21,85,0,0,0,2,0
597,82,0,1,1,2,0
140,85,0,0,0,2,0
47,84,0,0,0,2,0
148,88,0,0,0,3,0
410,76,0,0,0,4,1
635,82,0,0,0,2,1
724,93,0,0,0,2,1
707,87,0,0,0,2,1
8,71,0,0,0,3,0
702,96,0,0,0,4,1
696,86,0,0,0,2,1
108,86,0,0,0,3,0
698,79,0,0,0,3,1
690,87,0,0,0,3,1
435,80,0,0,0,2,0
649,84,0,1,0,4,1
221,85,0,0,0,3,0
47,85,0,0,0,2,0
607,92,0,1,1,2,1
21,84,0,0,0,4,0
598,76,0,0,0,2,1
576,93,0,0,0,2,1
141,97,0,0,0,2,0
554,95,0,0,0,3,1
561,97,0,0,0,3,1
131,86,0,0,0,3,0
537,84,0,0,0,2,1
102,79,0,0,1,3,0
96,92,0,0,0,3,0
1,89,0,0,0,2,0
33,84,0,1,0,3,0
480,88,0,0,0,2,1
466,93,0,0,1,3,1
494,89,0,0,0,3,1
77,65,0,1,1,3,0
122,75,0,1,1,5,0
50,88,0,0,0,2,0
20,84,0,1,0,2,0
123,75,0,0,1,2,0
15,82,0,0,0,2,0
417,81,0,0,0,3,1
0,96,0,0,0,2,0
84,89,0,0,0,4,0
382,81,0,0,0,3,1
387,82,0,0,0,3,0
393,89,0,0,0,3,1
43,71,0,1,0,2,0
4,86,0,0,0,4,0
9,77,0,1,0,3,0
277,89,1,0,0,3,0
466,93,1,0,0,3,0
22,88,1,0,0,4,0
10,71,1,1,1,3,0
1062,87,1,0,0,3,1
697,82,1,0,0,3,0
250,76,1,0,0,3,0
240,84,1,0,0,3,0
156,78,1,0,0,3,0
1,92,1,0,0,2,0
22,91,1,0,0,3,0
1054,79,1,0,0,4,1
5,83,1,0,0,4,0
139,75,1,0,0,4,0
9,75,1,1,0,2,0
381,71,1,1,0,4,0
24,87,1,1,0,2,0
999,76,1,0,0,3,1
153,86,1,0,1,5,0
135,83,1,0,0,3,0
27,77,1,0,1,4,0
397,91,1,0,0,3,0
970,86,1,0,0,3,1
35,83,1,0,0,3,0
3,88,1,0,0,3,0
16,92,1,0,0,3,0
39,92,1,0,0,2,0
6,68,1,1,1,4,0
32,92,1,0,0,3,0
44,81,1,0,0,5,0
5,81,1,0,1,3,0
70,85,1,0,1,3,0
41,83,1,0,0,3,0
66,80,1,1,0,3,0
936,65,1,0,0,2,1
492,75,1,1,1,3,0
757,72,1,0,0,3,0
921,91,1,0,0,3,1
444,77,1,0,0,5,0
113,86,1,0,0,3,0
833,79,1,0,0,4,1
21,71,1,0,0,2,0
278,85,1,1,0,3,0
142,77,1,0,0,3,0
22,71,1,0,0,2,0
783,87,1,0,0,2,1
10,84,1,0,0,3,0
44,78,1,0,1,3,0
741,81,1,0,0,3,1
1,87,1,0,0,4,0
162,86,0,0,0,3,0
47,82,0,0,0,2,0
165,76,0,1,1,2,0
696,91,0,0,0,2,1
38,78,0,0,1,2,0
653,85,0,0,0,4,1
76,78,0,0,1,3,0
172,91,0,0,0,3,0
11,80,0,1,0,2,0
585,87,0,0,0,2,1
72,73,0,1,1,4,0
25,81,0,1,0,4,0
148,82,0,0,0,3,0
54,75,0,1,1,3,0
120,92,0,1,0,4,0
540,79,0,0,0,2,1
476,75,0,1,1,4,0
222,95,0,0,0,2,0
126,84,0,1,1,3,0
7,94,0,1,1,4,0
400,71,0,1,1,2,0
40,81,0,1,0,4,0
471,83,0,0,0,2,1
63,86,0,0,1,3,0
474,76,0,0,0,3,1
23,87,0,1,1,4,0
8,82,0,1,0,4,0
6,86,0,1,0,4,0
232,87,0,0,0,3,0
71,83,0,1,1,3,0
449,85,0,1,0,3,1
96,74,0,0,0,3,0
370,82,0,1,0,3,0
204,86,0,0,0,2,0
125,77,0,0,1,3,0
60,89,0,0,0,2,0
407,86,0,0,0,2,1
100,83,0,1,1,3,0
139,77,0,0,0,2,0
48,82,0,0,0,2,0
147,78,0,1,0,3,0
374,89,0,1,0,3,1
27,87,0,1,1,4,0
111,88,1,0,0,3,0
234,77,1,0,0,4,0
384,85,1,0,0,5,0
35,86,1,0,1,5,0
74,77,1,0,0,2,0
851,96,1,0,0,3,1
15,68,1,0,1,2,0
709,87,1,0,0,4,0
48,76,1,0,0,2,0
8,82,1,0,0,2,0
26,86,1,1,1,3,0
25,94,1,1,1,3,0
15,91,1,0,0,4,0
330,76,1,0,0,4,0
29,94,1,1,1,4,0
40,79,1,1,0,5,0
5,82,1,0,0,3,0
478,82,1,0,0,3,0
89,94,1,0,0,3,0
274,85,1,1,0,4,0
18,90,1,1,1,4,0
18,91,1,1,0,4,0
51,91,1,1,0,4,0
63,80,1,0,1,4,0
164,84,1,1,0,4,0
9,97,1,0,0,4,0
322,84,1,0,0,2,0
481,85,1,0,0,4,0
360,77,1,0,0,2,0
27,66,1,0,0,4,0
86,80,1,1,1,4,0
402,94,1,0,0,3,0
875,78,1,0,0,3,1
51,87,1,0,0,4,0
161,75,1,0,0,4,0
294,83,1,1,0,4,0
780,71,1,0,0,4,1
71,82,1,1,0,3,0
465,86,1,0,0,3,0
27,83,1,0,0,3,0
2,78,1,0,1,4,0
5,83,0,0,0,4,0
6,83,0,0,0,4,0
941,78,1,0,0,4,0
83,83,1,0,0,2,0
293,92,1,0,0,4,0
741,87,1,0,0,3,0
585,82,1,0,0,4,0
98,92,1,0,1,4,0
216,95,1,1,0,4,0
295,73,1,0,0,3,0
3,82,1,1,0,2,0
20,82,1,1,0,3,0
162,69,1,0,0,3,0
982,87,1,0,0,2,1
61,79,1,0,0,4,0
881,91,1,1,0,3,0
18,76,1,0,0,5,0
965,76,1,0,0,4,1
665,83,1,0,0,4,0
28,91,1,0,0,3,0
945,90,1,0,0,4,1
941,84,1,0,0,4,1
29,72,1,0,0,3,0
344,94,1,0,0,4,0
993,68,1,0,0,3,1
89,83,1,0,0,4,0
144,90,1,0,0,2,0
1010,70,1,0,0,4,1
101,80,1,0,0,4,0
545,66,1,0,0,3,0
199,83,1,0,0,2,0
13,80,1,0,0,4,0
362,81,1,0,0,3,0
8,80,1,0,1,5,0
233,89,1,0,0,4,0
879,81,1,0,0,4,1
164,80,1,0,0,4,0
434,85,1,0,0,4,0
875,81,1,0,0,4,1
1,80,1,0,0,4,0
858,98,1,0,0,3,1
222,66,1,0,0,4,0
275,88,1,1,0,5,0
911,91,1,0,0,4,0
818,74,1,0,0,5,1
472,86,1,0,1,4,0
153,74,1,1,0,3,0
123,83,1,0,0,4,0
126,93,1,0,0,3,0
37,76,1,0,0,4,0
74,77,1,0,0,2,0
105,88,1,0,0,3,0
98,84,1,0,0,3,0
71,85,1,0,0,4,0
115,87,1,0,0,4,0
507,86,0,0,0,2,1
250,81,0,1,0,2,0
54,82,0,0,0,2,0
53,84,0,0,0,3,0
719,83,0,0,0,4,1
683,90,0,0,0,3,1
4,82,0,0,1,3,0
68,82,0,0,0,5,0
697,85,0,0,0,4,1
190,89,0,0,0,4,0
6,84,0,0,0,3,0
676,78,0,0,0,4,1
4,76,0,0,0,4,0
639,85,0,0,0,3,1
639,84,0,0,0,3,1
619,90,0,0,0,3,1
619,77,0,0,0,3,1
611,96,0,0,0,2,1
204,86,0,0,0,3,0
605,90,0,0,0,3,1
568,68,0,1,1,3,1
63,83,0,0,1,4,0
494,88,0,0,1,4,1
501,90,0,1,0,2,1
6,90,0,0,0,4,0
462,83,0,0,0,2,1
451,104,0,0,0,3,1
446,87,0,0,0,4,1
717,93,0,0,0,2,1
519,87,0,0,0,2,0
702,84,0,0,0,3,1
31,80,0,1,0,3,0
379,82,0,0,0,3,0
92,84,0,0,1,4,0
627,85,0,0,0,3,1
548,96,0,1,0,3,1
13,85,0,0,0,4,0
261,85,0,0,0,4,0
108,90,0,0,0,3,0
24,82,0,0,1,2,0
69,69,0,0,0,2,0
62,77,0,0,0,4,0
18,99,0,0,0,3,0
82,74,0,1,1,2,0
8,89,0,0,0,3,0
10,67,0,1,1,2,0
85,95,0,0,0,2,0
100,70,0,0,0,3,0
302,67,0,1,1,4,0
669,75,0,0,1,4,1
115,82,0,0,0,4,0
626,80,0,0,0,4,1
151,92,0,1,0,3,0
463,101,0,0,0,2,1
379,68,0,0,0,2,0
456,79,0,1,1,3,1
453,86,0,0,0,3,1
442,68,0,0,1,4,1
112,85,0,1,0,3,0
114,91,0,0,0,4,0
437,88,0,0,0,3,1
152,90,0,1,1,4,0
342,90,0,0,0,2,0
365,89,0,0,0,2,1
122,76,0,0,0,3,0
182,75,0,1,0,2,0
131,85,0,1,0,2,0
143,82,0,1,0,4,0
149,93,0,0,0,4,0
10,89,0,0,0,2,0
4,100,0,0,0,3,0
19,80,0,0,0,2,0
76,87,0,0,0,3,0
259,92,0,0,0,3,0
174,83,0,0,0,3,0
133,67,0,0,0,2,0
23,90,0,0,0,3,0
120,86,0,0,0,2,0
209,85,0,0,0,2,0
151,74,0,1,0,2,0
4,81,0,0,0,2,0
439,75,0,0,0,3,0
84,88,0,0,0,5,0
297,88,0,0,0,4,0
13,77,0,1,1,4,0
471,82,0,0,0,2,1
726,84,0,0,0,3,1
22,83,0,0,1,3,0
76,84,0,0,0,3,0
303,77,0,1,0,2,0
207,82,0,0,0,3,0
16,89,0,1,0,4,0
40,86,0,0,0,3,0
