% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch21a.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY:  Chapter 21. 
% 
% Drug Interactions Between Morphine and Marijuana
% 
% Chris Gennings, W. Hans Carter Jr., Billy R. Martin.
% 
% The file ch21a.dat contains the spontaneous activity and rectal
% temperature data (416 observations of 6 variables) There are no missing values.
% 
% Variable List:
% 
% OBS:		Observation identification number.
% 
% MORPHINE:	Dose of morphine sulfate (mg/kg) injected into study mice. The 
% 		range is 0 to 8.0.
% 
% DEL9_THC:	Dose of Delta9-THC (mg/kg) injected into study mice.  The 
% 		range is from 0 to 15.0.
% 
% REP:		Identification of study replication.  The entire 5x7 factorial 
% 		design was replicated.
% 
% SPON_ACT:	Spontaneous Activity as defined by the number of interruptions 
% 		of a photocell beam in a clear plastic cage over a 10 minute 
% 		period of time.
% 
% TEMP_B:		Rectal Temperature at baseline (just prior to treatment).
% 
% TEMP_60:	Rectal Temperature at 60 minutes post treatment injection.
% 
% 
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch21a

@attribute OBS INTEGER
@attribute MORPHINE INTEGER
@attribute DEL9_THC REAL
@attribute REP {1,2}
@attribute SPON_ACT INTEGER
@attribute TEMP_B REAL
@attribute TEMP_60 REAL

@data
1,0,0.0,1,147,38.0,38.5
2,0,0.0,1,92,39.0,38.0
3,0,0.0,1,95,38.0,38.0
4,0,0.0,1,119,38.0,39.0
5,0,0.0,1,82,38.5,39.0
6,0,0.0,1,81,38.5,39.0
7,0,0.0,2,46,37.5,37.5
8,0,0.0,2,61,38.0,38.5
9,0,0.0,2,92,37.0,38.0
10,0,0.0,2,52,37.0,36.0
11,0,0.0,2,47,38.5,36.5
12,0,0.0,2,55,38.0,37.5
13,0,0.5,1,33,37.5,36.0
14,0,0.5,1,63,38.5,38.5
15,0,0.5,1,135,38.5,39.0
16,0,0.5,1,152,39.0,38.5
17,0,0.5,1,97,38.0,39.0
18,0,0.5,1,110,39.0,39.5
19,0,0.5,2,86,38.0,38.5
20,0,0.5,2,53,39.0,36.5
21,0,0.5,2,43,39.0,38.0
22,0,0.5,2,85,39.0,39.0
23,0,0.5,2,53,38.0,36.0
24,0,0.5,2,129,38.5,39.0
25,0,1.0,1,275,37.0,37.5
26,0,1.0,1,77,38.0,38.5
27,0,1.0,1,110,37.5,39.0
28,0,1.0,1,112,38.5,37.5
29,0,1.0,1,221,38.5,40.0
30,0,1.0,1,163,39.0,39.5
31,0,1.0,2,33,39.0,38.5
32,0,1.0,2,135,38.5,39.0
33,0,1.0,2,172,39.0,36.5
34,0,1.0,2,89,38.0,36.5
35,0,1.0,2,54,39.5,36.0
36,0,1.0,2,45,39.0,37.5
37,0,2.5,1,49,40.0,37.0
38,0,2.5,1,117,38.5,36.0
39,0,2.5,1,120,38.5,37.0
40,0,2.5,1,121,39.5,36.0
41,0,2.5,1,111,39.5,38.5
42,0,2.5,1,187,39.0,37.0
43,0,2.5,2,34,38.5,35.5
44,0,2.5,2,23,38.0,36.5
45,0,2.5,2,79,38.5,38.5
46,0,2.5,2,55,39.0,34.5
47,0,2.5,2,73,38.5,36.5
48,0,2.5,2,31,38.0,35.5
49,0,5.0,1,14,38.0,36.0
50,0,5.0,1,19,39.0,36.0
51,0,5.0,1,5,39.0,34.5
52,0,5.0,1,3,39.5,35.0
53,0,5.0,1,20,39.0,35.0
54,0,5.0,1,45,39.0,36.0
55,0,5.0,2,10,39.0,34.0
56,0,5.0,2,42,38.0,33.5
57,0,5.0,2,17,38.5,35.5
58,0,5.0,2,15,39.0,35.0
59,0,5.0,2,31,39.0,34.0
60,0,5.0,2,113,39.0,35.0
61,0,10.0,1,5,38.5,32.0
62,0,10.0,1,6,38.5,32.0
63,0,10.0,1,35,39.0,34.0
64,0,10.0,1,54,38.0,33.0
65,0,10.0,1,134,38.5,34.5
66,0,10.0,1,4,39.0,33.0
67,0,10.0,2,5,38.5,33.5
68,0,10.0,2,25,38.0,33.5
69,0,10.0,2,2,39.0,34.5
70,0,10.0,2,14,38.5,33.0
71,0,10.0,2,3,38.5,34.0
