% DATA-SETS FROM DIGGLE, P.J. (1990). TIME SERIES : A BIOSTATISTICAL
% INTRODUCTION. Oxford University Press. 
%
% Table: Table A2 Wool prices
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation diggle-Table_A2_Wool_prices

@attribute col_1 {76,77,78,79,80,81,82,83,84}
@attribute col_2 INTEGER
@attribute col_3 INTEGER
@attribute col_4 REAL
@attribute col_5 REAL
@attribute col_6 REAL
@attribute col_7 REAL
@attribute col_8 REAL
@attribute col_9 REAL

@data
76,33,33,262.0000,307.0000,1.1718,5.5683,5.7268,0.1585
76,34,34,259.0000,306.0000,1.1815,5.5568,5.7236,0.1668
76,35,35,257.0000,306.0000,1.1907,5.5491,5.7236,0.1745
76,36,36,262.0000,306.0000,1.1679,5.5683,5.7236,0.1553
76,37,37,264.0000,306.0000,1.1591,5.5759,5.7236,0.1477
76,38,38,268.0000,313.0000,1.1679,5.5910,5.7462,0.1552
76,39,39,276.0000,319.0000,1.1558,5.6204,5.7652,0.1448
76,40,40,283.0000,324.0000,1.1449,5.6454,5.7807,0.1353
76,41,41,290.0000,332.0000,1.1448,5.6699,5.8051,0.1352
76,42,42,286.0000,320.0000,1.1189,5.6560,5.7683,0.1123
76,43,43,288.0000,320.0000,1.1111,5.6630,5.7683,0.1053
76,44,44,286.0000,314.0000,1.0979,5.6560,5.7494,0.0934
76,45,45,279.0000,306.0000,1.0968,5.6312,5.7236,0.0924
76,46,46,279.0000,307.0000,1.1004,5.6312,5.7268,0.0956
76,47,47,280.0000,308.0000,1.1000,5.6348,5.7301,0.0953
76,48,48,321.0000,358.0000,1.1153,5.7714,5.8805,0.1091
76,49,49,328.0000,358.0000,1.0915,5.7930,5.8805,0.0875
76,50,50,334.0000,360.0000,1.0778,5.8111,5.8861,0.0750
77,2,54,332.0000,360.0000,1.0843,5.8051,5.8861,0.0810
77,3,55,332.0000,362.0000,1.0904,5.8051,5.8916,0.0865
77,4,56,326.0000,361.0000,1.1074,5.7869,5.8889,0.1020
77,5,57,322.0000,359.0000,1.1149,5.7746,5.8833,0.1087
77,6,58,324.0000,359.0000,1.1080,5.7807,5.8833,0.1026
77,7,59,322.0000,359.0000,1.1149,5.7746,5.8833,0.1087
77,8,60,316.0000,357.0000,1.1297,5.7557,5.8777,0.1220
77,9,61,314.0000,357.0000,1.1369,5.7494,5.8777,0.1283
77,10,62,316.0000,357.0000,1.1297,5.7557,5.8777,0.1220
77,11,63,316.0000,357.0000,1.1297,5.7557,5.8777,0.1220
77,12,64,315.0000,357.0000,1.1333,5.7526,5.8777,0.1251
