% DATA-SETS FROM DIGGLE, P.J. (1990). TIME SERIES : A BIOSTATISTICAL
% INTRODUCTION. Oxford University Press. 
%
% Table: Table A6 Protein content of milk samples
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation diggle-Table_A6_Protein_content_of_milk_samples

@attribute col_1 REAL
@attribute col_2 REAL
@attribute col_3 REAL
@attribute col_4 REAL
@attribute col_5 REAL
@attribute col_6 REAL
@attribute col_7 REAL
@attribute col_8 REAL
@attribute col_9 REAL
@attribute col_10 REAL
@attribute col_11 REAL
@attribute col_12 REAL
@attribute col_13 REAL
@attribute col_14 REAL
@attribute col_15 REAL
@attribute col_16 REAL
@attribute col_17 REAL
@attribute col_18 REAL
@attribute col_19 REAL
@attribute col_20 {barley,lupins,mixed}

@data
3.63,3.57,3.47,3.65,3.89,3.73,3.77,3.90,3.78,3.82,3.83,3.71,4.10,4.02,4.13,4.08,4.22,4.44,4.30,barley
3.24,3.25,3.29,3.09,3.38,3.33,3.00,3.16,3.34,3.32,3.31,3.27,3.41,3.45,3.12,3.42,3.40,3.17,3.00,barley
3.98,3.60,3.43,3.30,3.29,3.25,2.93,3.20,3.27,3.22,2.93,2.92,2.82,2.64,0.00,0.00,0.00,0.00,0.00,barley
3.66,3.50,3.05,2.90,2.72,3.11,3.05,2.80,3.20,3.18,3.14,3.18,3.24,3.37,3.30,3.40,3.35,3.28,0.00,barley
4.34,3.76,3.68,3.51,3.45,3.53,3.60,3.77,3.90,3.87,3.61,3.85,3.94,3.87,3.60,3.06,3.47,3.50,3.42,barley
4.36,3.71,3.42,3.95,4.06,3.73,3.92,3.99,3.70,3.88,3.71,3.62,3.74,3.42,0.00,0.00,0.00,0.00,0.00,barley
4.17,3.60,3.52,3.10,3.78,3.42,3.66,3.64,3.83,3.73,3.72,3.65,3.50,3.32,2.95,3.34,3.51,3.17,0.00,barley
4.40,3.86,3.56,3.32,3.64,3.57,3.47,3.97,0.00,3.78,3.98,3.90,4.05,4.06,4.05,3.92,3.65,3.60,3.74,barley
3.40,3.42,3.51,3.39,3.35,3.13,3.21,3.50,3.55,3.28,3.75,3.55,3.53,3.52,3.77,3.77,3.74,4.00,3.87,barley
3.75,3.89,3.65,3.42,3.32,3.27,3.34,3.35,3.09,3.65,3.53,3.50,3.63,3.91,3.73,3.71,4.18,3.97,4.06,barley
4.20,3.59,3.55,3.27,3.19,3.60,3.50,3.55,3.60,3.75,3.75,3.75,3.89,3.87,3.60,3.68,3.68,3.56,3.34,barley
4.02,3.76,3.60,3.53,3.95,3.26,3.73,3.96,0.00,3.70,0.00,3.45,3.50,3.13,0.00,0.00,0.00,0.00,0.00,barley
4.02,3.90,3.73,3.55,3.71,3.40,3.49,3.74,3.61,3.42,3.46,3.40,3.38,3.13,0.00,0.00,0.00,0.00,0.00,barley
3.90,3.33,3.25,3.22,3.35,3.24,3.16,3.33,3.12,2.93,2.84,3.07,3.02,2.75,0.00,0.00,0.00,0.00,0.00,barley
