% The data are a subsample of 500 observations from a data set
% that originate in a study where air pollution at a road is
% related to traffic volume and meteorological variables,
% collected by the Norwegian Public Roads Administration. The
% response variable (column 1) consist of hourly values of the
% logarithm of the concentration of NO2 (particles), measured at
% Alnabru in Oslo, Norway, between October 2001 and August 2003.
% The predictor variables (columns 2 to 8) are the logarithm of
% the number of cars per hour, temperature $2$ meter above ground
% (degree C), wind speed (meters/second), the temperature
% difference between $25$ and $2$ meters above ground (degree C),
% wind direction (degrees between 0 and 360), hour of day and day
% number from October 1. 2001. Submitted by Magne Aldrin
% (magne.aldrin@nr.no). [28/Jul/04] (19kbytes)
%
% Note: description of data is from this website
%       http://lib.stat.cmu.edu/datasets/
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation no2

@attribute no2_concentration REAL
@attribute cars_per_hour REAL
@attribute temperature_at_2m REAL
@attribute wind_speed REAL
@attribute temperature_diff_2m_25m REAL
@attribute wind_direction REAL
@attribute hour_of_day INTEGER
@attribute day INTEGER

@data
3.71844,7.6912,9.2,4.8,-0.1,74.4,20,600
3.10009,7.69894,6.4,3.5,-0.3,56,14,196
3.31419,4.81218,-3.7,0.9,-0.1,281.3,4,513
4.38826,6.95177,-7.2,1.7,1.2,74,23,143
4.3464,7.51806,-1.3,2.6,-0.1,65,11,115
4.16044,7.67183,2.6,1.6,0.3,224.2,19,527
4.01277,5.52545,-7.9,1.6,0.3,211.9,5,502
2.15176,4.68213,-4.1,3.8,-0.1,63.1,4,453
3.157,7.15618,-12.7,5.2,-0.1,64.5,12,462
2.37955,4.74493,-1.6,3,0.4,58.3,3,554
3.83298,5.81114,-3.1,1.8,0.3,78,2,55
4.48187,8.10892,1,1.2,1.5,215,18,47
4.0483,8.31385,12.2,4,-2.8,230.4,17,572
4.00186,5.22036,-1.5,2.4,0.9,82.7,5,556
3.2308,6.40853,-0.9,3,0.1,235,1,69
4.67189,7.3192,-8.5,0.8,2.9,282.4,20,447
2.73437,6.6174,6.5,4.1,0,88,24,186
3.49651,7.76938,4.2,7.1,-1.1,9.3,10,550
3.67122,6.4677,-1.1,2.5,1,277,6,142
3.67377,7.65064,0.8,3.4,-0.4,70,12,167
3.15274,7.75061,8.2,4.5,0.2,307,14,32
3.42751,5.18178,0.2,0.4,0.2,230,5,112
4.32413,7.63964,-2.1,4.3,-0.2,41.4,11,432
3.65584,8.00703,-2.8,6,-0.2,62.5,15,453
3.93183,7.75319,-5.4,2.5,1.4,83,20,98
2.28238,4.65396,-5.7,4.9,-0.1,58.5,4,409
4.13035,6.67582,6.6,1.6,0.4,104.5,23,579
3.77963,7.79688,5.7,4.8,-1.5,223,11,178
3.97968,8.02224,13.8,0.8,-0.1,201.6,17,602
3.7542,7.48829,3.2,4.2,-0.6,285,12,121
3.45632,7.75148,2.1,4.9,0.2,149,19,60
2.36085,6.12468,5.3,3.2,0,73,1,209
4.23411,7.71244,7.5,1.8,-2.7,273.9,12,530
2.2192,7.56941,10.7,3.1,-0.9,56,13,189
4.53475,7.35947,-9.6,1.3,0.1,64.6,21,437
2.10413,7.99564,3.2,6.5,0,42.8,18,553
4.5819,8.30251,3.5,0.5,-2.2,207.9,8,535
4.03247,5.95584,6.7,1.1,0.6,89.9,5,605
3.21084,6.74052,-6.4,2.8,-0.1,77,22,84
4.04655,6.45205,-3,0.6,1.7,57,6,73
3.94546,6.39359,-13.4,4.4,-0.1,80,6,95
3.89182,7.16317,1.4,0.9,0.2,274,10,76
3.22287,7.643,8.5,4.3,-0.2,322,13,32
3.3569,5.93754,-2.8,2.1,-0.2,65,1,124
3.31782,7.61923,16.6,4.8,-1.1,136.9,14,595
3.81551,8.34854,2.7,7.7,0.1,219,17,159
3.45632,8.1274,19.1,5.1,-1.2,266.6,16,603
2.66723,6.83626,7.8,7.5,0.8,220,21,34
3.76815,5.27811,1.5,3.3,1.6,251,5,156
2.87356,5.68358,0.3,2.1,1.1,220.4,5,538
3.48431,7.76004,-7.3,0.5,-0.3,176,13,84
2.92852,6.30079,-1.6,2,0.1,289.1,7,510
3.32143,5.52146,1.1,1,0.2,9,5,113
4.35543,7.79811,16.1,1.7,-0.2,246.1,19,570
3.7329,6.14419,-7.9,1.2,0.3,56,11,86
2.70805,6.54965,1.1,2.8,0,66,24,59
