%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% April 14. 1999       
%
% This file contains two multivariate regression data sets from 
% paper industry. They have been described and analysed in
%
% Aldrin, M. (1996), "Moderate projection pursuit regression for 
% multivariate response data", Computational Statistics and Data Analysis, 
% 21, p. 501-531.
%
% A short description is given above each data set. A more detailed 
% description is found in Aldrin (1996).
%
% These data sets are delivered by
% Magne Aldrin,
% Norwegian Computing Center, P.O. Box 114 Blindern,N-0314 Oslo
% email: magne.aldrin@nr.no
% WWW:  http://www.nr.no/~aldrin/
%
% Permission is hereby given to Statlib to redistribute these data sets. 
% They can be freely distributed and used for non-commercial purposes.
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% Data set from an experiment at the paper plant Saugbruksforeningen, Norway.
% It were described and analysed in Aldrin (1996), but not published then.
%
% It consists of 30 observations (rows) and 41 variables (colums).
%
% Columns 1 to 32 are response variables that describes various qualities 
% of the paper.
%
% Columns 33 to 41 are 9 predictor variables. The first three predictor 
% variables  (x1 in column 33, x2 in column 34 and x3 in column 35) were 
% varied systematically through the experiment. The next three predictor 
% variables (columns 36 to 38) are constructed as x1**2, x2**2 and x3**2. 
% The last three predictor variables (columns 39 to 41) are constructed
% as x1*x2, x1*x3 and x2*x3. 
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation papir

@attribute response_1 REAL
@attribute response_2 REAL
@attribute response_3 REAL
@attribute response_4 REAL
@attribute response_5 REAL
@attribute response_6 REAL
@attribute response_7 REAL
@attribute response_8 REAL
@attribute response_9 REAL
@attribute response_10 REAL
@attribute response_11 REAL
@attribute response_12 REAL
@attribute response_13 REAL
@attribute response_14 REAL
@attribute response_15 REAL
@attribute response_16 REAL
@attribute response_17 REAL
@attribute response_18 REAL
@attribute response_19 REAL
@attribute response_20 REAL
@attribute response_21 REAL
@attribute response_22 REAL
@attribute response_23 REAL
@attribute response_24 REAL
@attribute response_25 REAL
@attribute response_26 REAL
@attribute response_27 REAL
@attribute response_28 REAL
@attribute response_29 REAL
@attribute response_30 REAL
@attribute response_31 REAL
@attribute response_32 REAL
@attribute x1 REAL
@attribute x2 REAL
@attribute x3 REAL
@attribute x1**2 REAL
@attribute x2**2 REAL
@attribute x3**2 REAL
@attribute x1*x2 REAL
@attribute x2*x3 REAL
@attribute x3*x2 REAL

@data
13.571,12.402,14.136,12.332,12.073,17.608,12.256,14.323,13.851,13.637,15.153,13.122,12.361,16.906,12.126,12.019,17.256,20.557,13.957,18.191,15.190,17.712,12.099,17.371,16.923,13.227,16.760,12.498,14.536,15.621,13.139,10.298,0.190,0.984,1.382,0.036,0.969,1.911,0.187,0.262,1.361
16.890,13.494,15.583,11.565,11.801,16.775,12.821,13.104,14.193,13.153,15.297,13.319,13.396,15.280,12.969,12.701,16.012,21.743,14.662,16.675,15.624,16.480,15.002,18.045,15.646,12.235,16.510,13.149,14.536,13.571,13.467,13.269,0.861,1.528,1.588,0.742,2.334,2.520,1.316,1.367,2.425
14.742,13.990,16.139,14.365,12.527,17.132,13.010,14.323,15.216,14.053,17.390,14.303,16.159,17.881,14.331,12.391,17.878,24.707,15.790,19.538,16.637,18.944,14.035,19.900,18.519,14.549,17.260,14.646,15.844,15.409,15.175,14.787,-0.102,0.432,0.151,0.010,0.187,0.023,-0.044,-0.015,0.065
14.449,13.990,16.028,13.191,13.435,15.823,12.821,14.730,15.148,14.191,16.235,13.975,14.363,16.987,14.396,13.568,18.655,22.533,17.905,19.538,17.071,18.944,13.914,20.912,17.162,15.475,17.010,13.995,16.207,15.338,14.847,14.589,0.015,0.114,-0.055,0.000,0.013,0.003,0.002,-0.001,-0.006
15.816,14.387,15.917,13.100,13.707,17.965,13.858,15.949,13.306,12.184,13.998,11.023,13.673,16.093,13.812,11.338,17.411,22.533,16.213,18.864,15.913,18.482,13.672,18.888,15.087,14.086,17.010,13.605,13.446,15.762,12.416,13.071,0.277,-1.215,1.588,0.077,1.476,2.520,-0.337,0.440,-1.929
14.352,13.692,17.141,13.281,13.435,17.727,14.047,15.339,14.397,12.184,14.576,12.860,14.018,17.231,12.515,12.453,18.188,24.114,15.931,19.370,17.071,18.020,14.760,19.732,16.603,12.301,16.843,11.977,15.117,13.642,12.219,14.589,0.686,-1.266,1.245,0.471,1.603,1.551,-0.868,0.854,-1.577
15.230,14.684,16.362,14.365,15.159,18.560,14.613,16.355,13.920,13.430,15.297,13.450,14.778,18.775,14.331,12.887,18.033,23.521,16.636,19.875,17.215,17.866,13.914,19.900,15.406,12.896,16.760,12.824,14.899,13.712,13.205,13.929,0.598,0.063,0.219,0.358,0.004,0.048,0.038,0.131,0.014
14.742,16.073,16.362,12.739,13.707,18.441,15.744,15.441,13.442,13.499,14.720,12.925,13.535,17.231,13.877,12.267,19.743,23.917,16.354,19.538,17.071,18.944,14.156,19.394,15.965,14.946,15.676,13.800,14.681,16.822,13.270,13.269,0.248,0.347,0.219,0.062,0.121,0.048,0.086,0.054,0.076
14.742,14.387,16.362,12.829,12.799,17.965,14.330,14.425,14.943,13.845,14.648,12.729,14.639,18.044,13.488,13.320,17.411,20.952,15.508,18.696,15.479,16.942,14.277,20.406,17.482,14.020,15.426,13.800,14.245,14.490,13.073,12.477,-1.766,1.549,0.287,3.119,2.399,0.083,-2.736,-0.508,0.445
14.840,14.784,17.364,12.107,13.707,18.322,12.916,14.526,12.896,13.914,14.070,14.762,14.156,17.312,12.321,12.515,18.188,22.336,17.059,19.875,16.926,18.636,14.639,18.551,15.566,14.086,16.676,13.475,14.972,14.560,12.876,14.325,-0.920,1.388,0.151,0.845,1.926,0.023,-1.276,-0.138,0.209
