% This file contains data from Regression Analysis By Example, 2nd Edition,
% by Samprit Chatterjee and Bertram Price, John Wiley, 1991.
% Data sets have names of the form 'rabe.xxx' where xxx is the page number
% in the book where the data occurs.
% 
% For additional information, Samprit Chatterjee can be reached using
% "schatter@stern.nyu.edu".
%
% File: ../data/rabe/rabe.265
%
% Note: there were no information about the columns in the data set,
%       hence automatically generated names
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation rabe-265

@attribute col_1 REAL
@attribute col_2 REAL
@attribute col_3 REAL
@attribute col_4 REAL
@attribute col_5 REAL
@attribute col_6 REAL
@attribute col_7 REAL

@data
27.000,41.300,2948.0,26.200,51.700,42.700,89.800
22.900,66.700,4644.0,3.0000,45.700,41.800,121.30
26.300,58.100,3665.0,3.0000,50.800,38.500,115.20
29.100,39.900,2878.0,18.300,51.500,38.800,100.30
28.100,62.600,4493.0,7.0000,50.800,39.700,123.00
26.200,63.900,3855.0,3.0000,50.700,31.100,124.80
29.100,56.000,4917.0,6.0000,51.500,45.500,120.00
26.800,54.600,4524.0,14.300,51.300,41.300,155.00
28.400,55.200,5079.0,71.100,53.500,32.600,200.40
32.300,52.600,3738.0,15.300,51.800,43.800,123.60
25.900,40.600,3354.0,25.900,51.400,35.800,109.90
25.000,61.900,4623.0,1.0000,48.000,36.700,82.100
26.400,59.500,3290.0,0.3000,50.100,33.600,102.40
28.600,52.600,4507.0,12.800,51.500,41.400,124.80
27.200,52.900,3772.0,6.9000,51.300,32.200,134.60
28.800,59.000,3751.0,1.2000,51.400,38.500,108.50
28.700,59.900,3853.0,4.8000,51.000,38.900,114.00
27.500,38.500,3112.0,7.2000,50.900,30.100,155.80
24.800,42.200,3090.0,29.800,51.400,39.300,115.90
28.600,54.700,3302.0,0.3000,51.300,38.800,128.50
27.100,52.300,4309.0,17.800,51.100,34.200,123.50
29.000,58.500,4340.0,3.1000,52.200,41.000,124.30
26.300,52.800,4180.0,11.200,51.000,39.200,128.60
26.800,57.600,3859.0,0.9000,51.000,40.100,104.30
25.100,41.000,2626.0,36.800,51.600,37.500,93.400
29.400,48.800,3781.0,10.300,51.800,36.800,121.30
27.100,59.200,3500.0,0.3000,50.000,34.700,111.20
28.600,59.300,3789.0,2.7000,51.200,34.700,108.10
27.800,65.200,4563.0,5.7000,49.300,44.000,189.50
28.000,57.600,3737.0,0.3000,51.100,34.100,265.70
30.100,52.500,4701.0,10.800,51.600,41.700,120.70
23.900,55.200,3077.0,1.9000,50.700,41.700,90.000
30.300,52.700,4712.0,11.900,52.200,41.700,119.00
26.500,38.500,3252.0,22.200,51.000,29.400,172.40
26.400,50.300,3086.0,0.4000,49.500,38.900,93.800
27.700,53.200,4020.0,9.1000,51.500,38.100,121.60
29.400,51.600,3387.0,6.7000,51.300,39.800,108.40
29.000,60.000,3719.0,1.3000,51.000,29.000,157.00
30.700,50.200,3971.0,8.0000,52.000,44.700,107.30
29.200,46.400,3959.0,2.7000,50.900,40.200,123.90
24.800,37.800,2990.0,30.500,50.900,34.300,103.60
27.400,53.300,3123.0,0.3000,50.300,38.500,92.700
28.100,41.800,3119.0,15.800,51.600,41.600,99.800
26.400,47.400,3606.0,12.500,51.000,42.000,106.40
23.100,67.300,3227.0,0.6000,50.600,36.600,65.500
26.800,57.100,3468.0,0.2000,51.100,39.500,122.60
26.800,47.800,3712.0,18.500,50.600,30.200,124.30
27.500,63.500,4053.0,2.1000,50.300,40.300,96.700
30.000,41.600,3061.0,3.9000,51.600,41.600,114.50
27.200,54.500,3812.0,2.9000,50.900,40.200,106.40
27.200,62.900,3815.0,0.8000,50.000,34.400,132.20
