% Data Sets for 'Regression Models for Time Series Analysis' by
% B. Kedem and K. Fokianos, Wiley 2002. Submitted by Kostas
% Fokianos (fokianos@ucy.ac.cy) [8/Nov/02] (176k)
%
% Note: - attribute names were generated manually
%       - information about data taken from here:
%         http://lib.stat.cmu.edu/datasets/
%
% File: ../data/rmftsa/mtwashnh6597.txt2
%
% Rainfall Data:
% MaxT= Maximum temperature
% Hdeg= Heating degress
% Pcpn=Precipitation
% Date        MaxT   MinT  AveT   HDeg  Pcpn  Snow  On Gnd  Mx Wnd   
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation rmftsa-mtwashnh6597

@attribute Date Date M/d/yyyy
@attribute MaxT INTEGER
@attribute MinT INTEGER
@attribute AveT INTEGER
@attribute HDeg INTEGER
@attribute Pcpn REAL
@attribute Snow REAL
@attribute On_Gnd INTEGER
@attribute Mx {E,ENE,N,NE,NNW,NW,S,SE,SSE,SW,W}
@attribute Wnd INTEGER

@data
1/01/1965,6,-10,-1,66,0.00,0.0,0,?,?
1/02/1965,16,0,8,57,0.00,0.0,1,?,?
1/03/1965,7,-9,0,65,0.33,1.4,1,?,?
1/04/1965,10,-7,2,63,0.00,0.0,1,?,?
1/05/1965,12,-1,6,59,0.03,0.4,1,?,?
1/06/1965,12,-7,3,62,0.14,0.8,1,?,?
1/07/1965,19,-10,5,60,0.07,0.3,1,?,?
1/08/1965,32,11,22,43,0.21,1.1,1,?,?
1/09/1965,36,-3,17,48,0.60,0.0,2,?,?
1/10/1965,7,-6,1,64,0.00,0.0,1,?,?
1/11/1965,9,0,5,60,0.02,0.2,0,?,?
1/12/1965,12,4,8,57,0.00,0.0,0,?,?
1/13/1965,14,5,10,55,0.14,1.3,0,?,?
1/14/1965,14,-38,-11,76,0.34,2.6,0,?,?
1/15/1965,-8,-33,-20,85,0.00,0.0,0,?,?
1/16/1965,11,-12,0,65,0.10,1.1,0,?,?
1/17/1965,7,-3,2,63,0.03,0.3,2,?,?
1/18/1965,7,-8,0,65,0.00,0.0,2,?,?
1/19/1965,-2,-14,-7,72,0.00,0.0,0,?,?
1/20/1965,6,-7,0,65,0.47,4.4,0,?,?
1/21/1965,14,-16,0,65,0.00,0.0,0,?,?
1/22/1965,18,-11,4,61,0.08,0.7,0,?,?
1/23/1965,9,-9,0,65,0.00,0.0,0,?,?
1/24/1965,15,2,9,56,0.54,4.9,0,?,?
1/25/1965,20,6,13,52,0.31,3.6,1,?,?
1/26/1965,17,6,12,53,0.62,3.7,1,?,?
1/27/1965,19,-5,7,58,0.28,2.5,1,?,?
1/28/1965,1,-15,-6,71,0.20,2.0,1,?,?
1/29/1965,-13,-23,-17,82,0.04,0.4,1,?,?
1/30/1965,-8,-24,-15,80,0.00,0.0,1,?,?
1/31/1965,5,-10,-2,67,0.00,0.0,1,?,?
2/01/1965,8,-3,3,62,0.09,0.5,0,?,?
2/02/1965,2,-12,-4,69,0.05,0.5,1,?,?
