% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case0301.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case0301

@attribute rain REAL
@attribute code {1,2}

@data
1202.6,1
830.1,1
372.4,1
345.5,1
321.2,1
244.3,1
163.0,1
147.8,1
95.0,1
87.0,1
81.2,1
68.5,1
47.3,1
41.1,1
36.6,1
29.0,1
28.6,1
26.3,1
26.1,1
24.4,1
21.7,1
17.3,1
11.5,1
4.9,1
4.9,1
1.0,1
2745.6,2
1697.8,2
1656.0,2
978.0,2
703.4,2
489.1,2
430.0,2
334.1,2
302.8,2
274.7,2
274.7,2
255.0,2
242.5,2
200.7,2
198.6,2
129.6,2
119.0,2
118.3,2
115.3,2
92.4,2
40.6,2
32.7,2
31.4,2
17.5,2
7.7,2
4.1,2
