% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case0502.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case0502

@attribute percent REAL
@attribute code {1,2,3,4,5,6,7}

@data
6.4,1
8.7,1
13.3,1
13.6,1
15.0,1
15.2,1
17.7,1
18.6,1
23.1,1
16.8,2
30.8,2
33.6,2
40.5,2
48.9,2
27.0,3
28.9,3
32.0,3
32.7,3
35.5,3
45.6,3
21.0,4
23.4,4
27.5,4
27.5,4
30.5,4
31.9,4
32.5,4
33.8,4
33.8,4
24.3,5
29.7,5
17.7,6
19.7,6
21.5,6
27.9,6
34.8,6
40.2,6
16.5,7
20.7,7
23.5,7
26.4,7
26.7,7
29.5,7
29.8,7
31.9,7
36.2,7
