% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case0601.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case0601

@attribute score REAL
@attribute code {1,2,3,4,5}

@data
1.9,1
2.5,1
3.0,1
3.6,1
4.1,1
4.2,1
4.9,1
5.1,1
5.4,1
5.9,1
6.1,1
6.7,1
7.4,1
7.8,1
1.9,2
2.5,2
2.6,2
3.2,2
3.6,2
3.8,2
4.0,2
4.6,2
5.3,2
5.5,2
5.8,2
5.9,2
6.1,2
7.2,2
3.7,3
4.0,3
4.3,3
4.3,3
5.1,3
5.8,3
6.0,3
6.2,3
6.3,3
6.4,3
7.4,3
7.4,3
7.5,3
8.5,3
1.4,4
2.1,4
2.4,4
2.9,4
3.4,4
3.7,4
3.9,4
4.2,4
4.3,4
4.7,4
5.5,4
5.8,4
5.9,4
6.5,4
1.7,5
2.8,5
3.5,5
4.7,5
4.8,5
5.0,5
5.3,5
6.1,5
6.1,5
6.2,5
6.4,5
7.2,5
7.4,5
7.6,5
