% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case1701.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case1701

@attribute L1 INTEGER
@attribute L2 INTEGER
@attribute L3 INTEGER
@attribute L4 INTEGER
@attribute L5 INTEGER
@attribute L6 INTEGER
@attribute L7 INTEGER
@attribute L8 INTEGER
@attribute L9 INTEGER
@attribute L10 INTEGER
@attribute L11 INTEGER
@attribute current {0,250,500}
@attribute configur {0,1}
@attribute material {1,2,3,4}

@data
136,142,139,131,122,118,134,138,148,149,171,0,0,1
639,723,782,756,804,804,909,962,1042,1058,1022,250,0,1
673,709,709,719,682,681,759,912,1122,1121,900,500,0,1
471,501,521,519,528,521,540,523,548,525,513,0,1,2
578,617,650,625,632,634,677,695,733,735,747,250,1,2
120,124,110,110,101,104,126,140,158,164,182,500,1,2
542,578,583,598,587,618,654,696,737,726,752,0,0,3
597,632,631,655,659,699,792,890,972,960,953,250,0,3
615,641,634,649,648,699,809,892,975,974,968,500,0,3
487,486,485,489,488,487,491,490,500,483,471,0,1,4
113,127,124,116,107,110,131,143,161,163,171,250,1,4
563,579,586,613,635,689,806,907,1013,1025,973,500,1,4
436,456,455,465,469,468,472,471,486,464,457,0,1,1
492,527,546,565,583,602,658,692,748,756,744,250,1,1
109,119,113,101,94,100,122,136,155,160,178,500,1,1
589,589,568,584,589,626,652,663,699,710,726,0,0,2
623,624,608,630,657,710,795,865,960,971,961,250,0,2
492,497,482,487,487,497,492,492,492,482,471,500,0,2
452,462,466,481,485,484,493,487,496,479,473,0,1,3
665,670,670,681,681,702,791,864,954,980,969,250,1,3
147,151,143,130,120,123,145,160,179,187,209,500,1,3
466,471,466,477,487,482,482,477,487,482,471,0,0,4
568,600,601,612,617,618,661,687,735,752,773,250,0,4
581,613,607,628,639,628,692,723,792,803,803,0,1,1
634,701,706,721,742,736,846,924,1038,1048,1001,500,1,1
684,694,694,710,821,1236,963,857,936,952,921,0,0,2
112,120,115,106,96,99,121,138,156,162,179,250,0,2
608,623,634,655,665,712,802,933,1048,1027,995,500,0,2
477,466,471,482,487,482,482,487,492,477,461,0,1,3
545,561,572,599,604,615,658,721,774,764,770,250,1,3
584,588,582,612,611,621,667,697,733,732,752,500,1,3
100,118,115,109,101,106,130,145,162,164,172,0,0,4
573,584,605,626,652,642,684,694,721,705,721,500,0,4
589,603,627,656,681,689,782,869,967,970,936,0,0,1
521,551,571,596,616,647,772,861,981,964,963,250,0,1
447,446,445,465,469,457,472,476,481,464,463,500,0,1
494,478,472,493,492,481,491,491,490,463,473,0,1,2
99,112,109,102,94,99,122,137,153,157,168,250,1,2
587,617,616,631,640,676,769,878,987,986,980,500,1,2
471,471,465,480,480,484,489,489,488,472,471,0,0,3
542,562,561,581,585,610,651,692,728,722,747,250,0,3
545,545,545,566,587,592,618,649,697,686,702,0,1,4
692,687,703,720,747,768,843,891,992,1014,982,250,1,4
655,696,679,694,734,864,837,847,924,923,964,500,1,4
