% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case2002.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case2002

@attribute FM {0,1}
@attribute LC {0,1}
@attribute BK {0,1}
@attribute SS {0,1}
@attribute AG INTEGER
@attribute YR INTEGER
@attribute CD INTEGER

@data
0,1,1,0,59,39,20
0,0,0,0,61,42,12
0,0,1,0,59,36,15
1,1,1,0,60,38,15
1,0,1,0,60,36,25
1,0,0,0,60,0,0
0,1,1,0,63,41,10
0,0,0,0,64,45,20
0,0,0,0,63,22,20
0,1,1,0,64,42,20
0,0,1,0,63,0,0
0,0,1,0,64,40,20
1,1,1,0,61,0,0
1,0,0,0,61,0,0
1,0,1,0,62,20,10
1,1,1,0,47,25,25
1,0,0,1,47,0,0
1,0,1,0,46,0,0
0,1,0,0,56,36,25
0,0,0,0,55,41,30
0,0,0,0,55,18,10
0,1,0,0,63,45,20
0,0,0,0,63,22,15
0,0,0,0,63,20,15
1,1,0,0,64,40,25
1,0,0,1,64,0,0
1,0,0,0,65,7,2
0,1,1,1,64,13,20
0,0,0,0,64,41,6
0,0,0,1,64,39,20
0,1,0,1,51,24,15
0,0,0,1,51,5,4
0,0,0,1,51,17,10
0,1,0,1,58,42,30
0,0,0,0,58,15,40
0,0,1,0,59,35,20
0,1,1,0,56,36,20
0,0,0,0,58,39,20
0,0,1,0,55,39,15
0,1,1,0,66,50,25
0,0,0,0,65,46,20
0,0,0,1,67,0,0
0,1,1,0,46,24,15
0,0,0,1,46,24,20
0,0,1,0,47,28,40
1,1,1,0,54,33,6
1,0,0,1,55,24,15
1,0,1,0,53,9,10
0,1,0,1,65,45,10
0,0,0,1,66,42,18
0,0,1,0,64,46,20
1,1,0,0,63,29,20
1,0,1,1,62,0,0
1,0,0,1,63,0,0
0,1,1,0,37,19,12
0,0,0,0,37,16,2
0,0,1,0,38,20,20
0,1,0,0,61,28,15
0,0,0,1,60,0,0
0,0,0,1,60,34,1
0,1,0,0,62,43,20
0,0,1,0,62,38,20
0,0,0,0,62,44,30
1,1,1,0,50,28,20
1,0,0,0,51,23,12
1,0,1,0,50,0,0
0,1,0,0,64,32,3
0,0,1,1,63,0,0
0,0,0,1,63,41,20
0,1,0,0,53,33,20
0,0,0,1,53,29,10
0,0,0,0,53,19,15
0,1,1,1,62,39,20
0,0,0,0,61,43,20
0,0,0,0,62,28,18
0,1,1,0,64,44,15
0,0,0,0,65,34,10
0,0,0,1,63,42,10
1,1,1,0,58,37,20
1,0,0,0,64,39,20
1,0,1,0,58,34,15
0,1,1,1,65,43,30
0,0,0,1,65,30,20
0,0,0,1,65,47,45
1,1,1,0,49,23,20
1,0,1,0,49,0,0
1,0,0,0,49,27,20
0,1,0,1,56,26,25
0,0,1,0,56,22,25
0,0,1,0,56,36,20
0,1,1,0,62,40,15
0,0,0,1,62,14,30
0,0,0,1,62,0,0
0,1,1,0,57,39,25
0,0,0,0,57,35,15
0,0,1,0,57,24,8
0,1,1,0,56,33,10
0,0,0,0,56,32,30
0,0,0,0,57,24,15
0,1,0,0,56,35,40
0,0,0,1,56,19,5
0,0,0,0,56,39,25
0,1,1,0,64,42,20
0,0,1,0,64,40,10
0,0,0,1,64,39,25
0,1,1,0,60,38,15
0,0,1,1,60,25,15
0,0,0,1,59,41,12
0,1,1,1,63,41,40
0,0,0,0,64,44,20
0,0,1,0,66,38,25
1,1,1,0,44,22,15
1,0,0,0,43,21,20
1,0,1,0,45,0,0
1,1,1,0,49,27,20
1,0,0,0,49,25,15
1,0,1,0,49,25,15
0,1,1,0,41,22,15
0,0,1,1,42,21,8
0,0,0,1,40,13,25
0,1,0,0,58,35,25
0,0,0,0,58,22,10
0,0,0,0,59,37,15
0,1,1,0,66,47,10
0,0,0,0,66,0,0
0,0,0,0,65,44,6
0,1,0,0,58,38,20
0,0,0,0,58,38,20
0,0,0,0,59,34,20
0,1,1,1,59,40,15
0,0,1,1,60,39,12
0,0,0,1,59,7,1
1,1,1,0,46,24,15
1,0,1,0,46,24,4
1,0,1,1,46,16,5
0,1,1,1,64,47,16
0,0,0,0,64,36,15
0,0,0,1,63,43,20
0,1,1,0,49,31,20
0,0,1,0,49,15,10
0,0,1,0,49,28,10
0,1,1,1,52,31,20
0,0,1,0,52,28,25
0,0,1,1,52,30,37
0,1,0,1,43,19,15
0,0,0,0,43,25,25
0,0,0,1,42,17,15
