% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex0222.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex0222

@attribute choles INTEGER
@attribute code {1,2}

@data
133,1
134,1
155,1
170,1
175,1
179,1
181,1
184,1
188,1
189,1
190,1
196,1
197,1
199,1
200,1
200,1
201,1
201,1
204,1
205,1
205,1
205,1
206,1
214,1
217,1
222,1
222,1
227,1
227,1
228,1
234,1
234,1
236,1
239,1
241,1
242,1
244,1
249,1
252,1
273,1
279,1
284,1
284,1
284,1
330,1
95,2
108,2
108,2
114,2
115,2
124,2
129,2
129,2
131,2
131,2
135,2
136,2
136,2
139,2
140,2
142,2
142,2
143,2
143,2
144,2
144,2
145,2
145,2
148,2
152,2
152,2
155,2
157,2
158,2
158,2
162,2
165,2
166,2
171,2
172,2
173,2
174,2
175,2
180,2
181,2
189,2
192,2
194,2
197,2
204,2
220,2
223,2
226,2
231,2
