% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex0331.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex0331

@attribute size REAL
@attribute code {1,2}

@data
0.42,1
0.86,1
0.88,1
1.11,1
1.34,1
1.38,1
1.42,1
1.47,1
1.63,1
1.73,1
2.17,1
2.42,1
2.48,1
2.74,1
2.74,1
2.79,1
2.90,1
3.12,1
3.18,1
3.27,1
3.30,1
3.61,1
3.63,1
4.13,1
4.40,1
5.00,1
5.20,1
5.59,1
7.04,1
7.15,1
7.25,1
7.75,1
8.00,1
8.84,1
9.30,1
9.68,1
10.32,1
10.41,1
10.48,1
11.29,1
12.30,1
12.53,1
12.69,1
14.14,1
14.15,1
14.27,1
14.56,1
15.84,1
18.55,1
19.73,1
20.00,1
0.94,2
1.26,2
1.44,2
1.49,2
1.63,2
1.80,2
2.00,2
2.00,2
2.56,2
2.58,2
3.24,2
3.39,2
3.53,2
3.77,2
4.36,2
4.41,2
4.6,2
4.67,2
5.39,2
6.25,2
7.02,2
7.89,2
7.97,2
8.00,2
8.28,2
8.83,2
8.91,2
8.96,2
9.92,2
11.36,2
12.15,2
14.40,2
16.00,2
18.61,2
18.75,2
19.05,2
21.00,2
21.41,2
23.27,2
24.71,2
25.00,2
28.75,2
30.23,2
35.45,2
36.35,2
