% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex0431.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex0431

@attribute survival INTEGER
@attribute code {1,2}
@attribute censor {0,1}

@data
2,1,0
6,1,0
8,1,0
10,1,0
12,1,0
12,1,0
14,1,0
14,1,0
14,1,0
16,1,0
16,1,0
16,1,0
18,1,0
18,1,0
18,1,0
20,1,0
22,1,0
22,1,0
26,1,0
34,1,0
36,1,0
38,1,0
40,1,0
48,1,0
2,2,0
2,2,0
4,2,0
4,2,0
4,2,0
6,2,0
6,2,0
8,2,0
10,2,0
10,2,0
12,2,0
14,2,0
16,2,0
16,2,0
16,2,0
18,2,0
20,2,0
22,2,0
32,2,0
36,2,0
46,2,0
46,2,0
48,2,0
48,2,0
58,2,0
58,2,0
66,2,0
72,2,0
72,2,0
82,2,0
122,2,0
122,2,1
122,2,1
122,2,1
