% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex0728.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex0728

@attribute year INTEGER
@attribute height INTEGER
@attribute stories INTEGER

@data
1990,770,54
1980,677,47
1990,428,28
1989,410,38
1966,371,29
1976,504,38
1974,1136,80
1991,695,52
1982,551,45
1986,550,40
1931,568,49
1979,504,33
1988,560,50
1973,512,40
1981,448,31
1983,538,40
1968,410,27
1927,409,31
1969,504,35
1988,777,57
1987,496,31
1960,386,26
1984,530,39
1976,360,25
1920,355,23
1931,1250,102
1989,802,72
1907,741,57
1988,739,54
1990,650,56
1973,592,45
1983,577,42
1971,500,36
1969,469,30
1971,320,22
1988,441,31
1989,845,52
1973,435,29
1987,435,34
1931,375,20
1931,364,33
1924,340,18
1931,375,23
1991,450,30
1973,529,38
1976,412,31
1990,722,62
1983,574,48
1984,498,29
1986,493,40
1986,379,30
1992,579,42
1973,458,36
1988,454,33
1979,952,72
1972,784,57
1930,476,34
1978,453,46
1978,440,30
1977,428,21
