% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex1014.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex1014

@attribute copper REAL
@attribute zinc {0,375,750,1125,1500}
@attribute protein INTEGER

@data
0,0,201
0,375,186
0,750,173
0,1125,110
0,1500,115
37.5,0,202
37.5,375,161
37.5,750,172
37.5,1125,138
37.5,1500,133
75,0,204
75,375,165
75,750,148
75,1125,143
75,1500,123
112.5,0,188
112.5,375,172
112.5,750,157
112.5,1125,115
112.5,1500,108
150,0,133
150,375,125
150,750,184
150,1125,135
150,1500,114
