% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex1509.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex1509

@attribute year INTEGER
@attribute spots INTEGER

@data
1,89
2,70
3,47
4,41
5,17
6,11
7,11
8,17
9,45
10,46
11,62
12,72
13,72
14,53
15,49
16,26
17,18
18,19
19,50
20,78
21,112
22,94
23,80
24,53
25,39
26,11
27,11
28,41
29,139
30,142
31,107
32,80
33,51
34,31
35,14
36,12
37,46
38,108
39,138
40,127
41,109
42,76
43,63
44,55
45,41
46,33
47,20
48,10
49,5
50,7
51,6
52,24
53,41
54,43
55,45
56,48
57,35
58,20
59,7
60,7
61,0
62,0
63,3
64,7
65,15
66,20
67,48
68,43
69,36
70,24
71,23
72,11
73,6
74,1
75,6
76,10
77,23
78,47
79,60
80,61
81,71
82,62
83,41
84,14
85,7
86,24
87,93
88,139
89,126
90,82
91,82
92,50
93,29
94,19
95,12
96,28
97,47
98,65
99,123
100,121
101,78
102,67
103,60
104,45
105,30
106,16
107,3
108,9
109,36
110,76
111,95
112,91
113,68
114,55
115,43
116,41
117,24
118,7
119,17
120,57
121,106
122,135
123,98
124,92
125,52
126,33
127,13
128,13
129,7
130,2
131,16
132,44
133,62
134,55
135,74
136,55
137,41
138,14
139,11
140,5
141,6
142,17
143,56
144,77
145,87
146,71
147,53
148,35
149,26
150,20
151,11
152,5
153,3
154,11
155,33
156,51
157,62
158,60
159,51
160,51
161,33
162,13
163,3
164,3
165,4
166,24
167,59
168,69
169,98
170,78
171,51
172,31
173,23
174,7
175,8
176,24
177,61
178,72
179,69
180,68
181,57
182,28
183,15
184,9
185,5
186,15
187,57
188,101
189,110
190,103
191,76
192,58
193,48
194,21
195,9
196,19
197,56
198,126
199,145
200,139
