% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex1605.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex1605

@attribute FMED INTEGER
@attribute TMIQ INTEGER
@attribute Age2IQ INTEGER
@attribute Age4IQ INTEGER
@attribute Age8IQ INTEGER
@attribute Age13IQ INTEGER

@data
10,100,120,115,109,106
10,71,131,109,113,95
14,89,126,115,113,90
7,73,120,102,111,121
14,64,126,125,114,96
8,64,125,109,96,87
13,104,105,107,106,104
16,76,130,112,124,125
10,81,107,120,109,115
8,78,104,108,125,124
14,79,120,117,114,109
12,128,120,128,148,127
9,65,114,102,112,122
12,71,122,100,128,119
17,75,119,101,102,97
13,109,102,107,113,108
14,88,133,121,115,97
14,90,95,89,115,97
15,96,82,106,105,105
9,95,136,115,118,104
15,80,104,107,107,96
13,102,119,103,101,86
6,92,116,121,119,109
12,88,90,94,95,77
12,100,104,114,104,100
14,91,99,102,128,126
14,70,135,112,118,118
15,84,125,108,116,101
13,78,102,90,99,73
13,78,108,90,86,80
16,87,113,97,101,109
15,63,127,121,119,101
10,67,116,113,113,91
15,83,101,93,99,88
16,109,99,126,139,132
13,54,117,114,119,98
9,66,105,109,90,105
13,109,112,113,125,128
12,88,114,138,124,122
8,95,140,130,126,118
13,92,120,113,114,127
15,65,110,111,114,95
8,63,110,113,107,101
19,113,128,112,114,114
4,110,116,92,105,103
10,105,125,111,129,110
16,96,128,139,118,115
12,78,138,125,139,116
14,67,109,92,87,74
16,80,109,112,127,131
12,53,81,87,80,66
13,74,121,132,132,113
12,91,120,105,131,123
12,98,142,135,147,123
13,109,128,145,125,119
14,92,115,113,113,112
11,91,105,130,115,111
11,88,112,107,110,103
13,99,117,112,109,101
10,90,122,127,129,126
15,104,108,124,116,113
8,88,122,112,119,97
