% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex2012.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex2012

@attribute case {0,1}
@attribute ck REAL
@attribute h REAL

@data
0,52,83.5
0,20,77
0,28,86.5
0,30,104
0,40,83
0,24,78.8
0,15,87
0,22,91
0,42,65.5
0,130,80.3
0,47,53
0,34,92.7
0,40,104.6
0,59,88
0,42,77
0,26,84.5
0,65,75
0,34,86.3
0,37,73.3
0,73,57.4
0,35,71
0,31,61.5
0,62,81
0,48,79
0,40,82.5
0,55,85.5
0,32,73.8
0,26,79.3
0,25,91
0,30,76
0,27,90
0,72,80.5
0,51,70
0,67,98
0,50,69
0,55,78.2
0,38,82
0,27,100
0,34,84
0,35,59.4
0,35,90.3
0,31,75.5
0,52,77
0,34,75
0,53,93.2
0,69,66.7
0,24,89.5
0,21,108.5
0,51,82
0,24,82
0,22,102
0,32,79.2
0,24,70.4
0,20,72
0,34,91
0,25,92
0,26,109
0,56,72
0,51,91
0,18,95
0,28,104
0,41,105.5
0,40,81
0,21,74.5
0,95,69.8
0,40,72.7
0,48,76
0,39,88.5
0,30,82.7
0,38,85
0,27,87.2
0,74,80.4
0,34,80.5
0,28,82.5
0,37,93
0,97.5,34
0,37,98
0,30,80
0,37,98
0,24,100.5
0,41,78.5
0,30,90.5
1,167,89
1,104,81
1,30,108
1,65,87
1,440,107
1,58,88.2
1,129,93.1
1,265,83.5
1,285,79.5
1,124,92
1,53,76
1,657,104
1,168,82.5
1,286,109.5
1,73,105.5
1,19,100.5
1,113,97
1,57,105
1,78,118
1,69,111
1,48,98
1,109,81
1,925,81
1,59,93
1,363,91.3
1,37,84
1,101,77.5
1,99,93.2
1,560,106
1,85,94
1,197,91.5
1,154,103.5
1,80,90.5
1,28,104
1,57,88
1,326,98
1,100,101
1,115,79
