% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex2016.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex2016

@attribute sv {1,2}
@attribute ag {1,2}
@attribute tl INTEGER
@attribute ae INTEGER
@attribute wt REAL
@attribute bh REAL
@attribute hl REAL
@attribute fl REAL
@attribute tt REAL
@attribute sk REAL
@attribute kl REAL

@data
1,1,154,241,24.5,31.2,.687,.668,1.022,.587,.830
1,1,160,252,26.9,30.8,.736,.709,1.180,.602,.841
1,1,155,243,26.9,30.6,.733,.704,1.151,.602,.846
1,1,154,245,24.3,31.7,.741,.688,1.146,.584,.839
1,1,156,247,24.1,31.5,.715,.706,1.129,.575,.821
1,1,161,253,26.5,31.8,.780,.743,1.144,.607,.893
1,1,157,251,24.6,31.1,.741,.736,1.153,.610,.862
1,1,159,247,24.2,31.4,.728,.718,1.126,.609,.793
1,1,158,247,23.6,29.8,.703,.673,1.079,.602,.820
1,1,158,252,26.2,32.0,.749,.739,1.153,.614,.857
1,1,160,252,26.2,32.0,.741,.723,1.129,.624,.892
1,1,162,253,24.8,32.3,.766,.752,1.134,.633,.923
1,1,161,243,25.4,31.8,.721,.722,1.126,.597,.891
1,1,160,250,23.7,29.8,.730,.703,1.103,.590,.820
1,1,159,247,25.7,31.4,.729,.717,1.141,.592,.927
1,1,158,253,25.7,31.9,.743,.699,1.150,.600,.860
1,1,159,247,26.5,31.6,.733,.714,1.155,.611,.923
1,1,166,253,26.7,32.5,.767,.765,1.230,.600,.878
1,1,159,247,23.9,31.4,.752,.723,1.113,.602,.825
1,1,160,248,24.7,31.3,.752,.737,1.176,.603,.803
1,1,161,252,28.0,31.8,.770,.731,1.190,.590,.885
1,1,163,251,27.9,31.9,.769,.745,1.168,.622,.860
1,1,156,242,25.9,32.0,.723,.711,1.116,.609,.886
1,1,165,251,25.7,32.2,.751,.742,1.161,.613,.865
1,1,160,247,26.6,32.4,.728,.707,1.108,.590,.836
1,1,158,244,23.2,31.6,.730,.713,1.142,.585,.888
1,1,160,242,25.7,31.6,.709,.705,1.124,.620,.788
1,1,157,245,26.3,32.2,.741,.726,1.143,.595,.850
1,1,159,244,24.3,31.5,.723,.698,1.107,.615,.847
1,1,160,253,26.7,32.1,.739,.714,1.117,.592,.864
1,1,158,245,24.9,31.4,.726,.703,1.119,.580,.854
1,1,161,247,23.8,31.4,.735,.694,1.101,.602,.780
1,1,160,247,25.6,32.3,.756,.745,1.135,.607,.902
1,1,160,247,27.0,32.0,.755,.736,1.174,.631,.873
1,1,153,241,24.7,32.2,.728,.680,1.092,.592,.884
2,1,165,249,26.5,31.0,.738,.704,1.095,.606,.847
2,1,160,245,26.1,32.0,.736,.709,1.109,.611,.842
2,1,161,249,25.6,32.3,.743,.718,1.128,.602,.828
2,1,162,246,25.9,32.3,.738,.709,1.135,.607,.869
2,1,163,250,25.5,32.5,.752,.731,1.197,.623,.888
2,1,162,247,27.6,31.8,.731,.719,1.113,.597,.869
2,1,163,246,25.8,31.4,.689,.662,1.073,.604,.836
2,1,161,246,24.9,30.5,.739,.726,1.138,.580,.803
2,1,160,242,26.0,31.0,.745,.713,1.105,.600,.803
2,1,162,246,26.5,31.5,.720,.696,1.092,.606,.809
2,1,160,249,26.0,31.4,.726,.689,1.097,.602,.850
2,1,161,250,27.1,31.6,.737,.711,1.120,.631,.852
2,1,162,248,25.1,31.9,.744,.722,1.154,.591,.839
2,1,165,252,26.0,32.3,.726,.710,1.145,.609,.887
2,1,161,243,25.6,32.5,.709,.707,1.122,.607,.832
2,1,161,244,25.0,31.3,.702,.685,1.082,.595,.874
2,1,162,248,24.6,31.0,.713,.700,1.086,.590,.837
2,1,164,244,25.0,31.2,.703,.690,1.074,.608,.795
2,1,158,247,26.0,32.0,.729,.710,1.145,.607,.803
2,1,162,253,28.3,31.8,.752,.718,1.152,.600,.857
2,1,156,239,24.6,30.5,.659,.658,1.042,.570,.810
2,1,166,251,27.5,31.5,.720,.691,1.118,.612,.847
2,1,165,253,31.0,32.4,.765,.750,1.183,.613,.905
2,1,166,250,28.3,32.4,.754,.718,1.179,.607,.916
1,2,156,246,24.6,32.0,.744,.735,1.167,.592,.849
1,2,156,245,25.5,32.1,.761,.717,1.147,.620,.816
1,2,163,248,24.8,32.2,.742,.733,1.165,.606,.854
1,2,163,248,26.3,33.0,.736,.704,1.148,.609,.839
1,2,160,250,24.4,31.5,.746,.715,1.173,.604,.893
1,2,156,237,23.3,30.6,.692,.664,1.011,.588,.774
1,2,162,253,26.7,32.0,.759,.734,1.197,.630,.878
1,2,163,254,26.4,32.0,.766,.750,1.165,.605,.886
1,2,164,251,26.9,32.0,.755,.742,1.171,.620,.886
1,2,163,244,24.3,31.3,.718,.680,1.082,.610,.892
1,2,160,247,27.0,31.5,.764,.732,1.177,.617,.846
1,2,160,250,26.8,32.5,.764,.729,1.123,.635,.842
