%                      File README
%                      -----------
% 
% smoothmeth  A collection of the data sets used in the book "Smoothing
%             Methods in Statistics," by Jeffrey S. Simonoff,
%             Springer-Verlag, New York, 1996. Submitted by Jeff
%             Simonoff (jsimonoff@stern.nyu.edu).
% 
% 
% This submission consists of 37 files, plus this README file.
% Each file represents a data set analyzed in the book.
% The names of the files correspond to the names given in
% the book. The data files are written in plain ASCII (character)
% text. Missing values are represented by "M" in all data files.
% 
% Several of the files include an alphabetic (labeling) variable. It is
% likely that these files would have to be input into a package using fixed,
% rather than free, format. The relevant files, along with appropriate
% Fortran format statements, are as follows:
% 
%    adptvisa.dat: (f10.4,4x,f7.4,3x,a20)
% 
%    airaccid.dat: (i3,3x,a34)
% 
%    basesal.dat : (f8.1,4x,a17)
% 
%    baskball.dat: (f7.4,4x,f6.4,3x,i3,4x,f5.2,3x,i2,3x,a17)
% 
%    cars93.dat  : (f5.1,2x,i2,2x,i2,3x,f3.1,2x,i3,3x,f4.1,2x,i4,2x,a21)
% 
%    elusage.dat : (i4,3x,f7.3,2x,a7)
% 
%    hckshoot.dat: (f7.3,4x,i1,4x,a20)
% 
%    jantemp.dat : (i6,3x,a30)
% 
%    marathon.dat: (f10.2,4x,a27)
% 
%    newscirc.dat: (f8.2,3x,f7.2,2x,a25)
% 
%    racial.dat  : (f7.4,4x,a32)
% 
%    safewatr.dat: (i5,3x,i3,3x,a26)
% 
%    schlvote.dat: (i3,4x,f5.2,2x,i8,4x,f4.1,5x,f5.2,2x,i7,2x,a25)
% 
% Description of data sources, and further information about the data sets,
% can be found in the "Descriptions of the data sets" section of the book.
% Pointing a World Wide Web browser to the URL
% 
%             http://www.stern.nyu.edu/SOR/SmoothMeth
% 
% will provide access to a site devoted to the book.
% 
% NOTICE: These datasets may be used freely for scientific,
% educational and/or non-commercial purposes, provided suitable
% acknowledgment is given (by citing the reference above).
% 
%
% File: ../data/smoothmeth/cdrate.dat
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation smoothmeth-cdrate

@attribute col_1 REAL
@attribute col_2 {0,1}

@data
7.56,0
7.57,0
7.71,0
7.82,0
7.82,0
7.90,0
8.00,0
8.00,0
8.00,0
8.00,0
8.00,0
8.00,0
8.00,0
8.05,0
8.05,0
8.06,0
8.11,0
8.17,0
8.30,0
8.33,0
8.33,0
8.40,0
8.50,0
8.51,0
8.55,0
8.57,0
8.65,0
8.65,0
8.71,0
7.51,1
7.75,1
7.90,1
8.00,1
8.00,1
8.00,1
8.15,1
8.20,1
8.25,1
8.25,1
8.30,1
8.30,1
8.33,1
8.34,1
8.35,1
8.35,1
8.36,1
8.40,1
8.40,1
8.40,1
8.40,1
8.40,1
8.40,1
8.45,1
8.49,1
8.49,1
8.49,1
8.50,1
8.50,1
8.50,1
8.50,1
8.50,1
8.50,1
8.50,1
8.50,1
8.50,1
8.52,1
8.70,1
8.75,1
8.78,1
