%                      File README
%                      -----------
% 
% smoothmeth  A collection of the data sets used in the book "Smoothing
%             Methods in Statistics," by Jeffrey S. Simonoff,
%             Springer-Verlag, New York, 1996. Submitted by Jeff
%             Simonoff (jsimonoff@stern.nyu.edu).
% 
% 
% This submission consists of 37 files, plus this README file.
% Each file represents a data set analyzed in the book.
% The names of the files correspond to the names given in
% the book. The data files are written in plain ASCII (character)
% text. Missing values are represented by "M" in all data files.
% 
% Several of the files include an alphabetic (labeling) variable. It is
% likely that these files would have to be input into a package using fixed,
% rather than free, format. The relevant files, along with appropriate
% Fortran format statements, are as follows:
% 
%    adptvisa.dat: (f10.4,4x,f7.4,3x,a20)
% 
%    airaccid.dat: (i3,3x,a34)
% 
%    basesal.dat : (f8.1,4x,a17)
% 
%    baskball.dat: (f7.4,4x,f6.4,3x,i3,4x,f5.2,3x,i2,3x,a17)
% 
%    cars93.dat  : (f5.1,2x,i2,2x,i2,3x,f3.1,2x,i3,3x,f4.1,2x,i4,2x,a21)
% 
%    elusage.dat : (i4,3x,f7.3,2x,a7)
% 
%    hckshoot.dat: (f7.3,4x,i1,4x,a20)
% 
%    jantemp.dat : (i6,3x,a30)
% 
%    marathon.dat: (f10.2,4x,a27)
% 
%    newscirc.dat: (f8.2,3x,f7.2,2x,a25)
% 
%    racial.dat  : (f7.4,4x,a32)
% 
%    safewatr.dat: (i5,3x,i3,3x,a26)
% 
%    schlvote.dat: (i3,4x,f5.2,2x,i8,4x,f4.1,5x,f5.2,2x,i7,2x,a25)
% 
% Description of data sources, and further information about the data sets,
% can be found in the "Descriptions of the data sets" section of the book.
% Pointing a World Wide Web browser to the URL
% 
%             http://www.stern.nyu.edu/SOR/SmoothMeth
% 
% will provide access to a site devoted to the book.
% 
% NOTICE: These datasets may be used freely for scientific,
% educational and/or non-commercial purposes, provided suitable
% acknowledgment is given (by citing the reference above).
% 
%
% File: ../data/smoothmeth/hckshoot.dat
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation smoothmeth-hckshoot

@attribute col_1 REAL
@attribute col_2 {0,1}
@attribute col_3 {Adam_Burt,Adam_Creighton,Adam_Graves,Adam_Oates,Al_Iafrate,Al_Macinnis,Alan_May,Alexander_Mogilny,Alexei_Gusarov,Alexei_Kasatanov,Andrew_Cassels,Benoit_Hogue,Bob_Bassen,Bob_Carpenter,Bob_Errey,Bob_Kudelski,Bob_McGill,Bob_Probert,Bob_Rouse,Bob_Sweeney,Bobby_Holik,Bobby_Smith,Brad_May,Brad_McCrimmon,Brad_Shaw,Brendan_Shanahan,Brent_Ashton,Brent_Fedyk,Brent_Gilchrist,Brent_Sutter,Brett_Hull,Brian_Bellows,Brian_Benning,Brian_Glynn,Brian_Leetch,Brian_Mullen,Brian_Noonan,Bruce_Driver,Bryan_Trottier,Calle_Johansson,Chris_Chelios,Chris_Dahlquist,Christian_Ruuttu,Claude_Lapointe,Claude_Lemieux,Claude_Loiselle,Claude_Vigrain,Cliff_Ronning,Craig_Berube,Craig_Janney,Craig_Ludwig,Craig_MacTavish,Craig_Simpson,Craig_Wolanin,Dale_Hawerchuk,Dale_Hunter,Dan_Quinn,Dana_Murzyn,Daniel_Marois,Darren_Turcotte,Darrin_Shannon,Dave_Andreychuk,Dave_Babych,Dave_Brown,Dave_Christian,Dave_Ellett,Dave_Gagner,Dave_Lowry,Dave_Manson,Dave_McLlwain,Dave_Snuggerud,Dave_Taylor,Dave_Volek,David_Bruce,David_Maley,Dean_Evason,Denis_Savard,Derek_King,Dimitri_Khristich,Dino_Ciccarelli,Dirk_Graham,Don_Sweeney,Donald_Audette,Doug_Bodger,Doug_Brown,Doug_Gilmour,Doug_Lidster,Ed_Olczyk,Eric_Desjardins,Eric_Weinrich,Frank_Musil,Frantisek_Kucera,Fredrik_Olausson,Gaetan_Duchesne,Garry_Valk,Garth_Butcher,Gary_Galley,Gary_Leeman,Gary_Roberts,Gary_Suter,Geoff_Courtnall,Geoff_Sanderson,Geoff_Smith,Gerald_Diduck,Gerard_Gallant,Gino_Cavallini,Gino_Odjick,Glen_Wesley,Glenn_Anderson,Gord_Donnelly,Gordie_Roberts,Gordon_Murphy,Greg_Adams,Greg_Paslawski,Guy_Carbonneau,Herb_Raglan,Igor_Larionov,J.J._Daigneault,James_Patrick,Jamie_Macoun,Jari_Kurri,Jaromir_Jagr,Jay_Miller,Jeff_Beukeboom,Jeff_Brown,Jeff_Odgers,Jeremy_Roenick,Jim_Johnson,Jim_McKenzie,Jim_Sandlak,Jimmy_Carson,Jocelyn_Lemieux,Joe_Cirella,Joe_Mullen,Joe_Murphy,Joe_Nieuwendyk,Joe_Sakic,Joel_Otto,John_Cullen,John_Druce,John_McIntyre,Jyrki_Lumme,Kelly_Buchberger,Kelly_Miller,Ken_Daneyko,Ken_Sutton,Kerry_Huffman,Kevin_Dineen,Kevin_Haller,Kevin_Hatcher,Kevin_Miller,Kevin_Stevens,Kevin_Todd,Kirk_Muller,Kjell_Samuelsson,Kris_King,Larry_Murphy,Laurie_Boschman,Luc_Robitaille,Lucien_DeBlois,Luke_Richardson,Lyle_Odelein,Marc_Bergevin,Mario_Lemieux,Mark_Hunter,Mark_Messier,Mark_Recchi,Mark_Tinordi,Martin_Gelinas,Marty_McSorley,Mats_Sundin,Matt_Schneider,Michal_Pivonka,Michel_Goulet,Michel_Petit,Mikael_Andersson,Mike_Bullard,Mike_Craig,Mike_Donnelly,Mike_Eagles,Mike_Gartner,Mike_Hartman,Mike_Hough,Mike_Hudson,Mike_Keane,Mike_Krushelnyski,Mike_Lalor,Mike_McPhee,Mike_Modano,Mike_Peluso,Mike_Ramsey,Mike_Ricci,Mike_Ridley,Mike_Sullivan,Mikhail_Tatarinov,Murray_Baron,Murray_Craven,Neal_Broten,Neil_Wilkinson,Nelson_Emerson,Nick_Kypreos,Nicklas_Lidstrom,Owen_Nolan,Pat_Elynuik,Pat_Falloon,Pat_Verbeek,Paul_Broten,Paul_Cavallini,Paul_Coffey,Paul_Fenton,Paul_MacDermid,Paul_Ranheim,Paul_Ysebart,Pavel_Bure,Perry_Berezan,Peter_Ahola,Peter_Bondra,Peter_Nedved,Peter_Stastny,Peter_Zezel,Petr_Svoboda,Phil_Housley,Pierre_Turgeon,Randy_Burridge,Randy_Carlyle,Randy_Gilhen,Randy_Ladouceur,Randy_McKay,Randy_Wood,Ray_Bourque,Ray_Ferraro,Ray_Sheppard,Rich_Sutter,Richard_Pilon,Rick_Tocchet,Rick_Zombo,Rob_Brown,Rob_Ray,Rob_Zettler,Robert_Dirk,Robert_Reichel,Rod_BrindAmour,Ron_Francis,Ron_Sutter,Ron_Wilson,Ronnie_Stern,Ryan_Walter,Scott_Mellanby,Scott_Stevens,Sergei_Fedorov,Sergei_Makarov,Sergei_Nemchinov,Shawn_Burr,Shayne_Corson,Stephan_Lebeau,Stephane_Quintal,Stephane_Richer,Stephen_Leach,Steve_Chiasson,Steve_Duchesne,Steve_Konroyd,Steve_Larmer,Steve_Smith,Steve_Thomas,Steve_Yzerman,Steven_Finn,Sylvain_Cote,Sylvain_Lefbvre,Teppo_Numminen,Terry_Carkner,Theoren_Fleury,Todd_Elik,Todd_Gill,Todd_Krygier,Tom_Chorske,Tom_Kurvers,Tony_Amonte,Tony_Granato,Tony_Tanti,Trevor_Linden,Troy_Loney,Troy_Murray,Ulf_Dahlen,Ulf_Samuelsson,Uwe_Krupp,Vincent_Damphousse,Vlacheslav_Fetisov,Vladimir_Konstantino,Vladimir_Ruzicka,Wayne_Gretzky,Yves_Racine,Zarley_Zalapski}

@data
0.105,1,Adam_Oates
0.063,0,Ray_Bourque
0.171,1,Vladimir_Ruzicka
0.128,1,Stephen_Leach
0.146,1,Bob_Carpenter
0.043,0,Glen_Wesley
0.138,1,Brent_Ashton
0.086,1,Bob_Sweeney
0.038,0,Gordon_Murphy
0.033,0,Don_Sweeney
0.095,1,Dale_Hawerchuk
0.122,1,Dave_Andreychuk
0.165,1,Alexander_Mogilny
0.203,1,Donald_Audette
0.061,0,Doug_Bodger
0.102,1,Randy_Wood
0.113,1,Tony_Tanti
0.054,0,Petr_Svoboda
0.037,1,Christian_Ruuttu
0.025,0,Ken_Sutton
0.134,1,Brad_May
0.055,0,Mike_Ramsey
0.172,1,Rob_Ray
0.067,0,Gord_Donnelly
0.270,1,Gary_Roberts
0.066,0,Al_Macinnis
0.147,1,Theoren_Fleury
0.265,1,Sergei_Makarov
0.161,1,Joe_Nieuwendyk
0.063,0,Gary_Suter
0.110,1,Robert_Reichel
0.145,1,Paul_Ranheim
0.124,1,Joel_Otto
0.064,1,Gary_Leeman
0.031,0,Michel_Petit
0.135,1,Ronnie_Stern
0.087,1,Craig_Berube
0.056,0,Frank_Musil
0.226,1,Jeremy_Roenick
0.099,1,Steve_Larmer
0.125,1,Michel_Goulet
0.107,1,Brent_Sutter
0.038,0,Chris_Chelios
0.198,1,Rob_Brown
0.077,1,Dirk_Graham
0.123,1,Brian_Noonan
0.059,0,Steve_Smith
0.144,1,Mike_Hudson
0.058,1,Jocelyn_Lemieux
0.037,0,Frantisek_Kucera
0.188,1,Mike_Peluso
0.153,1,Steve_Yzerman
0.129,1,Sergei_Fedorov
0.166,1,Paul_Ysebart
0.227,1,Jimmy_Carson
0.202,1,Ray_Sheppard
0.065,0,Nicklas_Lidstrom
0.136,1,Shawn_Burr
0.154,1,Kevin_Miller
0.208,1,Bob_Probert
0.121,1,Gerard_Gallant
0.070,0,Steve_Chiasson
0.074,0,Vladimir_Konstantino
0.074,0,Brad_McCrimmon
0.019,0,Yves_Racine
0.083,1,Brent_Fedyk
0.048,0,Bob_McGill
0.154,1,Vincent_Damphousse
0.181,1,Joe_Murphy
0.188,1,Craig_Simpson
0.145,1,Scott_Mellanby
0.073,0,Dave_Manson
0.222,1,Kelly_Buchberger
0.140,1,Craig_MacTavish
0.117,1,Martin_Gelinas
0.137,1,David_Maley
0.049,0,Brian_Glynn
0.024,0,Luke_Richardson
0.033,0,Geoff_Smith
0.151,1,John_Cullen
0.178,1,Murray_Craven
0.135,1,Pat_Verbeek
0.087,0,Zarley_Zalapski
0.121,1,Mikael_Andersson
0.101,1,Bobby_Holik
0.111,1,Andrew_Cassels
0.133,1,Geoff_Sanderson
0.032,0,Steve_Konroyd
0.030,0,Brad_Shaw
0.101,0,Adam_Burt
0.073,0,Marc_Bergevin
0.109,1,Mark_Hunter
0.017,0,Randy_Ladouceur
0.147,1,Jim_McKenzie
0.144,1,Wayne_Gretzky
0.183,1,Luc_Robitaille
0.047,0,Paul_Coffey
0.175,1,Tony_Granato
0.138,1,Jari_Kurri
0.147,1,Mike_Donnelly
0.142,1,Bob_Kudelski
0.123,1,Dave_Taylor
0.059,0,Marty_McSorley
0.125,1,John_McIntyre
0.095,0,Peter_Ahola
0.125,1,Jay_Miller
0.129,1,Mike_Modano
0.118,1,Brian_Bellows
0.135,1,Dave_Gagner
0.167,1,Ulf_Dahlen
0.119,1,Todd_Elik
0.070,1,Bobby_Smith
0.067,1,Neal_Broten
0.110,1,Mike_Craig
0.043,0,Mark_Tinordi
0.075,1,Gaetan_Duchesne
0.047,0,Jim_Johnson
0.016,0,Chris_Dahlquist
0.039,0,Craig_Ludwig
0.188,1,Kirk_Muller
0.161,1,Denis_Savard
0.152,1,Stephan_Lebeau
0.103,1,Shayne_Corson
0.158,1,Brent_Gilchrist
0.095,1,Mike_Keane
0.150,1,Guy_Carbonneau
0.043,0,Eric_Desjardins
0.041,0,Matt_Schneider
0.110,1,Mike_McPhee
0.094,0,Kevin_Haller
0.037,0,J.J._Daigneault
0.035,0,Sylvain_Lefbvre
0.023,0,Lyle_Odelein
0.139,1,Claude_Lemieux
0.121,1,Stephane_Richer
0.160,1,Kevin_Todd
0.169,1,Peter_Stastny
0.109,0,Scott_Stevens
0.216,1,Claude_Vigrain
0.034,0,Bruce_Driver
0.112,0,Alexei_Kasatanov
0.133,1,Tom_Chorske
0.153,1,Randy_McKay
0.072,0,Eric_Weinrich
0.079,1,Doug_Brown
0.090,1,Laurie_Boschman
0.043,0,Vlacheslav_Fetisov
0.018,0,Ken_Daneyko
0.193,1,Pierre_Turgeon
0.260,1,Ray_Ferraro
0.212,1,Derek_King
0.122,1,Steve_Thomas
0.201,1,Benoit_Hogue
0.108,1,Dave_Volek
0.068,0,Tom_Kurvers
0.063,0,Uwe_Krupp
0.150,1,Adam_Creighton
0.107,1,Daniel_Marois
0.069,1,Claude_Loiselle
0.037,0,Richard_Pilon
0.165,1,Mark_Messier
0.090,0,Brian_Leetch
0.140,1,Mike_Gartner
0.095,0,James_Patrick
0.150,1,Tony_Amonte
0.114,1,Adam_Graves
0.242,1,Sergei_Nemchinov
0.139,1,Darren_Turcotte
0.135,1,Paul_Broten
0.101,1,Randy_Gilhen
0.103,1,Kris_King
0.021,0,Jeff_Beukeboom
0.052,0,Joe_Cirella
0.205,1,Mark_Recchi
0.163,1,Rod_BrindAmour
0.133,1,Kevin_Dineen
0.134,1,Mike_Ricci
0.079,0,Steve_Duchesne
0.026,0,Brian_Benning
0.109,1,Dan_Quinn
0.114,0,Kerry_Huffman
0.040,0,Gary_Galley
0.057,0,Terry_Carkner
0.080,1,Dave_Brown
0.177,1,Mario_Lemieux
0.166,1,Kevin_Stevens
0.186,1,Joe_Mullen
0.102,0,Larry_Murphy
0.165,1,Jaromir_Jagr
0.163,1,Rick_Tocchet
0.174,1,Ron_Francis
0.156,1,Bob_Errey
0.108,1,Bryan_Trottier
0.106,1,Troy_Loney
0.069,0,Gordie_Roberts
0.055,0,Kjell_Samuelsson
0.013,0,Ulf_Samuelsson
0.134,1,Joe_Sakic
0.143,1,Mats_Sundin
0.221,1,Owen_Nolan
0.209,1,Greg_Paslawski
0.174,1,Mike_Hough
0.058,0,Mikhail_Tatarinov
0.137,1,Claude_Lapointe
0.090,1,Gino_Cavallini
0.076,0,Alexei_Gusarov
0.076,1,Herb_Raglan
0.028,0,Craig_Wolanin
0.063,0,Steven_Finn
0.172,1,Brett_Hull
0.142,1,Craig_Janney
0.153,1,Brendan_Shanahan
0.161,1,Nelson_Emerson
0.093,0,Jeff_Brown
0.179,1,Ron_Sutter
0.141,1,Dave_Christian
0.061,0,Paul_Cavallini
0.069,1,Bob_Bassen
0.120,1,Ron_Wilson
0.080,1,Rich_Sutter
0.082,1,Dave_Lowry
0.100,0,Garth_Butcher
0.056,0,Stephane_Quintal
0.063,0,Rick_Zombo
0.055,0,Murray_Baron
0.138,1,Pat_Falloon
0.107,1,Brian_Mullen
0.161,1,David_Bruce
0.125,1,Dean_Evason
0.107,1,Perry_Berezan
0.111,1,Mike_Sullivan
0.042,0,Neil_Wilkinson
0.032,1,Dave_Snuggerud
0.115,1,Paul_Fenton
0.109,1,Jeff_Odgers
0.014,0,Rob_Zettler
0.155,1,Doug_Gilmour
0.128,1,Glenn_Anderson
0.080,0,Dave_Ellett
0.128,1,Peter_Zezel
0.039,0,Jamie_Macoun
0.100,1,Mike_Bullard
0.110,1,Dave_McLlwain
0.090,1,Mike_Krushelnyski
0.026,0,Bob_Rouse
0.024,0,Todd_Gill
0.154,1,Trevor_Linden
