%                      File README
%                      -----------
% 
% smoothmeth  A collection of the data sets used in the book "Smoothing
%             Methods in Statistics," by Jeffrey S. Simonoff,
%             Springer-Verlag, New York, 1996. Submitted by Jeff
%             Simonoff (jsimonoff@stern.nyu.edu).
% 
% 
% This submission consists of 37 files, plus this README file.
% Each file represents a data set analyzed in the book.
% The names of the files correspond to the names given in
% the book. The data files are written in plain ASCII (character)
% text. Missing values are represented by "M" in all data files.
% 
% Several of the files include an alphabetic (labeling) variable. It is
% likely that these files would have to be input into a package using fixed,
% rather than free, format. The relevant files, along with appropriate
% Fortran format statements, are as follows:
% 
%    adptvisa.dat: (f10.4,4x,f7.4,3x,a20)
% 
%    airaccid.dat: (i3,3x,a34)
% 
%    basesal.dat : (f8.1,4x,a17)
% 
%    baskball.dat: (f7.4,4x,f6.4,3x,i3,4x,f5.2,3x,i2,3x,a17)
% 
%    cars93.dat  : (f5.1,2x,i2,2x,i2,3x,f3.1,2x,i3,3x,f4.1,2x,i4,2x,a21)
% 
%    elusage.dat : (i4,3x,f7.3,2x,a7)
% 
%    hckshoot.dat: (f7.3,4x,i1,4x,a20)
% 
%    jantemp.dat : (i6,3x,a30)
% 
%    marathon.dat: (f10.2,4x,a27)
% 
%    newscirc.dat: (f8.2,3x,f7.2,2x,a25)
% 
%    racial.dat  : (f7.4,4x,a32)
% 
%    safewatr.dat: (i5,3x,i3,3x,a26)
% 
%    schlvote.dat: (i3,4x,f5.2,2x,i8,4x,f4.1,5x,f5.2,2x,i7,2x,a25)
% 
% Description of data sources, and further information about the data sets,
% can be found in the "Descriptions of the data sets" section of the book.
% Pointing a World Wide Web browser to the URL
% 
%             http://www.stern.nyu.edu/SOR/SmoothMeth
% 
% will provide access to a site devoted to the book.
% 
% NOTICE: These datasets may be used freely for scientific,
% educational and/or non-commercial purposes, provided suitable
% acknowledgment is given (by citing the reference above).
% 
%
% File: ../data/smoothmeth/salyear.dat
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation smoothmeth-salyear

@attribute col_1 INTEGER
@attribute col_2 {1,2,3,4,5,6,7,8,9,10}
@attribute col_3 {0,1,2,3,4,5,9}

@data
1,1,5
1,2,0
1,3,1
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,1,2
2,2,1
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,2
2,9,0
2,10,0
3,1,5
3,2,1
3,3,3
3,4,2
3,5,0
3,6,0
3,7,1
3,8,0
3,9,0
3,10,0
4,1,5
4,2,5
4,3,2
4,4,1
4,5,0
4,6,1
4,7,0
4,8,1
4,9,0
4,10,0
5,1,9
5,2,9
5,3,5
5,4,0
5,5,2
5,6,2
5,7,1
5,8,1
5,9,1
5,10,0
6,1,3
6,2,5
6,3,2
6,4,1
6,5,2
6,6,0
6,7,1
6,8,0
6,9,0
6,10,1
7,1,0
7,2,1
7,3,4
7,4,3
7,5,2
7,6,1
7,7,3
7,8,0
7,9,2
7,10,1
8,1,0
8,2,0
8,3,4
8,4,0
8,5,1
8,6,2
8,7,2
8,8,0
8,9,0
8,10,1
9,1,0
9,2,0
9,3,2
9,4,2
9,5,0
9,6,5
9,7,1
9,8,2
9,9,1
9,10,1
10,1,0
10,2,0
10,3,1
10,4,0
10,5,0
10,6,1
10,7,4
10,8,0
10,9,2
10,10,3
11,1,1
11,2,0
11,3,1
11,4,0
11,5,1
11,6,1
11,7,1
11,8,0
11,9,1
11,10,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,5
12,8,0
12,9,0
12,10,1
