%                      File README
%                      -----------
% 
% smoothmeth  A collection of the data sets used in the book "Smoothing
%             Methods in Statistics," by Jeffrey S. Simonoff,
%             Springer-Verlag, New York, 1996. Submitted by Jeff
%             Simonoff (jsimonoff@stern.nyu.edu).
% 
% 
% This submission consists of 37 files, plus this README file.
% Each file represents a data set analyzed in the book.
% The names of the files correspond to the names given in
% the book. The data files are written in plain ASCII (character)
% text. Missing values are represented by "M" in all data files.
% 
% Several of the files include an alphabetic (labeling) variable. It is
% likely that these files would have to be input into a package using fixed,
% rather than free, format. The relevant files, along with appropriate
% Fortran format statements, are as follows:
% 
%    adptvisa.dat: (f10.4,4x,f7.4,3x,a20)
% 
%    airaccid.dat: (i3,3x,a34)
% 
%    basesal.dat : (f8.1,4x,a17)
% 
%    baskball.dat: (f7.4,4x,f6.4,3x,i3,4x,f5.2,3x,i2,3x,a17)
% 
%    cars93.dat  : (f5.1,2x,i2,2x,i2,3x,f3.1,2x,i3,3x,f4.1,2x,i4,2x,a21)
% 
%    elusage.dat : (i4,3x,f7.3,2x,a7)
% 
%    hckshoot.dat: (f7.3,4x,i1,4x,a20)
% 
%    jantemp.dat : (i6,3x,a30)
% 
%    marathon.dat: (f10.2,4x,a27)
% 
%    newscirc.dat: (f8.2,3x,f7.2,2x,a25)
% 
%    racial.dat  : (f7.4,4x,a32)
% 
%    safewatr.dat: (i5,3x,i3,3x,a26)
% 
%    schlvote.dat: (i3,4x,f5.2,2x,i8,4x,f4.1,5x,f5.2,2x,i7,2x,a25)
% 
% Description of data sources, and further information about the data sets,
% can be found in the "Descriptions of the data sets" section of the book.
% Pointing a World Wide Web browser to the URL
% 
%             http://www.stern.nyu.edu/SOR/SmoothMeth
% 
% will provide access to a site devoted to the book.
% 
% NOTICE: These datasets may be used freely for scientific,
% educational and/or non-commercial purposes, provided suitable
% acknowledgment is given (by citing the reference above).
% 
%
% File: ../data/smoothmeth/sulfate.dat
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation smoothmeth-sulfate

@attribute col_1 REAL
@attribute col_2 REAL

@data
780.569,-0.068
2403.952,-0.122
1671.157,-0.036
2487.666,-0.170
1838.370,0.025
477.887,-0.112
2188.864,0.177
1525.982,0.056
407.587,0.325
312.417,-0.282
2939.217,-0.096
2228.528,0.156
569.154,0.078
543.908,0.143
767.188,-0.017
3429.702,0.179
2657.003,-0.203
1052.217,-0.069
1259.276,0.044
1406.058,0.005
738.930,-0.033
3307.899,0.110
2539.882,0.107
924.453,0.057
1133.073,-0.072
1276.238,0.113
621.189,0.310
129.296,0.074
3128.549,-0.114
2368.621,0.007
735.313,0.102
946.178,0.066
1082.594,0.068
456.522,0.409
322.356,0.197
193.042,0.668
1846.581,0.145
1088.023,0.194
600.541,0.066
910.253,-0.191
627.417,0.018
1169.920,0.173
1566.103,-0.033
1447.498,0.050
1275.285,-0.093
2106.171,-0.006
1321.917,0.120
649.457,0.229
1091.795,0.001
878.148,0.106
1170.694,0.065
1370.927,-0.042
1268.858,0.176
1128.037,0.091
389.068,0.372
1925.529,-0.003
1141.271,0.076
772.213,0.180
1176.950,0.090
926.980,-0.111
1320.266,-0.016
1556.894,-0.129
1453.261,-0.414
1308.197,-0.387
337.098,0.149
186.301,0.449
1832.204,-0.016
1052.975,0.248
731.862,0.151
1093.862,-0.084
823.187,0.429
1297.277,-0.083
1606.899,0.011
1496.234,0.071
1338.330,0.059
203.257,0.203
281.692,0.415
151.572,0.323
1879.824,-0.091
1095.883,0.044
860.633,0.117
1261.674,-0.044
1005.918,0.360
1408.441,-0.040
1630.226,-0.037
1529.058,0.001
1387.881,0.258
399.445,0.246
259.375,0.371
88.320,0.175
198.313,0.509
2078.562,-0.115
1326.965,0.253
362.155,0.350
728.460,-0.053
491.907,-0.209
931.612,0.106
1337.032,-0.047
1215.852,0.084
1039.486,0.078
241.692,0.528
387.137,0.359
447.799,-0.038
377.264,0.290
532.520,0.098
572.387,0.033
1352.433,0.154
2972.378,-0.053
3026.282,-0.025
2735.452,0.203
3498.867,-0.047
4012.226,0.267
3888.545,0.110
3706.105,-0.031
2421.452,-0.016
2684.271,0.028
2501.945,-0.111
2409.363,0.046
2454.290,-0.065
2652.228,0.003
793.804,0.184
1576.094,-0.100
3182.809,0.110
3218.461,0.075
2932.848,0.104
3702.065,-0.059
4231.668,0.068
4106.596,-0.001
3921.909,0.088
2639.162,-0.055
2909.549,0.132
2727.693,-0.085
2632.458,0.235
2681.161,-0.219
2867.861,-0.016
226.776,0.303
513.666,-0.061
1247.745,0.096
2909.444,-0.091
3005.185,0.117
2704.362,-0.060
3453.202,-0.255
3925.901,-0.103
3805.792,0.034
3629.166,0.057
2337.471,0.001
2570.896,0.274
2385.114,-0.106
2304.839,0.105
2330.712,-0.067
2574.742,-0.047
250.092,0.480
434.225,0.265
286.321,0.241
983.349,-0.113
2646.954,0.010
2755.573,0.039
2452.007,0.133
3193.702,-0.242
3656.327,-0.050
3537.076,-0.047
3361.881,0.111
2072.630,-0.194
2303.745,0.193
2118.536,-0.086
2038.329,0.070
2064.726,0.100
2310.275,-0.231
427.170,0.416
649.644,0.380
264.197,0.728
2951.332,-0.096
2159.409,-0.068
915.645,-0.068
1343.323,0.111
1321.320,0.112
1038.748,0.117
731.251,0.072
692.428,0.384
678.852,0.192
1161.907,0.031
834.677,-0.167
1011.777,-0.237
1114.266,0.026
1061.420,-0.201
1001.726,0.202
3534.519,0.053
3763.325,-0.061
3411.758,-0.210
3142.498,-0.465
879.689,0.114
694.497,0.332
2201.535,-0.066
2456.228,0.002
2141.518,0.144
2777.156,0.127
3081.394,-0.071
2977.963,-0.158
2828.893,-0.156
1597.451,0.157
1696.670,0.134
1511.900,0.090
1486.073,0.155
1436.756,0.176
1837.038,0.292
1296.673,0.153
1513.632,-0.051
1087.044,-0.112
871.266,-0.101
2466.020,-0.137
1089.077,0.319
813.725,0.173
2187.053,0.178
2478.873,0.029
2167.316,0.043
2762.227,0.139
3014.776,-0.021
2917.322,0.194
2778.035,0.067
1589.397,0.206
1638.954,0.271
1459.765,0.002
1455.356,-0.037
1378.684,-0.076
1822.198,0.159
1498.709,0.021
1712.768,-0.006
1282.072,0.078
1075.605,0.146
2369.712,-0.096
209.787,0.436
1065.188,0.088
848.791,0.096
2257.484,0.052
2543.813,0.177
2231.238,0.262
2833.369,0.191
3090.807,-0.065
2992.932,0.022
2852.853,0.049
1658.130,0.067
1713.190,0.060
1533.379,-0.233
1526.843,0.215
1452.669,0.027
1892.220,0.141
1452.757,0.190
1663.666,-0.088
1231.022,0.051
1033.479,0.178
2445.917,0.195
192.334,0.327
75.162,0.475
633.386,-0.109
487.443,0.329
2113.342,-0.114
2317.891,0.039
2003.233,0.190
