%                      File README
%                      -----------
% 
% smoothmeth  A collection of the data sets used in the book "Smoothing
%             Methods in Statistics," by Jeffrey S. Simonoff,
%             Springer-Verlag, New York, 1996. Submitted by Jeff
%             Simonoff (jsimonoff@stern.nyu.edu).
% 
% 
% This submission consists of 37 files, plus this README file.
% Each file represents a data set analyzed in the book.
% The names of the files correspond to the names given in
% the book. The data files are written in plain ASCII (character)
% text. Missing values are represented by "M" in all data files.
% 
% Several of the files include an alphabetic (labeling) variable. It is
% likely that these files would have to be input into a package using fixed,
% rather than free, format. The relevant files, along with appropriate
% Fortran format statements, are as follows:
% 
%    adptvisa.dat: (f10.4,4x,f7.4,3x,a20)
% 
%    airaccid.dat: (i3,3x,a34)
% 
%    basesal.dat : (f8.1,4x,a17)
% 
%    baskball.dat: (f7.4,4x,f6.4,3x,i3,4x,f5.2,3x,i2,3x,a17)
% 
%    cars93.dat  : (f5.1,2x,i2,2x,i2,3x,f3.1,2x,i3,3x,f4.1,2x,i4,2x,a21)
% 
%    elusage.dat : (i4,3x,f7.3,2x,a7)
% 
%    hckshoot.dat: (f7.3,4x,i1,4x,a20)
% 
%    jantemp.dat : (i6,3x,a30)
% 
%    marathon.dat: (f10.2,4x,a27)
% 
%    newscirc.dat: (f8.2,3x,f7.2,2x,a25)
% 
%    racial.dat  : (f7.4,4x,a32)
% 
%    safewatr.dat: (i5,3x,i3,3x,a26)
% 
%    schlvote.dat: (i3,4x,f5.2,2x,i8,4x,f4.1,5x,f5.2,2x,i7,2x,a25)
% 
% Description of data sources, and further information about the data sets,
% can be found in the "Descriptions of the data sets" section of the book.
% Pointing a World Wide Web browser to the URL
% 
%             http://www.stern.nyu.edu/SOR/SmoothMeth
% 
% will provide access to a site devoted to the book.
% 
% NOTICE: These datasets may be used freely for scientific,
% educational and/or non-commercial purposes, provided suitable
% acknowledgment is given (by citing the reference above).
% 
%
% File: ../data/smoothmeth/swissmon.dat
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation smoothmeth-swissmon

@attribute col_1 REAL
@attribute col_2 REAL
@attribute col_3 REAL
@attribute col_4 REAL

@data
9.7,139.8,9.0,141.0
11.0,139.5,8.1,141.7
8.7,140.2,8.7,142.2
9.9,140.3,7.5,142.0
11.8,139.7,10.4,141.8
10.6,139.9,9.0,141.4
9.3,140.2,7.9,141.6
9.8,139.9,7.2,141.7
10.0,139.4,8.2,141.9
10.4,140.3,9.2,140.7
8.0,139.2,7.9,141.8
10.6,140.1,7.7,142.2
9.7,140.6,7.9,141.4
11.4,139.9,7.7,141.7
10.6,139.7,7.7,141.8
8.2,139.2,9.3,141.6
11.8,139.8,8.2,141.7
12.1,139.9,9.0,141.9
11.0,140.0,7.4,141.5
10.1,139.2,8.6,141.9
10.1,139.6,8.4,141.4
12.3,139.6,8.1,141.6
11.6,140.2,8.4,141.5
10.5,139.7,8.7,141.6
9.9,140.1,7.4,141.1
10.2,139.6,8.0,142.3
9.4,140.2,8.9,142.4
10.2,140.0,9.8,141.9
10.1,140.3,7.4,141.8
9.8,139.9,8.3,142.0
10.7,139.8,7.9,141.8
12.3,139.2,8.6,142.3
10.6,139.9,7.7,140.7
10.5,139.7,8.4,141.0
11.0,139.5,8.9,141.4
11.9,139.5,9.4,141.8
10.7,139.4,8.4,141.8
9.3,138.3,7.9,142.0
11.3,139.8,8.5,142.1
11.8,139.6,8.1,141.3
10.0,139.3,8.9,142.3
10.2,139.2,8.8,140.9
11.2,139.9,9.3,141.7
10.6,139.9,9.0,140.9
11.4,139.3,8.2,141.0
11.9,139.8,8.3,141.8
11.4,139.9,8.3,141.5
9.3,138.1,7.3,142.0
10.7,139.4,7.9,141.1
9.9,139.4,7.8,142.0
11.9,139.8,7.2,141.3
11.9,139.0,9.5,141.1
10.4,139.3,7.8,140.9
12.1,139.4,7.6,141.6
11.0,139.5,7.9,141.4
11.6,139.7,9.2,142.0
10.3,139.5,9.2,141.2
11.3,139.2,8.8,141.1
12.5,139.3,7.9,141.3
8.1,137.9,8.2,141.4
7.4,138.4,8.3,141.6
9.9,138.1,7.5,141.5
11.5,139.5,8.0,141.5
11.6,139.1,8.0,141.4
11.4,139.8,8.6,141.5
10.3,139.7,8.8,140.8
10.0,138.8,7.7,141.3
9.6,138.6,9.1,141.5
9.6,139.6,8.6,141.8
11.4,139.7,8.0,139.6
8.7,137.8,8.4,140.9
12.0,139.6,8.2,141.4
11.8,139.4,8.7,141.2
10.4,139.2,7.5,141.8
11.4,139.6,7.2,142.1
11.9,139.0,7.6,141.7
11.6,139.7,8.8,141.2
9.9,139.6,7.4,141.0
10.2,139.1,7.9,140.9
8.2,137.8,7.9,141.8
11.4,139.1,8.6,140.6
8.0,138.7,7.5,141.0
11.0,139.3,9.0,141.9
10.1,139.3,7.9,141.3
10.7,139.5,9.0,141.2
11.5,139.4,8.9,141.5
8.0,138.5,8.7,141.6
11.4,139.2,8.4,142.1
9.6,139.4,7.4,141.5
12.7,139.2,8.0,142.0
10.2,139.4,8.6,141.6
8.8,138.6,8.5,141.4
10.8,139.2,8.2,141.5
9.6,138.5,7.4,141.5
11.6,139.8,8.3,142.0
9.9,139.6,9.0,141.7
10.3,139.7,9.1,141.1
10.6,140.0,8.0,141.2
11.2,139.4,9.1,141.5
10.2,139.6,7.8,141.2
