% Data.
% The data consist of annual observations on the level of strike volume
% (days lost due to industrial disputes per 1000 wage salary earners),
% and their covariates in 18 OECD countries from 1951-1985. The average
% level and variance of strike volume varies across countries. The data
% distribution also features a long right tail and several large
% outliers. The 7 data fields include the following variables: (1)
% country code; (2) year; (3) strike volume; (4) unemployment; (5)
% inflation; (6) parliamentary representation of social democratic and
% labor parties; and (7) a time-invariant measure of union
% centralization. 
% These data were analyzed in the forthcoming paper by Bruce Western,
% "Vague Theory and Model Uncertainty in Macrosociology," which is to
% appear in Sociological Methodology.
% Permission is given by the author to freely use and resdistribute
% these data.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: 3
%

@relation strikes

@attribute country_code REAL
@attribute year REAL
@attribute strike_volume REAL
@attribute unemployment REAL
@attribute inflation REAL
@attribute parliamentary_representation REAL
@attribute union_centralization REAL

@data
1.000,1951.000,296.000,1.300,19.800,43.000,0.375
1.000,1952.000,397.000,2.200,17.200,43.000,0.375
1.000,1953.000,360.000,2.500,4.300,43.000,0.375
1.000,1954.000,300.000,1.700,0.700,47.000,0.375
1.000,1955.000,326.000,1.400,2.000,38.500,0.375
1.000,1956.000,352.000,1.800,6.300,38.500,0.375
1.000,1957.000,195.000,2.300,2.500,38.500,0.375
1.000,1958.000,133.000,2.700,1.300,36.900,0.375
1.000,1959.000,109.000,2.600,1.800,36.900,0.375
1.000,1960.000,208.000,2.500,3.800,36.900,0.375
1.000,1961.000,173.000,2.500,2.500,49.200,0.375
1.000,1962.000,142.000,2.600,-0.300,49.200,0.375
1.000,1963.000,158.000,2.100,0.500,41.000,0.375
1.000,1964.000,243.000,1.600,2.400,41.000,0.375
1.000,1965.000,211.000,1.500,4.000,41.000,0.375
1.000,1966.000,183.000,1.700,3.000,33.100,0.375
1.000,1967.000,168.000,1.900,3.200,33.100,0.375
1.000,1968.000,249.000,1.800,2.700,33.100,0.375
1.000,1969.000,439.000,1.800,2.900,47.200,0.375
1.000,1970.000,515.000,1.600,3.900,47.200,0.375
1.000,1971.000,645.000,1.900,6.100,47.200,0.375
1.000,1972.000,416.000,2.600,5.900,53.600,0.375
1.000,1973.000,527.000,2.300,9.500,53.600,0.375
1.000,1974.000,1252.000,2.600,15.100,52.000,0.375
1.000,1975.000,702.000,4.800,15.100,28.300,0.375
1.000,1976.000,760.000,4.700,13.500,28.300,0.375
1.000,1977.000,328.000,5.600,12.300,30.700,0.375
1.000,1978.000,421.000,6.400,7.900,30.700,0.375
1.000,1979.000,778.000,6.100,9.100,30.700,0.375
1.000,1980.000,633.000,6.000,10.100,40.800,0.375
1.000,1981.000,779.000,5.700,9.700,40.800,0.375
1.000,1982.000,370.000,7.000,11.200,40.800,0.375
1.000,1983.000,313.000,9.800,10.100,60.000,0.375
1.000,1984.000,241.000,8.900,4.000,55.400,0.375
1.000,1985.000,226.000,8.200,6.700,55.400,0.375
2.000,1951.000,43.000,3.500,27.500,43.600,1.000
2.000,1952.000,39.000,4.700,13.600,43.600,1.000
2.000,1953.000,20.000,5.800,-1.600,46.700,1.000
2.000,1954.000,26.000,4.900,4.000,46.700,1.000
2.000,1955.000,28.000,3.600,0.000,46.700,1.000
2.000,1956.000,72.000,3.500,3.900,46.700,1.000
2.000,1957.000,21.000,3.300,2.800,46.700,1.000
2.000,1958.000,22.000,3.600,2.000,46.700,1.000
2.000,1959.000,23.000,3.300,1.100,47.300,1.000
2.000,1960.000,30.000,2.500,2.000,47.300,1.000
2.000,1961.000,49.000,2.000,3.500,47.300,1.000
2.000,1962.000,277.000,1.900,4.400,46.100,1.000
2.000,1963.000,15.000,2.100,2.700,46.100,1.000
2.000,1964.000,15.000,1.900,3.900,46.100,1.000
2.000,1965.000,64.000,1.900,4.900,46.100,1.000
2.000,1966.000,30.000,1.800,2.200,47.900,1.000
2.000,1967.000,7.000,1.800,4.000,47.900,1.000
2.000,1968.000,3.000,2.000,2.800,47.900,1.000
2.000,1969.000,8.000,1.800,3.100,47.900,1.000
2.000,1970.000,11.000,1.500,4.400,49.100,1.000
2.000,1971.000,2.000,1.200,4.700,49.100,1.000
2.000,1972.000,6.000,1.100,6.400,50.800,1.000
2.000,1973.000,61.000,1.000,7.500,50.800,1.000
2.000,1974.000,3.000,1.100,9.500,50.800,1.000
2.000,1975.000,2.000,1.700,8.500,50.800,1.000
2.000,1976.000,0.000,1.700,7.300,50.800,1.000
2.000,1977.000,0.000,1.600,5.500,50.800,1.000
2.000,1978.000,4.000,1.800,3.600,50.800,1.000
2.000,1979.000,0.000,1.700,3.700,51.900,1.000
2.000,1980.000,6.000,1.600,6.300,51.900,1.000
2.000,1981.000,1.000,2.100,6.800,51.900,1.000
2.000,1982.000,0.000,3.100,5.400,51.900,1.000
2.000,1983.000,0.000,3.800,3.300,49.200,1.000
2.000,1984.000,0.000,3.900,5.700,49.200,1.000
2.000,1985.000,8.000,4.100,3.200,49.200,1.000
3.000,1951.000,242.000,4.500,9.600,39.600,0.750
3.000,1952.000,356.000,5.200,0.900,39.600,0.750
3.000,1953.000,170.000,5.500,-0.300,39.600,0.750
3.000,1954.000,182.000,5.200,1.300,42.500,0.750
3.000,1955.000,403.000,4.000,-0.500,42.500,0.750
3.000,1956.000,372.000,2.900,2.800,42.500,0.750
3.000,1957.000,1453.000,2.400,3.200,42.500,0.750
3.000,1958.000,114.000,3.400,1.300,40.600,0.750
3.000,1959.000,383.000,4.100,1.200,40.600,0.750
3.000,1960.000,129.000,3.400,0.300,40.600,0.750
3.000,1961.000,35.000,2.700,1.000,42.000,0.750
3.000,1962.000,100.000,2.100,1.400,42.000,0.750
3.000,1963.000,90.000,1.700,2.200,42.000,0.750
3.000,1964.000,157.000,1.500,4.200,42.000,0.750
3.000,1965.000,25.000,1.700,4.100,33.000,0.750
3.000,1966.000,189.000,1.800,4.200,33.000,0.750
3.000,1967.000,64.000,2.500,2.900,33.000,0.750
3.000,1968.000,129.000,2.900,2.700,30.200,0.750
3.000,1969.000,56.000,2.300,3.800,30.200,0.750
3.000,1970.000,483.000,1.900,3.900,30.200,0.750
3.000,1971.000,410.000,1.800,4.300,30.200,0.750
3.000,1972.000,117.000,2.300,5.500,31.100,0.750
3.000,1973.000,282.000,2.300,7.000,31.100,0.750
3.000,1974.000,184.000,2.400,12.700,29.700,0.750
3.000,1975.000,196.000,4.400,12.800,29.700,0.750
3.000,1976.000,291.000,5.800,9.200,29.700,0.750
3.000,1977.000,216.000,6.600,7.100,30.200,0.750
3.000,1978.000,325.000,7.100,4.500,30.200,0.750
3.000,1979.000,197.000,7.300,4.500,29.300,0.750
3.000,1980.000,69.000,7.700,6.700,29.300,0.750
4.000,1951.000,242.000,2.400,10.400,78.700,0.000
4.000,1952.000,5918.000,2.900,2.500,78.700,0.000
4.000,1953.000,335.000,2.900,-0.900,73.500,0.000
4.000,1954.000,372.000,4.500,0.600,73.500,0.000
4.000,1955.000,454.000,4.300,0.200,73.500,0.000
4.000,1956.000,284.000,3.300,1.400,73.500,0.000
4.000,1957.000,325.000,4.500,3.200,49.000,0.000
4.000,1958.000,618.000,6.900,2.600,21.500,0.000
4.000,1959.000,470.000,5.900,1.100,21.500,0.000
4.000,1960.000,153.000,6.900,1.300,21.500,0.000
4.000,1961.000,28.000,7.100,0.900,21.500,0.000
4.000,1962.000,279.000,5.400,1.200,44.900,0.000
4.000,1963.000,175.000,5.100,1.800,55.100,0.000
4.000,1964.000,289.000,4.300,1.800,55.100,0.000
4.000,1965.000,408.000,3.600,2.500,57.300,0.000
4.000,1966.000,849.000,3.300,3.700,57.300,0.000
4.000,1967.000,612.000,3.800,3.600,57.300,0.000
4.000,1968.000,762.000,4.400,4.100,67.000,0.000
4.000,1969.000,1125.000,4.400,4.500,67.000,0.000
4.000,1970.000,934.000,5.600,3.400,67.000,0.000
4.000,1971.000,399.000,6.100,2.800,67.000,0.000
4.000,1972.000,1041.000,6.200,4.800,53.000,0.000
4.000,1973.000,732.000,5.500,7.600,53.000,0.000
4.000,1974.000,1121.000,5.300,10.900,59.000,0.000
4.000,1975.000,1303.000,6.900,10.800,59.000,0.000
4.000,1976.000,1359.000,7.100,7.500,59.000,0.000
4.000,1977.000,381.000,8.000,8.000,59.000,0.000
4.000,1978.000,826.000,8.300,8.900,59.000,0.000
4.000,1979.000,841.000,7.400,9.100,49.600,0.000
4.000,1980.000,930.000,7.400,10.200,63.400,0.000
4.000,1981.000,894.000,7.500,12.500,63.400,0.000
4.000,1982.000,605.000,10.900,10.800,63.400,0.000
4.000,1983.000,462.000,11.800,5.800,63.400,0.000
