% This S dump contains 22 data sets from the
% book Visualizing Data published by
% Hobart Press (books@hobart.com).
% The dump was created by data.dump()
% and can be read back into S by data.restore().
% The name of each S data set is the name of
% the data set used in the book. To find the
% description of the data set in the book look
% under the entry - data, name - in the index.
% For example, one data set is barley.
% To find the description of barley, look
% in the index under the entry - data, barley.
%
% File: ../data/visualizing/environmental.csv
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation visualizing-environmental

@attribute ozone REAL
@attribute radiation INTEGER
@attribute temperature INTEGER
@attribute wind REAL

@data
40.99999999999998,190,67,7.4
36.000000000000014,118,72,8
12.000000000000007,149,74,12.6
17.999999999999986,313,62,11.5
22.99999999999999,299,65,8.6
19,99,59,13.8
8,19,61,20.1
15.999999999999991,256,69,9.7
10.99999999999999,290,66,9.2
14.000000000000004,274,68,10.9
17.999999999999986,65,58,13.2
14.000000000000004,334,64,11.5
33.999999999999986,307,66,12
6.000000000000003,78,57,18.4
30.000000000000004,322,68,11.5
10.99999999999999,44,62,9.7
1,8,59,9.7
10.99999999999999,320,73,16.6
3.999999999999996,25,61,9.7
32.00000000000001,92,61,12
22.99999999999999,13,67,12
45.00000000000001,252,81,14.9
114.99999999999996,223,79,5.7
36.99999999999999,279,76,7.4
28.999999999999993,127,82,9.7
70.99999999999999,291,90,13.8
38.99999999999997,323,87,11.5
22.99999999999999,148,82,8
21.00000000000001,191,77,14.9
36.99999999999999,284,72,20.7
19.999999999999982,37,65,9.2
12.000000000000007,120,73,11.5
12.999999999999988,137,76,10.3
134.99999999999994,269,84,4
48.99999999999997,248,85,9.2
32.00000000000001,236,81,9.2
64,175,83,4.6
40.00000000000001,314,83,10.9
76.99999999999997,276,88,5.1
96.99999999999997,267,92,6.3
96.99999999999997,272,92,5.7
85,175,89,7.4
10.000000000000002,264,73,14.3
27,175,81,14.9
6.999999999999998,48,80,14.3
47.999999999999986,260,81,6.9
35.000000000000014,274,82,10.3
61,285,84,6.3
78.99999999999997,187,87,5.1
63.000000000000014,220,85,11.5
15.999999999999991,7,74,6.9
79.99999999999996,294,86,8.6
107.99999999999997,223,85,8
19.999999999999982,81,82,8.6
51.99999999999999,82,86,12
81.99999999999996,213,88,7.4
49.99999999999997,275,86,7.4
64,253,83,7.4
58.99999999999997,254,81,9.2
38.99999999999997,83,81,6.9
9,24,81,13.8
15.999999999999991,77,82,7.4
121.99999999999994,255,89,4
88.99999999999999,229,90,10.3
109.99999999999997,207,90,8
44,192,86,11.5
27.99999999999998,273,82,11.5
65,157,80,9.7
21.999999999999993,71,77,10.3
58.99999999999997,51,79,6.3
22.99999999999999,115,76,7.4
31.000000000000007,244,78,10.9
44,190,78,10.3
21.00000000000001,259,77,15.5
9,36,72,14.3
45.00000000000001,212,79,9.7
167.99999999999994,238,81,3.4
73,215,86,8
76,203,97,9.7
117.99999999999996,225,94,2.3
83.99999999999999,237,96,6.3
85,188,94,6.3
95.99999999999994,167,91,6.9
77.99999999999999,197,92,5.1
73,183,93,2.8
90.99999999999999,189,93,4.6
46.99999999999998,95,87,7.4
32.00000000000001,92,84,15.5
19.999999999999982,252,80,10.9
22.99999999999999,220,78,10.3
21.00000000000001,230,75,10.9
24.000000000000007,259,73,9.7
44,236,81,14.9
21.00000000000001,259,76,15.5
27.99999999999998,238,77,6.3
9,24,71,10.9
12.999999999999988,112,71,11.5
45.999999999999986,237,78,6.9
17.999999999999986,224,67,13.8
12.999999999999988,27,76,10.3
24.000000000000007,238,68,10.3
15.999999999999991,201,82,8
12.999999999999988,238,64,12.6
22.99999999999999,14,71,9.2
36.000000000000014,139,81,10.3
6.999999999999998,49,69,10.3
14.000000000000004,20,63,16.6
30.000000000000004,193,70,6.9
14.000000000000004,191,75,14.3
17.999999999999986,131,76,8
19.999999999999982,223,68,11.5
