% This S dump contains 22 data sets from the
% book Visualizing Data published by
% Hobart Press (books@hobart.com).
% The dump was created by data.dump()
% and can be read back into S by data.restore().
% The name of each S data set is the name of
% the data set used in the book. To find the
% description of the data set in the book look
% under the entry - data, name - in the index.
% For example, one data set is barley.
% To find the description of barley, look
% in the index under the entry - data, barley.
%
% File: ../data/visualizing/food.web.csv
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation visualizing-food_web

@attribute meanlength REAL
@attribute dimension {Mixed,Three,Two}

@data
3.130000114440918,Mixed
2.7100000381469727,Mixed
2.299999952316284,Two
2.740000009536743,Mixed
2,Mixed
3.819999933242798,Mixed
2.7899999618530273,Mixed
2.440000057220459,Mixed
2.859999895095825,Mixed
2,Two
2,Two
2.25,Two
2.5,Two
2.4000000953674316,Mixed
2.3299999237060547,Mixed
2.140000104904175,Mixed
3.559999942779541,Three
2,Mixed
3,Three
3.259999990463257,Three
4.610000133514404,Three
3.690000057220459,Mixed
2.4000000953674316,Two
2.700000047683716,Three
2.1600000858306885,Three
2.930000066757202,Mixed
2.890000104904175,Three
1.9600000381469727,Mixed
3.140000104904175,Three
5.019999980926514,Three
3.9000000953674316,Three
3.859999895095825,Three
1.9299999475479126,Mixed
2.559999942779541,Two
2.7200000286102295,Two
2.069999933242798,Mixed
2.75,Mixed
2.130000114440918,Mixed
1.7999999523162842,Mixed
1.8799999952316284,Three
5.920000076293945,Three
4.949999809265137,Three
3.130000114440918,Three
3.630000114440918,Mixed
2.140000104904175,Two
4.429999828338623,Three
4.21999979019165,Mixed
3.5299999713897705,Mixed
2.559999942779541,Mixed
2.440000057220459,Two
3.2799999713897705,Mixed
2.0799999237060547,Two
1.9500000476837158,Two
2.5799999237060547,Mixed
2.4600000381469727,Two
2.2200000286102295,Two
3.2899999618530273,Mixed
4.28000020980835,Mixed
2.369999885559082,Three
2.359999895095825,Three
2,Two
3,Two
3.1600000858306885,Two
1.6699999570846558,Two
1.850000023841858,Two
2.930000066757202,Two
3.940000057220459,Mixed
2.630000114440918,Three
3.619999885559082,Mixed
2.490000009536743,Mixed
5.150000095367432,Three
3.950000047683716,Three
2.380000114440918,Three
2.380000114440918,Two
2.75,Three
2.6700000762939453,Mixed
3.630000114440918,Mixed
3.1500000953674316,Mixed
3.4100000858306885,Mixed
3.3499999046325684,Mixed
2.7300000190734863,Mixed
3.7100000381469727,Mixed
2.450000047683716,Mixed
3.609999895095825,Mixed
3.609999895095825,Mixed
4.090000152587891,Three
2.9100000858306885,Mixed
1.9500000476837158,Two
2.890000104904175,Three
1.840000033378601,Two
3,Three
2,Two
2.119999885559082,Two
3.3499999046325684,Two
2.5,Two
1.9199999570846558,Two
2,Two
3.5399999618530273,Two
2.509999990463257,Two
3.3399999141693115,Two
1.6699999570846558,Mixed
3.9700000286102295,Three
5.590000152587891,Three
3.1600000858306885,Two
3.6700000762939453,Two
2.4100000858306885,Two
2.5,Two
2.2699999809265137,Two
2.880000114440918,Two
2.130000114440918,Two
2.440000057220459,Two
1.8300000429153442,Mixed
2.109999895095825,Mixed
